prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB8FC6D3-75A9-441D-A7A7-2949964F5B1F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60712108,MIS AL IRSYAD,60712108,JL.PAMOTAN KM.04,PADARAN,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,,,K/660/III-b/75,10-02-1975,-K/660/III-b/75,10-02-1975,Lihat SK Operasional,2021-03-05 13,B,0,,2.,,,,,,-6.720800000000,111.400300000000,0,50,48,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C6EDB4EB-8E81-49E2-8963-32F9288BDA9C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60712109,MIS MIFTAHUL FALAH,60712109,JL.KH.SOLEH2BADEGSRIDADI,SRIDADI,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,,,I/18/6146,07-04-1960,I/18/6146,07-04-1960,Lihat SK Operasional,2016-06-21 11,A,0,,2.,,,,,,-6.726600000000,111.392100000000,0,84,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64967879-96FF-482E-A0CC-542A990DB659,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20364013,MTSS AL MUBAAROK,20364013,JL. REMBANG - BLORA KM. 4,MONDOTEKO,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,,,Wk/5.a/PP.03.2/550/90,31-03-1990,Wk/5.a/PP.03.2/550/90,31-03-1990,Lihat SK Operasional,2016-06-24 08,B,0,,2.,,,,,,-6.740000000000,111.357200000000,0,19,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BEC836FB-86D6-4C79-9317-B02ECA140854,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20364015,MTSS MIFTAHUL FALAH,20364015,JL. KH. SHOLIH NO. 2,SRIDADI,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,,,Wk/5.c/46/Pgm/Is/1988,04-01-1988,Wk/5.c/46/Pgm/Is/1988,04-01-1988,Lihat SK Operasional,2016-07-13 09,A,0,,2.,,,,,,-6.726200000000,111.392800000000,0,150,153,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/68E32D0B-21C7-4E7F-A253-567AECDB78E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20364016,MTSS MUALLIMIN MUALLIMAT,20364016,JL.PAHLAWAN NO.43 REMBANG,KABONGAN KIDUL,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,,,Lk/3.c/454/MTs/1981,25-02-1981,Lk/3.c/454/MTs/1981,25-02-1981,Lihat SK Operasional,2018-10-17 10,A,"14,762",,2.,,,,,,-6.709800000000,111.354600000000,0,191,219,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B94D11DC-2635-4ECE-80C8-782238A7120D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20364014,MTSS UMAR FATAH,20364014,"JL. RAYA REMBANG-LASEM KM 7,5 PUNJULHARJO REMBANG",PUNJULHARJO,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,,,Wk/5.a/pp.03.2/3319/91,15-11-1991,Wk/5.a/pp.03.2/3319/91,15-11-1991,Lihat SK Operasional,2016-09-19 10,A,0,,2.,,,,,,-6.690400000000,111.414100000000,0,88,52,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A224BADA-FDC2-4733-A34C-0CF055D07376,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69988545,SD BIAS REMBANG,69988545,"Jl. Slamet Riyadi Km. 1,5 No. 12 Ketanggi, Kec. Rembang",KETANGGI,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al Jannah,AA7892,503/0964/2019,29-05-2019,503/0964/2019,29-05-2019,Lihat SK Operasional,2020-08-27 15,B,"3,600",1. Indosat IM3,2. Telkomsel Flash,PLN,,,sditbiasrembang@gmail.com,http,-6.723283000000,111.343036000000,4,42,19,6,Sehari Penuh/5 hari,,2022/2023-2,450,5,0,0,2,0,0,4,3,4,0,0,0,0,4,0,2,2,4,0,0,0,0,0,0,0,4,SD 2013,Indosat IM3,1,1,1,1,1,1,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0042559-2DF5-E011-8F96-4D58329B61C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20315836,SD ISLAM AL FURQON,20315836,Jalan Pesantren 2 Rembang,SUKOHARJO,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PONDOK PESANTREN AL FURQON KASINGAN REMBANG,AD9925,IST/YPPAK/07/1998,20-07-1998,420/5031,14-07-2005,Lihat SK Operasional,2021-09-01 07,A,570,1. Telkom Speedy,2. Telkom Speedy,PLN,081507738371,,sdialfa_rembang@yahoo.co.id,,-6.711300000000,111.407800000000,20,204,175,13,Pagi/6 hari,,2022/2023-2,"4,500",13,1,1,2,0,0,24,0,20,0,0,0,7,13,0,11,9,3,4,4,5,4,0,0,3,17,SD 2013,Telkom Speedy,2,2,2,2,2,3,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/001CA5B9-E1D6-E111-BBBD-83CAA202CF18,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20315837,SD ISLAM AN - NAWAWIYYAH,20315837,"Jl. Nelayan II/10-12 Tasikagung, Rembang",TASIKAGUNG,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Islam An-Nawawiyyah,AD9914,050312/2007,16-09-2005,420/6152,16-09-2005,Silakan Upload SK,,A,464,1. Telkomsel Flash,2. Telkom Speedy,PLN,,692315,sdinawawiyyah05@gmail.com,,-6.703300000000,111.337900000000,19,197,202,15,Pagi/6 hari,,2022/2023-2,"3,500",16,0,1,2,0,0,23,0,19,0,0,0,7,12,0,17,2,6,4,3,5,0,1,0,3,16,SD 2013,Telkomsel Flash,3,3,3,2,2,2,,,
Jawa Tengah,Kab. Rembang,Rembang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8054A5B9-E1D6-E111-83CE-FF83306102E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20351090,SD ISLAM TERPADU AL-IHSAN,20351090,"Jl. Slamet Riyadi, Sumberjo, Rembang",SUMBERJO,KEC. REMBANG,KAB. REMBANG,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPPU AL IHSAN REMBANG,AD9936,421.2/9648/2009,27-06-2009,421.2/9648/2009,01-01-1910,Silakan Upload SK,,B,"1,106",1.,2.,PLN,,,,,-6.721978400000,111.344297600000,18,204,194,14,Pagi/6 hari,,2022/2023-2,"1,600",5,0,0,2,0,0,20,0,18,0,0,0,5,13,0,16,2,3,7,5,1,2,0,0,4,14,SD 2013,Indosat IM3,2,2,3,2,3,2,,,
