prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0C6C439-033C-E111-A556-63892407AFF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300793,SD GMIT KUALEU,50300793,Kualeu,PUTUN,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Usaha Pendidikan Kristen,AK9642,,01-01-1950,,01-01-1910,Silakan Upload SK,,,625,,2.,,,,,,-9.869900000000,124.669000000000,3,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,0,0,1,2,3,0,0,0,0,3,0,3,0,0,0,0,1,2,0,0,2,1,,,,,,,,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/900DC539-033C-E111-9068-4D7D2D8CC1B9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300775,SD GMIT NENOAT,50300775,Nenoat,NENOAT,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YAPENKRIS TOIS NENO (GMIT),AJ3832,,02-07-1968,,01-01-1910,Silakan Upload SK,,,"6,720",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdgmitnenoat@gmail.com,,-9.877600000000,124.678100000000,8,107,94,7,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",7,0,1,0,0,0,2,7,8,0,0,0,0,8,0,2,6,2,3,1,1,0,0,1,2,6,2,1,1,1,1,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10FBC939-033C-E111-95FF-25D761701AA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306843,SD GMIT NUNKOLO 1,50306843,Nunkolo,NUNKOLO,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YAPENKRIS TOIS NENO (GMIT),AJ3832,59/ll.2/l.c-2012,01-01-1913,5. GS. NUNKOLO 1,01-01-1913,Silakan Upload SK,,,"7,500",1. -,2. Telkomsel Flash,PLN,,,sdgnunkolo@gmail.com,,-9.873200000000,124.703200000000,7,72,59,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,1,0,2,4,6,0,1,0,1,6,0,4,3,1,3,2,0,0,0,1,3,4,1,1,1,1,1,1,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/206BC539-033C-E111-B30F-472F2446DB63,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306844,SD GMIT NUNKOLO 2,50306844,Nunkolo,OP,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YAPENKRIS TOIS NENO (GMIT),AJ3832,03802010013576,01-01-1913,,01-02-1968,Silakan Upload SK,,,1,1. -,2. -,PLN,,,,,-9.873000000000,124.714200000000,6,85,55,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,0,0,0,0,5,1,6,0,0,0,1,5,0,3,3,1,3,2,0,0,0,0,1,5,1,1,1,1,1,1,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A09AC539-033C-E111-A8DF-1368F5456AA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300690,SD GMIT OEUKI,50300690,Oeuki,NUNKOLO,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YAPENKRIS AGAPE,AJ3844,28 GS Oeuki,01-08-1947,,01-01-1910,Silakan Upload SK (link file tidak valid) => [732548-322795--],2022-11-07 14,C,"60,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,balsasarnokas@gmail.com,,-9.901700000000,124.664900000000,7,63,43,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,900,12,0,0,1,1,0,0,6,6,1,0,0,0,7,0,2,5,0,1,3,0,0,1,2,3,4,1,1,1,1,1,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C056E638-033C-E111-BAF7-ED90D0B9718E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306876,SD INPRES FAIFNOME,50306876,"Jl.Noni  Nenabu,",FAT,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-03-1982,,01-01-1910,Silakan Upload SK,,B,"3,220,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-9.865200000000,124.678000000000,9,37,47,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,3,2,0,4,6,2,1,0,1,8,0,4,5,2,0,4,1,2,0,0,3,6,1,1,1,1,1,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/209BE838-033C-E111-BD22-3DC038754D94,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306896,SD INPRES OTTO,50306896,Nenoat,SAHAN,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-11-1984,,01-01-1910,Silakan Upload SK (link file tidak valid) => [674663-794316--],2022-08-08 06,C,"6,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdinpresotto9@gmail.com,,-9.892700000000,124.701200000000,7,41,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,4,0,0,0,2,0,0,5,5,1,1,0,1,6,0,3,4,4,0,1,0,0,0,2,3,4,1,1,1,1,1,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20FCC539-033C-E111-8737-0766A59105A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50307008,SD KATHOLIK YASWARI SAHAN,50307008,Sahan,SAHAN,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN SWASTISARI KEUSKUPAN AGUNG KUPANG,AW8468,,15-02-1967,,01-01-1910,Silakan Upload SK,,C,"1,795,840",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdkyaswarisahan@gmail.com,,-9.942300000000,124.636000000000,4,29,43,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,"1,300",6,0,0,2,1,0,1,3,3,1,0,0,0,4,0,2,2,0,2,0,1,0,0,1,2,2,1,1,1,1,1,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9B9CFFD4-F12D-41E1-98E3-77010881389F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69989795,SD NEGERI BANLI,69989795,Jln. Kolo Leku,OP,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,NOMOR 356/KEP/HK/2007,28-08-2017,NOMOR 356/KEP/HK/2007,28-08-2017,Lihat SK Operasional,2019-08-20 15,C,"33,441",1. -,2. -,PLN,,,sdnbanli@gmail.com,,-9.900062800000,124.659345900000,3,32,38,6,SD 2013,Pagi/6 hari,,2022/2023-2,899,6,0,1,0,2,0,0,1,3,0,0,0,3,0,0,2,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Nunkolo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90F6E638-033C-E111-977B-3920E07952DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50307014,SD NEGERI BIMETA,50307014,Bimeta,HOINENO,KEC. NUNKOLO,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,04-01-1965,,01-01-1910,Silakan Upload SK,,B,"30,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-9.910000000000,124.657100000000,10,50,46,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,200",6,0,1,1,3,1,0,6,9,0,1,0,1,9,0,6,4,1,3,0,3,1,2,0,4,6,1,1,1,1,1,1,Telkomsel Flash,,,
