prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6D15FF32-1659-43D1-B22E-10464CE11CBB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704207,MIS KAMPUNG JAWA,60704207,JL. YOS SUDARSO NO. 425 KAMPUNG JAWA,KAMPUNG JAWA,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-.784275000000,100.651971000000,0,38,34,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70945779-2FF5-E011-899A-31F31B50D250,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303793,SD MUHAMMADIYAH,10303793,Jln. Kh Ahmad Dahlan,PASAR PANDAN AIR MATI,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AO2276,KPTS.227.08.I.1994,02-11-1994,Nomor.28/SDM/TP-2015,06-02-1995,Lihat SK Operasional,2015-05-12 21,B,"1,080",,2.,,1,0755,sdmuhammadiyahsolok95@gmail.com,,-.788100000000,100.665800000000,7,0,0,0,,,2022/2023-2,,0,0,0,0,1,0,8,1,6,0,1,0,1,6,1,4,2,2,1,2,0,1,1,0,2,5,SD 2013,,,,,,,,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80533279-2FF5-E011-92C5-FD8A177CF244,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303753,SD NEGERI 01 TANJUNG PAKU,10303753,Jln.veteran Kota Solok,TANJUNG PAKU,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/087/SDN.01 TH/2015,01-05-1945,421.2/087/SDN.01 TH/2015,01-05-1945,Silakan Upload SK (link file tidak valid) => [616854-578719--],2022-04-14 12,A,"1,671",1. Lainnya (Serat Optik),2. Jardiknas,PLN,,075520958,sdn.01kotasolok@gmail.com,http,-.783300000000,100.662300000000,14,101,111,8,Pagi/6 hari,,2022/2023-2,"3,299",10,0,1,11,9,3,0,2,5,0,4,5,10,4,0,12,2,1,2,1,2,0,2,6,4,10,SD 2013,1,1,2,1,1,2,Lainnya (Serat Optik),,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0613279-2FF5-E011-B0BC-11690B6D4E77,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303755,SD NEGERI 02 PPA,10303755,Jln.dt Parpatih Nan Sabatang,PASAR PANDAN AIR MATI,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/017/SDN 02 PPA/TH 2015,14-02-1945,421.2/017/SDN02PPA/TH 2015,14-02-1945,Lihat SK Operasional,2015-04-30 14,A,"3,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,075520965,sdn02ppa@gmail.com,,-.792400000000,100.658500000000,8,78,81,6,Pagi/6 hari,,2022/2023-2,"1,300",4,0,1,7,7,1,0,0,3,1,4,0,7,1,0,6,2,1,2,1,1,1,1,1,1,7,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40713279-2FF5-E011-AB42-11E7365CC04F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303756,SD NEGERI 03 KAMPUNG JAWA,10303756,JL. AIPDA KS TUBUN,KAMPUNG JAWA,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,03.09.02.05.4.00020,24-06-2002,421.2/061/SDN 03 KJ/TH-2015,01-01-1945,Silakan Upload SK (link file tidak valid) => [570004-485073--],2022-01-16 01,A,"2,000",1. Lainnya,2. Telkom Speedy,PLN,20841,20841,sdn03kaje@gmail.com,,-.786400000000,100.652800000000,15,158,159,11,Pagi/6 hari,,2022/2023-2,"23,000",9,0,1,6,11,3,0,1,5,1,6,3,13,2,0,13,2,2,1,3,3,1,2,3,4,11,SD 2013,2,2,2,2,1,2,Lainnya,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07F3279-2FF5-E011-B505-23764F2BD7AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303759,SD NEGERI 04 PPA,10303759,Dt Perpatih Nan Sabatang,PASAR PANDAN AIR MATI,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,188.4/307/IMB/Yanzin-2008,20-11-2008,421.2/037/04/TH-2015,01-01-1946,Lihat SK Operasional,2015-04-30 08,A,"3,000",1. Telkom Speedy,2. Telkom Speedy,PLN,000000000000,075520947,ppa_04@yahoo.com,,-.790300000000,100.656500000000,8,70,55,6,Pagi/6 hari,,2022/2023-2,"1,200",6,0,1,2,6,1,0,1,2,0,4,2,7,1,1,6,1,0,1,2,0,2,1,2,0,8,SD 2013,1,1,1,1,1,1,Telkom Speedy,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E08C3279-2FF5-E011-B633-05A1D89ACF8B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303760,SD NEGERI 05 KAMPUNG JAWA,10303760,Jln.ks Tubun,KAMPUNG JAWA,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/101/1948,08-01-1948,421.2/101/SDN 05/Th-2015,23-04-2015,Lihat SK Operasional,2015-04-27 09,B,"2,000",1. -,2. Telkom Speedy,PLN,,075520939,sdn05kampungjawa@yahoo.co.id,,-.786400000000,100.653000000000,15,142,113,9,Pagi/6 hari,,2022/2023-2,"2,300",9,0,1,8,9,4,0,2,6,1,5,3,11,4,0,10,5,2,3,3,2,1,0,4,2,13,SD 2013,2,2,1,1,2,1,Tidak Ada,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/209B3279-2FF5-E011-8450-93D298A8C318,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303750,SD NEGERI 06 TANJUNG PAKU,10303750,Jln. Veteran,TANJUNG PAKU,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/045/SDN-06-TP/TH-2015,01-01-1954,421.2/045/SDN-06-TP/TH-2015,01-01-1954,Lihat SK Operasional,2015-04-27 08,B,879,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,075520957,sdntanjungpaku@yahoo.co.id,http,-.785500000000,100.660100000000,12,118,110,9,Pagi/6 hari,,2022/2023-2,"2,200",9,0,1,0,8,2,0,2,4,0,5,3,11,1,0,10,2,0,1,1,3,2,2,3,3,9,SD 2013,2,1,1,2,2,1,Lainnya (Serat Optik),,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80A93279-2FF5-E011-ACD3-315AE5E26432,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303749,SD NEGERI 07 KAMPUNG JAWA,10303749,Jln.yos Sudarso,KAMPUNG JAWA,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1969,421.2/061/TH-07/2015,08-07-1969,Lihat SK Operasional,2015-04-28 15,A,"1,650",1. Jardiknas,2. Telkom Speedy,PLN,,075521138,sd07kampungjawa@gmail.com,,-.783100000000,100.650900000000,11,97,115,8,Pagi/6 hari,,2022/2023-2,"2,299",7,0,1,6,8,0,0,3,5,1,5,0,7,4,0,8,3,2,3,2,1,1,2,0,3,8,SD 2013,1,1,1,2,1,2,Jardiknas,,,
Sumatera Barat,Kota Solok,Tanjung Harapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D13279-2FF5-E011-831D-010D055D1CC9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303736,SD NEGERI 10 NAN BALIMO,10303736,H. Jamal,NAN BALIMO,KEC. TANJUNG HARAPAN,KOTA SOLOK,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,163/SK/IMB/WSL-2004,03-01-1978,421.2/053/SDN 10 NB/TH-2015,03-01-1978,Lihat SK Operasional,2015-08-27 12,B,"1,590",1. Lainnya,2. Jardiknas,PLN,,075527327,sdnsapuluhnanbalimo@gmail.com,,-.783200000000,100.658500000000,9,64,52,6,Pagi/6 hari,,2022/2023-2,"3,500",6,0,1,4,7,1,0,1,2,0,7,0,8,1,0,7,2,0,1,1,0,1,4,2,2,7,SD 2013,1,1,1,1,1,1,Lainnya,,,
