prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A06AF8D7-2EF5-E011-AEFA-1349AB8BB309,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202186,SD NEGERI 040550 MARDINGDING,10202186,Desa kutapengkih,KUTA PENGKIH,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,107,31-12-1948,,01-01-1910,Silakan Upload SK,,B,"10,535",1. -,2. Telkomsel Flash,PLN,,,sdnegeri040550mardingding@gmail.com,,3.231428800000,98.008453800000,16,0,0,11,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,10,0,1,1,7,2,0,7,10,3,3,0,5,11,0,12,4,7,1,2,2,0,2,2,3,13,2,1,2,2,2,2,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9079F8D7-2EF5-E011-9A97-6182F782B98E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202187,SD NEGERI 040551 LAUPAKAM,10202187,Laupakam,LAU PAKAM,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1963,,01-01-1910,Silakan Upload SK,,C,"2,400",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,,timanta16@gmail.com,,3.280200000000,97.984300000000,10,0,0,8,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,500,11,0,1,0,3,3,0,4,7,1,1,1,1,9,2,5,3,3,1,1,2,0,0,3,6,4,1,1,1,2,2,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F096F8D7-2EF5-E011-865C-DF74507D6AB3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202189,SD NEGERI 040553 BANDAR PURBA,10202189,Bandar Purba,BANDAR PURBA,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,14-04-1974,,01-01-1910,Silakan Upload SK,,C,100,1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,0,,,3.257514900000,97.992135300000,5,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,7,0,1,1,4,0,0,1,1,3,1,0,3,2,1,3,1,0,2,1,0,0,1,1,2,3,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0C2F8D7-2EF5-E011-8213-F3492ACBBB49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202127,SD NEGERI 043943 LAUMULGAP,10202127,Lau Mulgap,LAU MULGAP,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-09-1975,,01-01-1910,Silakan Upload SK,,B,"8,710",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn043943laumulgap@gmail.com,,3.196100000000,98.029000000000,10,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,0,5,1,0,4,7,1,1,1,4,6,1,7,2,1,1,4,1,0,0,3,3,7,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40E0F8D7-2EF5-E011-9574-71E79DF8BFC2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201898,SD NEGERI 044855 PARSAORAN,10201898,PARSAORAN,LAU PAKAM,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,17-07-1977,,01-01-1910,Silakan Upload SK,,B,"17,640",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn044855parsaoran@gmail.com,,3.256921500000,97.957765500000,9,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,6,0,0,2,6,0,0,3,4,4,1,0,3,6,0,7,2,0,4,0,0,1,2,2,2,7,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0EEF8D7-2EF5-E011-B34C-8700AB4C87E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201899,SD NEGERI 044856 LAU PENGULU,10201899,Lau Pengulu,LAU PENGULU,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,31-12-1977,,01-01-1910,Silakan Upload SK,,C,"2,500",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,sd044856laupengulu@gmail.com,,3.268500000000,97.987300000000,6,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,0,2,2,0,2,4,2,0,0,1,5,0,5,1,0,2,0,3,1,0,0,1,5,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60FDF8D7-2EF5-E011-9A6E-8162BB514E6D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201900,SD NEGERI 044857 MARDINGDING,10201900,Desa Mardingding,MARDINGDING,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1977,,01-01-1910,Silakan Upload SK,,C,"4,882",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnegeri044857mardingding@gmail.com,,3.230704700000,98.009135100000,11,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,0,0,0,0,3,0,0,8,8,0,2,1,2,9,0,9,2,6,1,1,0,0,0,3,3,8,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D00BF9D7-2EF5-E011-88E6-397D19668054,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201934,SD NEGERI 045960 LAUKASUMPAT,10201934,DESA LAU KASUMPAT,LAU KASUMPAT,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"5,000",1. -,2. Telkomsel Flash,PLN,,,sdlaukasumpat@gmail.com,,3.247184700000,98.002027300000,6,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,8,0,1,2,3,0,0,3,3,1,2,0,3,3,1,4,1,1,1,0,0,0,2,2,1,5,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E062F9D7-2EF5-E011-98DA-7B170F122A59,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201866,SD NEGERI 046580 AEK NAULI,10201866,Mardingding,MARDINGDING,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,25/HP/22.06/1982,05-01-1982,420/5328/Sek.2/2018,19-09-2018,Lihat SK Operasional,2018-09-19 12,B,"9,600",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,,sdn046580aeknauli@gmail.com,,3.234739300000,97.964712400000,6,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,6,0,1,0,3,0,0,3,4,0,2,0,2,4,0,6,0,2,0,1,0,1,1,1,1,5,1,1,1,1,1,1,,,
Sumatera Utara,Kab. Karo,Mardingding,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0046F9D7-2EF5-E011-A55B-6DEF1BDE59CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201867,SD NEGERI 046581 TANJUNG PAMAH,10201867,Desa Tanjung Pamah,TANJUNG PAMAH,KEC. MARDINGDING,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,593/1/1987,31-12-1981,,01-01-1910,Silakan Upload SK,,B,"2,555",1. -,2. -,PLN,,,sdn81tanjungpamah@gmail.com,,3.210400300000,98.015454400000,7,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,0,0,3,1,0,3,4,0,2,1,3,4,0,5,2,1,0,3,0,0,2,1,3,4,1,1,1,1,1,1,,,
