prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/430B0E26-AF26-49DD-9E35-30206E5D14CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029136,MI HUSNUL KHOTIMAH,70029136,Blok Bojong Suruh RT 02 RW 05,SUKAGUMIWANG,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,633 TAHUN 2021,28-05-2021,Silakan Upload SK (link file tidak valid) => [206818-445419-https,2022-05-30 15,,0,,2.,,,,,,.000000000000,.000000000000,0,10,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/360A1F1F-67B3-4648-9D24-96AA0D01EB19,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708942,MIS ASSYIFA WAL AIN,60708942,Jl. Raya Bondan No. 02 Desa Bondan,BONDAN,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,32.12/MI/0105/2010,21-06-2010,W.i/HK.008/713/1991,31-12-1991,Lihat SK Operasional,2021-08-13 15,B,0,,2.,,,,,,-6.598500000000,108.296200000000,0,99,84,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C33204FF-F1DC-4F25-89CA-471D7B64CEA3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708943,MIS GUPPI BRUNGUT,60708943,Blok. Brungut Rt. 004 Rw. 002,SUKAGUMIWANG,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,1.10.24.09.61,12-10-1985,W.i/HK.008/713/1991,31-12-1991,Lihat SK Operasional,2021-08-13 15,B,0,,2.,,,,,,-6.569400000000,108.319200000000,0,126,124,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7472918-ADDD-4F7B-A111-34811526DB3D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708944,MIS GUPPI NYONGAT,60708944,Blok Nyongat Rt 10 Rw 02,GUNUNGSARI,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,WI/HK.004.1/3191/91,02-01-2006,W.i/HK.008./713/19.91,31-12-1991,Lihat SK Operasional,2021-06-17 14,A,0,,2.,,,,,,-6.571100000000,108.328500000000,0,56,139,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6396D50F-C48F-485E-8C0D-7E66D9982BB8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708946,MIS HIDAYATUL MUBTADI IN 1 CIBEBER,60708946,Jalan Simpang Tiga No 06 Cibeber,CIBEBER,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,W.i/PP.004.1/3182/1991,02-01-1992,32-12/MI/0109/2010,21-06-2010,Lihat SK Operasional,2021-08-13 13,B,0,,2.,,,,,,-6.605700000000,108.298300000000,0,83,83,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3C12921-B08C-44E7-AB42-CB450FF0EEFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708945,MIS HIDAYATUL MUBTADI IN 2 CIBEBER,60708945,Jalan Simpang Tiga No 07 Cibeber,CIBEBER,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,W.i/PP.004.1/3453/1992,03-03-1992,32-12/MI/0108/2010,21-06-2010,Lihat SK Operasional,2021-08-13 12,B,0,,2.,,,,,,-6.605700000000,108.298300000000,0,84,82,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F704323C-CF64-4F8C-8361-63E528D2CC23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708947,MIS MIFTAHUL HUDA,60708947,jl.KH Marjuki Blok Bantar 1 Rt 13 Rw 03,TERSANA,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.470800000000,108.413400000000,0,61,77,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5C8E5AF-712D-490A-9B7F-AA6A26CD19C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708948,MIS PUI GRABYAGAN,60708948,Blok Grabyagan Rt 01/01,TERSANA,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,W.i/HK.008/713/1960,31-12-1960,Kd.10.12/PP.00.4/033/2010,21-07-2010,Silakan Upload SK (link file tidak valid) => [600445-879299--],2022-03-10 08,B,0,,2.,,,,,,-6.550100000000,108.336100000000,0,98,107,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD89007D-AB80-419F-A858-BBE8F81FD1B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708949,MIS PUI WIDENG,60708949,Blok Wideng Desa Bondan RT 014 RW 007,BONDAN,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,w.i/PP.004.1/3186/1991,02-01-1992,Kd.10.12/PP.00.4/033/2010,21-06-2010,Lihat SK Operasional,2021-06-02 14,B,0,,2.,,,,,,-6.575000000000,108.313800000000,0,97,67,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Sukagumiwang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5BE5739-4121-47D0-8C3F-8E3EADF384C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279076,MTsN 13 Indramayu,20279076,Jl. Citra Indah No. 03 Sukagumiwang,TERSANA,KEC. SUKAGUMIWANG,KAB. INDRAMAYU,PROV. JAWA BARAT,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,,,Keputusan Menteri Agama No 212 Tahun 2015,27-07-2015,Lihat SK Operasional,2019-01-23 09,A,0,,2.,,,,,,-6.576800000000,108.298000000000,0,64,86,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
