prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAF5EFC6-CB88-493D-942C-91ED641E5C1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69993987,MI MA`ARIF NU TAHFIDZUL QUR`AN,69993987,Jl.Pisang RT 01/RW 07 Desa Jambu Kec.Wangon-Kab.Banyumas-Jawa Tengah,JAMBU,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,Lainnya,,Nomor 1900 Tahun 2019,28-06-2019,Nomor 1900 Tahun 2019,28-06-2019,Lihat SK Operasional,2022-01-10 11,,0,,2.,,,,,,-7.487800000000,109.061700000000,0,57,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/939B9F59-5979-4BE9-9B8B-80C0C3954A32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60710498,MIS MA`ARIF NU 1 KLAPAGADING,60710498,"JL. LINGKAR TIMUR TERMINAL  WANGON, RT 002 RW 005",KLAPAGADING,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,,,K/343/III.b/75,01-01-1975,kd.11.02/4/PP.00/3203/2012,03-09-2012,Silakan Upload SK (link file tidak valid) => [721057-430808--],2022-10-07 13,A,0,,2.,,,,,,-7.517000000000,109.071100000000,0,228,166,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/61192E7D-13B7-4AD9-AE59-8ED842AABF16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60710499,MIS MA`ARIF NU WINDUNEGARA,60710499,JL.GANDASULI RT 01 RW 04 WINDUNEGARA,WINDUNEGARA,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,,,Kd.11.02/4/PP.00/3204/2012,03-09-2012,Wk/5b/92/Pgm/mi/1990,06-09-1990,Lihat SK Operasional,2018-01-16 12,A,0,,2.,,,,,,-7.453700000000,109.069000000000,0,115,110,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1DFE26AB-F409-4A7B-8842-66BD59EC3AD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60710496,MIS MUHAMMADIYAH KALIPETUNG,60710496,JL.BOJONG NO.48 KLAPAGADING,WANGON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Banyumas,AI2946,Kd.11.02/4/PP.00/3201/2012,03-09-2012,Kd.11.02/4/PP.00/3201/2012,03-09-2012,Lihat SK Operasional,2016-08-18 09,A,0,,2.,,,,,,-7.522500000000,109.069000000000,0,100,83,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28D21228-2118-4B81-92AB-600B6B14E7E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60710497,MIS MUHAMMADIYAH WANGON,60710497,JL.KAUMAN NO.12 WANGON,WANGON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Banyumas,AI2946,K/344/IIiB/75,01-01-1975,K/344/IIiB/75,01-01-1975,Lihat SK Operasional,2016-08-02 10,A,0,,2.,,,,,,-7.516100000000,109.055500000000,0,156,144,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F756145E-0B71-4ED2-A005-5328D424CA31,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69927393,MTsS Daarus Sunnah Wangon,69927393,JL. Raya Wangon - Ajibarang Km 3,JAMBU,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,Lainnya,,D/KW/MTS/408/2015,25-06-2015,Nomor 1860 Tahun 2015,25-06-2015,Lihat SK Operasional,2016-02-28 12,B,0,,2.,,,,,,-7.556100000000,109.062800000000,0,241,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7DC974B1-C663-44B9-907F-CE78D222619B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363455,MTsS MA`ARIF NU 1 WANGON,20363455,JL. RAYA TIMUR WANGON RT.01/06,KLAPAGADING KULON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Banyumas,AX6485,K/13/III.d/75,10-01-1975,Kd.11.02/4/PP.00/3599/2012,27-09-2012,Lihat SK Operasional,2016-10-06 10,A,0,,2.,,,,,,-7.518100000000,109.059600000000,0,546,436,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E9246C3-C591-43ED-AA52-BDE8A9A4D6A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363456,MTsS MUHAMMADIYAH WANGON,20363456,JL. ASTANA NO. 915 RT.02/06 WANGON,WANGON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Banyumas,AI2946,E.3055/III/108/JTG/70/79,18-08-1979,Wk/5C/562/Pgm/Ts/1978,08-06-1978,Lihat SK Operasional,2016-02-05 16,B,0,,2.,,,,,,-7.517700000000,109.052200000000,0,92,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8BB43AE2-D4AF-4FC4-93E3-D572FF200A5D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70004315,SD IT INSAN HARAPAN WANGON,70004315,Jln. Ranjingan RT 05 RW 08,KLAPAGADING KULON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al Amin Wangon,AW9046,421.2/465/2020,07-08-2020,421.2/465/2020,07-08-2020,Lihat SK Operasional,2020-09-15 08,B,221,1. 3 (Tri),2. Telkom Speedy,PLN,,,elantrinur@gmail.com,,-7.571315900000,109.075769600000,7,57,68,6,Pagi/6 hari,,2022/2023-2,"1,200",6,0,1,3,0,0,10,1,7,0,0,0,0,7,0,2,5,3,1,2,0,0,1,0,0,7,SD 2013,3 (Tri),1,1,1,1,1,1,,,
Jawa Tengah,Kab. Banyumas,Wangon,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60166E55-2DF5-E011-98C2-D5BE3570467E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302331,SD NEGERI 1 BOJONG,20302331,Bojong,KLAPAGADING KULON,KEC. WANGON,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,08-08-1912,,01-01-1910,Silakan Upload SK,,A,"3,500",1. -,2. Lainnya (Kabel),PLN,,,sdnegeribojong01@gmail.com,http,-7.533850000000,109.068805000000,7,59,57,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,3,1,0,3,4,0,3,0,5,2,0,6,1,2,0,1,2,1,1,0,1,6,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
