prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7008317-8618-4FE2-BBC3-46A1CFE1E7FC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60705316,MIN 2 LEBONG,60705316,JL. DESA KETENONG I,KETENONG I,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,797 Tahun 2003,18-11-2003,Kd.07.09/4/PP.00/164.c/2010,15-02-2010,Lihat SK Operasional,2016-07-22 11,B,"2,235",,2.,,,,,,-3.137491000000,102.199662000000,0,79,75,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E188CC7B-B42E-47CE-8128-9BC53D0C6ADF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007659,SD INTEGRAL HIDAYATULLAH,70007659,Jl.Sultan Bagindo kel. Air Kopras,AIR KOPRAS,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN HIDAYATULLAH LEBONG,AX0965,120,30-05-2011,0240010121408,10-11-2020,Lihat SK Operasional,2021-02-04 07,,100,,2.,,,,febisfiles@gmail.com,,.000000000000,.000000000000,4,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,1,3,4,0,0,0,0,0,0,1,3,SD 2013,,,,,,,,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0456FDC-31F5-E011-8059-9DC571486F6D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701909,SDN 03 LEBONG,10701909,Ketenong II,KETENONG II,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1910,800/2776/P.PD/DIKBUD/2018,01-01-1910,Lihat SK Operasional,2018-09-13 13,B,"6,400",1. -,2. Telkomsel Flash,PLN,,,ariputra280989@gmail.com,,-2.972700000000,102.122800000000,8,36,29,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,4,0,0,4,5,0,3,0,3,5,0,6,2,1,2,3,0,0,1,1,5,3,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10716FDC-31F5-E011-A622-09329EC8067E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701911,SDN 05 Lebong,10701911,Air Putih,BIOA PUTIAK,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,0,01-01-1910,800/2776/P.PD/DIKBUD/2018,01-09-2018,Lihat SK Operasional,2018-10-11 19,C,"5,145",1. -,2. -,PLN,,,sdn04pb@yahoo.co.id,,-3.051700000000,102.195700000000,10,49,34,6,Siang/6 hari,,2022/2023-2,895,6,0,1,2,8,0,0,2,3,1,3,3,6,4,1,8,1,0,3,0,0,2,3,2,4,6,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/307F6FDC-31F5-E011-A716-6D8A19CAF128,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701912,SDN 06 LEBONG,10701912,Sebelat Ulu,SEBELAT ULU,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,197/2010,01-01-1910,800/2776/P.PD/DIKBUD/2018,01-09-2018,Lihat SK Operasional,2018-09-13 19,C,"10,870",1. -,2. -,PLN,,,sdnsebelat@gmail.com,,-2.942863300000,102.104430800000,6,24,21,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,5,0,0,1,2,1,2,1,2,4,0,5,1,1,2,1,0,0,0,2,4,2,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/201A6FDC-31F5-E011-A4B8-BD60101AE118,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701914,SDN 08 LEBONG,10701914,Tambang Saweak,TAMBANG SAWEAK,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,0,01-01-1980,800/2776/P.PD/DIKBUD/2018,01-09-2018,Lihat SK Operasional,2018-09-13 19,C,"7,296",1. -,2. -,PLN,,,,,-3.024500000000,102.111300000000,9,59,48,6,Pagi/6 hari,,2022/2023-2,900,9,0,1,2,5,0,0,4,4,1,3,1,5,4,0,9,0,4,1,1,0,0,2,1,2,7,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40E06EDC-31F5-E011-8143-8B4DADEE842A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701918,SDN 11 LEBONG,10701918,Air Kopras,AIR KOPRAS,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0,07-01-1978,800/2776/P.PD/DIKBUD/2018,01-09-2018,Lihat SK Operasional,2018-09-13 19,B,"4,200",1. Telkomsel Flash,2. -,PLN,0,0,mawardiardi121@yahoo.co.id,,-3.092662000000,102.195092800000,9,43,50,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,2,6,0,0,3,3,1,2,3,6,3,2,6,1,2,1,1,0,1,2,2,2,7,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30EB307F-02FB-E111-8ACF-730B05100CCD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10703428,SDN 85 LEBONG,10703428,Sungai Lisai,SUNGAI LISAI,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,197/2010,01-01-1910,800/2776/P.PD/DIKBUD/2018,01-09-2018,Lihat SK Operasional,2018-09-14 23,C,"3,600",1. -,2. -,Tenaga Surya,,,Sdn06pinangbelapis@yahoo.co.id,,-2.878819300000,102.048974100000,11,20,24,6,Pagi/6 hari,,2022/2023-2,0,3,0,0,0,5,0,0,6,8,1,2,0,1,10,0,8,3,4,2,3,1,0,1,0,5,6,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/001F96DC-31F5-E011-B749-1FCDC47DF88E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10701993,SMPN 03 LEBONG,10701993,Air Kopras,AIR KOPRAS,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0260/0/1994,01-04-1994,800/2776/P.PD/DIKBUD/2018,05-10-1994,Lihat SK Operasional,2018-09-12 12,B,0,1. Telkomsel Flash,2. -,PLN,0,,muskawarior9@gmail.com,http,-2.809200000000,102.027200000000,9,54,42,5,Pagi/6 hari,,2022/2023-2,"1,400",9,2,1,2,7,0,0,2,2,0,5,2,4,5,0,9,0,3,0,0,3,2,1,0,3,6,SMP 2013,,,,,,,Telkomsel Flash,2,2,1
Bengkulu,Kab. Lebong,Pinang Belapis,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B03B96DC-31F5-E011-A4F7-E9A1250908B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10703094,SMPN 20 LEBONG,10703094,Ketenong I,KETENONG I,KEC. PINANG BELAPIS,KAB. LEBONG,PROV. BENGKULU,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,483,07-01-2007,800/2776/P.PD/DIKBUD/2018,07-09-2007,Lihat SK Operasional,2018-09-12 13,B,"11,125",1. Telkomsel Flash,2. Jardiknas,PLN,082376128612,,smp02pb@gmail.com,http,-2.999255400000,102.145748100000,10,49,35,4,Pagi/6 hari,,2022/2023-2,"1,300",6,1,1,2,8,0,0,2,7,0,1,2,2,8,0,8,2,5,2,1,1,0,1,0,7,3,SMP 2013,,,,,,,Telkomsel Flash,1,1,2
