prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/701EFBD7-2EF5-E011-BC36-A5BF29B40211,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202191,SD NEGERI 040555 JUHAR,10202191,Desa Juhar,JUHAR GINTING SADANIOGA,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,31-12-1950,,01-01-1910,Silakan Upload SK,,C,"1,260",,2.,,,,,,3.023438700000,98.276835300000,2,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,,,,,,,,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/802BFBD7-2EF5-E011-94F1-E1038F64BEC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202192,SD NEGERI 040556 JUHAR,10202192,Juhar,JUHAR GINTING,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1950,,01-01-1910,Silakan Upload SK,,C,"1,583",1. -,2. -,PLN,,,sdn040556juhar@gmail.com,,3.019447700000,98.285407700000,8,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,950,6,0,0,1,5,2,0,1,4,3,0,1,2,6,0,8,0,2,1,1,1,0,1,2,3,5,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7038FBD7-2EF5-E011-8C63-3B163D892C9F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202193,SD NEGERI 040557 JUHAR,10202193,DESA JUHAR GINTING,JUHAR GINTING,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,BUPATI,31-12-1973,,01-01-1910,Silakan Upload SK (link file tidak valid) => [593063-65378--],2022-02-18 14,B,"7,968",1. Indosat IM3,2. XL (GSM),PLN,,,sdn040557@gmail.com,,3.024711300000,98.297327100000,8,81,79,6,SD 2013,Pagi/6 hari,,2022/2023-2,"2,200",7,0,1,0,3,2,0,3,6,0,1,1,4,4,0,5,3,3,1,2,0,0,0,2,2,6,1,1,1,1,1,1,Indosat IM3,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0A0FBD7-2EF5-E011-BA2A-95782DEC71B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202194,SD NEGERI 040559 BIAKNAMPE,10202194,Desa Nageri,NAGERI,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1949,,01-01-1910,Silakan Upload SK,,B,"9,450",1. -,2. -,PLN,,,sdbiaknampe@gmail.com,,3.040662900000,98.319949500000,8,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,7,0,0,1,1,2,5,0,4,4,0,7,1,3,0,0,0,0,1,4,3,5,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A093FBD7-2EF5-E011-B559-D52BB670E12E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202162,SD NEGERI 040562 KUTAGUGUNG,10202162,Desa Kutagugung,KUTAGUGUNG,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1958,,01-01-1910,Silakan Upload SK,,B,"4,800",1. -,2. -,PLN,,,sdn040562kutagugung@gmail.com,,3.047669600000,98.298566900000,8,31,33,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,10,0,1,2,3,1,0,4,6,0,2,0,3,5,0,8,0,3,2,1,0,0,2,0,2,6,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40BBFBD7-2EF5-E011-9513-5361C5E864FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202118,SD NEGERI 040563 SUGIHEN,10202118,Desa Sugihen,SUGIHEN,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,12-04-1967,,01-01-1910,Silakan Upload SK,,B,"2,500",1. -,2. -,PLN,,,sdsugihen@gmail.com,http,3.032697500000,98.343831900000,6,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,4,1,0,1,5,0,1,0,1,5,1,5,0,3,0,0,1,1,0,1,1,5,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6052FBD7-2EF5-E011-AD6D-71BEEF12ECA4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202131,SD NEGERI 040564 KERIAHEN,10202131,Keriahen,KERIAHEN,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,AA766774,17-04-1990,,01-01-1910,Silakan Upload SK,,B,"1,500",1. -,2. -,PLN,0,,sdn040564keriahen@gmail.com,,3.044374600000,98.262566300000,12,0,0,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,11,1,0,0,4,1,5,2,6,6,0,10,2,2,1,0,0,1,3,5,4,8,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/705FFBD7-2EF5-E011-84BF-1F164ABE2377,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202132,SD NEGERI 040565 KIDUPEN,10202132,Kidupen,KIDUPEN,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,31/12/1945,31-12-1945,,01-01-1910,Silakan Upload SK,,C,"5,000",1. XL (GSM),2. -,PLN,,,riseria_sembiring366@yahoo.com,,3.031378800000,98.246119000000,8,37,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,4,1,0,3,5,2,0,1,3,5,0,7,1,3,1,1,0,0,0,3,2,6,1,1,1,1,1,1,XL (GSM),,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8086FBD7-2EF5-E011-9F71-B58B56AA04CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202133,SD NEGERI 040566 LAULINGGA,10202133,Desa Laulingga,LAU LINGGA,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1945,,01-01-1910,Silakan Upload SK,,C,"6,000",1. -,2. -,Tidak Ada,,,sdlaulingga@gmail.com,,3.016032300000,98.292617800000,6,34,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,6,0,0,0,4,1,0,1,4,1,1,0,1,5,0,5,1,2,3,0,0,1,0,0,1,5,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Juhar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6045FBD7-2EF5-E011-8B59-EDF525C3B07C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202139,SD NEGERI 043944 JUHAR,10202139,Desa Juhar,JUHAR GINTING,KEC. JUHAR,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1976,,01-01-1910,Silakan Upload SK,,C,"2,400",1. -,2. -,PLN,,,,,3.019583400000,98.285472400000,9,61,58,6,SD 2013,Siang/6 hari,,2022/2023-2,950,6,0,1,2,6,0,0,3,3,3,0,3,5,4,1,5,3,2,0,2,0,0,1,4,2,7,1,1,1,1,1,1,Tidak Ada,,,
