prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0E9E239-033C-E111-9679-754180C7C5A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305813,SD GMIT ASINGKALA,50305813,Sawarana,ELOK,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,43/PH.YAPTOM/SKEP/2017,01-08-1955,611/IV/4/PK/1981,24-03-1981,Lihat SK Operasional,2023-04-13 03,,"1,764",1. XL (GSM),2. Indosat IM3,Tenaga Surya,,,sdgasingkala@gmail.com,,-8.354200000000,125.044200000000,8,18,20,6,SD 2013,Pagi/6 hari,,2022/2023-2,XL (GSM),"1,300",4,0,0,0,1,0,3,4,7,1,0,0,0,8,0,4,4,3,0,3,1,0,1,0,4,4,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E039E339-033C-E111-BE99-D97A281658B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305816,SD GMIT BELEMANA,50305816,Belemana,BELEMANA,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN KABUAPTEN ALOR,AF9721,1132/KU.910/Pend/IV/2023,01-08-2017,1132/KU.910/Pend/IV/2023,01-08-2017,Lihat SK Operasional,2023-04-13 03,,"20,000",1. -,2. Indosat IM3,PLN,,,sdgmitbelemana@gmail.com,,-8.260400000000,124.244400000000,6,31,22,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",4,0,0,0,3,0,0,3,3,2,0,1,1,5,1,3,2,0,0,4,0,0,0,2,0,6,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90D6E239-033C-E111-AA74-470745B1531E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305825,SD GMIT KOLANA I,50305825,Kolana,KOLANA UTARA,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,611/IV/PK/1981,24-03-1981,1134/KU.910/Pend/IV/2023,11-04-2023,Lihat SK Operasional,2023-04-14 08,B,"1,000",1. -,2. -,PLN,,,,,-8.245200000000,125.141000000000,7,34,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,6,0,1,0,2,0,3,2,5,0,2,0,1,6,1,4,2,2,3,1,0,0,0,1,2,5,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0FCE239-033C-E111-B2B4-D1097979161A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305827,SD GMIT LANTOKA,50305827,Lantoka,TANGLAPUI,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,43/PH.YAPTOM-GMIT.II/SD/2017,08-08-1928,43/PH.YAPTOM-GMIT.II/SD/2017,01-08-2017,Lihat SK Operasional,2020-08-29 19,,"10,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdgmitlantoka@gmail.com,,-8.258701700000,124.931746800000,9,27,30,6,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",6,0,1,0,3,0,3,4,6,3,0,0,1,8,0,6,3,2,2,1,1,1,1,1,3,6,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60A837E6-13FF-E111-9508-13265376DA6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305833,SD GMIT Naumang,50305833,Moyaka,KOLANA SELATAN,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,,01-07-1917,29 Tahun 1981,24-03-1981,Silakan Upload SK (link file tidak valid) => [787888-895130--],2023-02-28 11,C,"39,100",1. -,2. -,PLN,,,sdgmitnaumang@gmail.com,,-8.282400000000,125.041600000000,9,34,37,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,0,1,0,2,6,8,1,0,0,0,9,0,3,6,4,2,2,0,0,1,0,1,8,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2026E339-033C-E111-8E8E-89A99950D521,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305837,SD GMIT SIDOMANG,50305837,Rt.03 Rw.02,PADANG PANJANG,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,,23-09-1953,,01-01-1910,Lihat SK Operasional,2023-04-19 10,C,"1,500",1. -,2. Telkomsel Flash,PLN,,,sdgmitsidomang1952@gmail.com,,-8.233300000000,124.903900000000,3,14,16,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,6,0,0,2,1,0,1,1,2,0,1,0,1,2,0,0,3,0,1,1,0,0,1,0,0,3,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C00FE339-033C-E111-8EFF-F5528BC8AA6F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305839,SD GMIT TAKALA,50305839,"Takala, RT 02, RW 06",MAUSAMANG,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN TOMINUKU ALOR,AF9704,Pend.043/VII/08/1922,12-12-1922,Pend.043/VII/08/12/1922,12-12-1922,Silakan Upload SK (link file tidak valid) => [630722-984566--],2022-06-03 13,C,"3,136",1. -,2. -,Tenaga Surya,,,dgmittakala@gmail.com,,-8.398000000000,124.203200000000,6,8,9,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,6,0,0,0,0,0,0,6,6,0,0,0,1,5,0,0,6,3,2,1,0,0,0,0,1,5,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D247720D-0A72-4799-BEEC-BE73ED96F035,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007922,SMP NEGERI KAIPERA,70007922,Kaipera,TANGLAPUI,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,283/HK/KEP/2020,05-10-2020,283/HK/KEP/2020,05-10-2020,Lihat SK Operasional,2021-07-05 07,,"9,130",1. -,2. Telkom Speedy,PLN,,,smpnkaipera.smpnk21@gmail.com,,-8.268300000000,124.952600000000,12,20,29,3,SMP 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",4,0,0,0,0,0,0,12,12,0,0,0,1,11,0,5,7,9,2,1,0,0,0,0,4,8,,,,,,,1,1,1
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F05E0F39-033C-E111-B602-B512432D2B97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305876,UPTD SD INPRES 2 TANGLAPUI,50305876,Tanglapui Timur,TANGLAPUI TIMUR,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1982-08-01,01-08-1982,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Lihat SK Operasional,2022-08-25 00,C,"24,080",1. -,2. Telkomsel Flash,PLN,,,sdinptanglapui2@gmail.com,,-8.248600000000,124.988700000000,7,38,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,0,2,3,2,0,2,5,2,0,0,2,5,0,7,0,0,1,5,0,1,0,0,2,5,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/304B0F39-033C-E111-989E-5F668E0750CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305855,UPTD SD INPRES 3 KOLANA,50305855,"Kiralela, Rt.01/RW 02",MAUSAMANG,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,66 TAHUN 1982,01-06-1982,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Lihat SK Operasional,2020-09-09 12,,"30,870",1. -,2. -,PLN,038621103,038621103,Sd_konala3@yahoo.com,,-8.365400000000,124.163400000000,10,46,39,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",6,0,1,0,0,3,0,7,10,0,0,0,1,9,0,3,7,0,1,8,0,1,0,0,1,9,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60C3E239-033C-E111-9C8F-53ED303086D6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305851,UPTD SD INPRES KAIPERA,50305851,"Kaipera, Rt.06 Rw.03",TANGLAPUI,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1994-07-01,01-07-1994,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Lihat SK Operasional,2020-09-10 10,B,"18,398",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdikaipera@gmail.com,,-8.266000000000,124.957000000000,7,39,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",5,0,2,1,2,2,0,3,5,2,0,0,2,5,0,1,6,0,2,3,0,0,0,2,4,3,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0870F39-033C-E111-8545-15C5FA1696D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305854,UPTD SD INPRES KARANGLE,50305854,Karangle,ELOK,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,162/HK/Tahun 1994,01-07-1994,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Lihat SK Operasional,2020-09-10 10,C,"6,000",1. Telkomsel Flash,2. -,PLN,,,sdinpreskarangle@gmail.com,,-8.342800000000,125.095300000000,9,18,13,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,1,1,0,2,1,0,6,7,1,1,0,1,8,1,3,5,2,3,0,2,1,0,1,4,5,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0720F39-033C-E111-9FE4-7D96B9916E1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305867,UPTD SD INPRES MAUKURU,50305867,"Maukuru, Rt.03/RW II",MAUKURU,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,1986-08-01,01-08-1986,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Silakan Upload SK (link file tidak valid) => [375470-380904--],2020-09-16 08,C,"10,000",1. Telkom Speedy,2. Smartfren,PLN,,,sdinpmaukuru@gmail.com,,-8.161119200000,124.926517100000,11,26,23,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,6,0,1,0,3,2,0,6,9,1,1,0,1,10,1,4,6,4,2,1,2,2,0,0,3,8,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30ACB73A-033C-E111-AAB4-15FA9CD00487,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50308955,UPTD SD NEGERI ERANA,50308955,Erana,ELOK,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,067/HK/KEP/2009,05-06-2013,52/Pend. 12/Pend.420/SK/VII/2009,06-07-2020,Silakan Upload SK (link file tidak valid) => [401383-65988--],2020-11-30 11,C,"5,000",1. Telkomsel Flash,2. -,Diesel,,,,http,-8.354400000000,125.011400000000,3,13,13,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,0,6,0,1,0,0,1,0,2,3,0,0,0,0,3,0,2,1,1,0,2,0,0,0,0,1,2,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Alor,Alor Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20230F39-033C-E111-89C3-B177574C2188,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305793,UPTD SD NEGERI KANAUMANA,50305793,Rt.03 Rw.04,KOLANA UTARA,KEC. ALOR TIMUR,KAB. ALOR,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1963-08-01,01-08-1963,52/Pend. 12/Pend.420/SK/VII/2020,06-07-2020,Lihat SK Operasional,2020-09-10 09,C,"12,882",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kanaumanasdn@gmail.com,,-8.240900000000,125.140100000000,8,38,37,6,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,"1,200",6,0,2,1,1,1,0,6,7,1,0,0,1,7,0,4,4,1,2,4,0,0,1,0,0,8,1,1,1,1,1,1,,,
