prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7713EF4B-187F-46C2-AFE9-C8F650C7F3C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895103,Assalaam,69895103,Komplek Mandala VI No. 132 RT. 04 RW. 11,JATIHANDAP,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,Lainnya,,C-264.HT.03.02-Th 1998,05-10-1998,6845 Tahun 2014,03-11-2014,Lihat SK Operasional,2021-05-19 00,A,0,,2.,,,,,,-6.890900000000,107.666100000000,0,147,139,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13564047-4E0E-4882-9D76-3FF8B2AE729B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60709760,MIS MIFTAHUL HUDA,60709760,JL. CIKADUT NO.252,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,AHU-5653.AH.01.04.Tahun 2011,19-08-2011,0034/SKP-IO/2018,24-01-2018,Lihat SK Operasional,2021-05-19 13,A,0,,2.,,,,,,-6.897400000000,107.670900000000,0,205,193,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE67C4BC-5589-48D1-A6AD-B6B81F9BF7C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279588,MTSS MIFTAHUL HUDA,20279588,JL. CIKADUT NO. 252 MANDALAJATI,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,,,AHU-5653.AH.01.04 Tahun 2011,19-08-2011,0046/SKP-IO/2018,24-01-2018,Lihat SK Operasional,2021-05-19 13,B,0,,2.,,,,,,-6.897400000000,107.670900000000,0,53,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7FE66DA-0F78-427A-B1B4-5D2132C82B9E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69947473,SD ABU AZIS,69947473,Jl. Jamaras IV No. 11b,JATIHANDAP,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.2/2932-Disdik/2016,21-07-2016,421.2/2932-Disdik/2016,21-07-2016,Lihat SK Operasional,2016-08-16 09,A,"1,000",,2.,,,0227275652,abuaziz.sd@gmail.com,http,-6.906479000000,107.573435900000,2,0,0,0,,,2022/2023-2,,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,SD 2013,,,,,,,,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DA50F01-AEE4-4BA9-8D0C-676CCA35784A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20252083,SD AL-IRHAAM GLOBAL ISLAMIC SCHOOL,20252083,Jl. A.H. NAsution No. 133,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan IRHAM BINTANG MUTIARA,AJ8452,421.1/022-DISDIK,31-08-2009,421.2/3730 TK.SD/2009,28-07-2009,Lihat SK Operasional,2023-01-31 12,A,"1,700",1. Lainnya,2. Telkom Speedy,Lainnya,02263761735,02263761735,agisbandung@gmail.com,http,-6.906695000000,107.669913000000,9,88,64,6,Sehari Penuh/5 hari,,2022/2023-2,"3,600",6,1,1,1,0,0,12,1,9,0,0,0,2,7,0,9,0,0,6,1,2,0,0,0,4,5,SD 2013,1,1,1,1,1,1,Lainnya,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4225197F-2EFC-4958-A88F-B2DAD3BB1F46,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69986341,SD AL-QURAN,69986341,Jl. A.H. Nasution Km 7No. 247,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Sekolah AlQuran,AG4747,0001/IPSPD/XI/2018/DPMPTSP,12-11-2018,0001/IPSPD/XI/2018/DPMPTSP,12-11-2018,Lihat SK Operasional,2019-03-18 12,B,0,1. -,2. Telkom Speedy,PLN,,02287789504,alquransekolah@gmail.com,http,-6.899764000000,107.675310000000,5,53,36,6,Sehari Penuh/5 hari,,2022/2023-2,"2,200",8,0,1,2,0,0,9,0,5,0,0,0,0,5,0,4,1,3,1,0,1,0,0,0,1,4,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0074E505-2DF5-E011-9509-81C719FE019D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20219896,SD TUNAS UNGGUL,20219896,Jl. Pasir Impun No. 94,PASIR IMPUN,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tunas Unggul,AJ8459,421.2/1019-Huk/2007,28-01-2003,421.2/1019-HUK/2007,10-04-2007,Lihat SK Operasional,2020-07-27 23,A,"7,700",1. Telkom Speedy,2. Telkom Speedy,PLN,,87789420,humas.sdtunasunggul@gmail.com,http,-6.894400000000,107.678700000000,40,290,245,22,Sehari Penuh/5 hari,,2022/2023-2,"3,500",24,0,1,8,0,0,30,12,40,0,0,0,19,21,0,37,3,10,8,10,8,4,0,0,8,32,SD 2013,4,3,4,4,4,3,Telkom Speedy,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/409C6805-2DF5-E011-9380-B315A713DA93,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245520,SDN 009 CIKADUT KOTA BANDUNG,20245520,Jl. A.H. Nasution Km.7 No. 1,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,Persil 162 D.I Kohir No.,01-01-1920,160 Tahun 2017,25-01-2017,Silakan Upload SK,,A,"1,460",1. Firstmedia,2. Lainnya (Serat Optik),PLN,,02263735415,sdn.009cikadut01@gmail.com,,-6.903800000000,107.665700000000,30,329,334,24,Double Shift/6 hari,,2022/2023-2,"2,200",7,0,0,2,17,9,0,4,14,2,6,8,17,13,1,27,2,2,1,5,7,4,1,10,5,25,SD 2013,2,4,4,4,5,5,Firstmedia,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/708C6705-2DF5-E011-B9E3-B7FBBC3CBFEC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245768,SDN 046 SINDANGLAYA KOTA BANDUNG,20245768,Jl. Arcamanik No. 28,SINDANG JAYA,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1950,160 Tahun 2017,25-01-2017,Silakan Upload SK,,B,950,1. Lainnya,2. Telkom Speedy,PLN,,0227831419,SDN.SINDANGLAYA01@GMAIL.COM,,-6.903700000000,107.680600000000,19,239,218,17,Double Shift/6 hari,,2022/2023-2,"2,500",8,0,1,3,8,5,0,6,13,0,3,3,7,12,0,14,5,5,1,2,4,2,1,4,7,12,SD 2013,2,2,3,3,3,4,Lainnya,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00596905-2DF5-E011-8721-51B87F063978,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245598,SDN 055 JATIHANDAP KOTA BANDUNG,20245598,Jl. Jatihandap  No. 50,JATIHANDAP,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1951,160 Tahun 2017,25-01-2017,Lihat SK Operasional,2022-09-02 02,B,750,1. Jardiknas,2. Lainnya (Serat Optik),PLN,,0227211803,sdn055jatihandap@gmail.com,,-6.899600000000,107.657600000000,24,258,289,19,Double Shift/6 hari,,2022/2023-2,"2,200",8,0,0,2,8,9,0,7,17,1,3,3,10,14,0,18,6,4,1,5,5,3,4,2,6,18,SD 2013,3,3,3,3,4,3,Jardiknas,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/409C6705-2DF5-E011-A85A-9714E3036B3B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245769,SDN 068 SINDANGLAYA KOTA BANDUNG,20245769,Jl. A.H. Nasution Km.9 No.15,SINDANG JAYA,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/Kep.674-DisDik/2017,01-01-1952,420/Kep.674-DisDik/2017,21-06-2017,Lihat SK Operasional,2022-09-02 01,A,"1,708",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,0,02287883826,sdn068sindanglaya@gmail.com,,-6.905100000000,107.680600000000,30,350,335,25,Double Shift/6 hari,,2022/2023-2,"2,200",10,0,1,4,17,6,0,7,14,2,8,6,16,14,1,26,3,6,0,4,8,2,2,8,7,23,SD 2013,4,4,4,4,4,5,Telkomsel Flash,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0AA6805-2DF5-E011-95B0-53F631D79B38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245521,SDN 084 CIKADUT KOTA BANDUNG,20245521,Jl. Jamaras 4  No.101,JATIHANDAP,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,01.KEL.M.J,01-01-1956,160 Tahun 2017,25-01-2017,Silakan Upload SK,,A,722,1. Smartfren,2. Lainnya (Serat Optik),PLN,,02263731979,sdn084cikadut@gmail.com,,-6.902700000000,107.664500000000,16,205,211,16,Double Shift/6 hari,,2022/2023-2,"2,200",5,0,0,2,10,6,0,0,7,1,3,5,11,5,0,16,0,1,0,3,1,4,2,5,5,11,SD 2013,2,2,3,3,3,3,Smartfren,,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/403C6905-2DF5-E011-9602-4D20DEE6C0E4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245596,SDN 165 JATIHANDAP KOTA BANDUNG,20245596,Jl. Jatihandap Gg. Masjid,JATIHANDAP,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,no,01-01-1961,160 Tahun 2017,01-01-1961,Silakan Upload SK,,B,0,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,0227235514,sdn_jatihandap_bandung@yahoo.co.id,,-6.898300000000,107.656900000000,12,138,125,10,Double Shift/6 hari,,2022/2023-2,"1,300",3,0,1,2,5,5,0,2,9,1,2,0,4,8,0,12,0,3,2,1,3,1,2,0,4,8,SD 2013,2,2,2,1,1,2,Lainnya (Serat Optik),,,
Jawa Barat,Kota Bandung,Mandalajati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0846905-2DF5-E011-A77E-1B6D753BCC07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20245733,SDN 174 PASIR IMPUN KOTA BANDUNG,20245733,Jl. Pasir Impun No. 23,KARANG PAMULANG,KEC. MANDALAJATI,KOTA BANDUNG,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-07-1975,420/Kep.674-DisDik/2017,21-06-2017,Lihat SK Operasional,2022-09-02 01,A,"1,266",1. Telkom Speedy,2. Lainnya (Wavelan),PLN,,0227216482,maungdungus@yahoo.com,,-6.898300000000,107.673800000000,23,295,257,20,Double Shift/6 hari,,2022/2023-2,"1,310",8,0,1,3,8,8,0,7,16,0,3,4,9,14,0,23,0,7,3,3,3,0,1,6,8,15,SD 2013,3,3,3,3,4,4,Telkom Speedy,,,
