prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E368EA5-B76C-4DED-BC40-3E0E359450BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40406005,MTSN 4 WAKATOBI,40406005,JLN. POROS WAHA USUKU,TEEMOANE,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,184 Tahun 2019,25-11-2014,184 Tahun 2019,25-11-2014,Lihat SK Operasional,2020-01-14 09,B,0,,2.,,,,,,-5.743543000000,123.916395000000,0,47,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1EF123A8-9E00-4633-9B6A-7E713A671370,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69881759,MTSS Nurul Furqon,69881759,Poros desa Timu,PATUA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,SWASTA,MTs,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-5.777954500000,123.951716000000,0,9,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0E0DBC9-30F5-E011-85A4-4DC0306CA940,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402356,SD NEGERI 1 WAHA TOMIA,40402356,Waha,WAHA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0,31-12-1922,005/SIO-SD/V/2022,01-01-1910,Lihat SK Operasional,2022-08-03 09,A,"2,560",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,,sdnwahatomia@gmail.com,,-5.266200000000,123.559500000000,9,83,66,6,Pagi/6 hari,,2022/2023-2,"5,499",6,0,1,6,7,0,0,2,3,1,2,3,6,3,0,6,3,1,1,3,0,2,1,1,2,7,SD 2013,Telkomsel Flash,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0028DCC9-30F5-E011-87BD-9747B6DF08A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402409,SD NEGERI 2 WAHA,40402409,KEL ONEMAY,ONEMAY,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1979,,01-01-1910,Silakan Upload SK,,B,"4,320",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdz_waha@yahoo.com,,-5.254800000000,123.524700000000,11,45,42,6,Pagi/6 hari,,2022/2023-2,0,6,0,1,1,6,1,0,4,6,0,4,1,4,7,0,9,2,3,0,4,2,1,0,1,3,8,SD 2013,Telkomsel Flash,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D075DCC9-30F5-E011-BA69-99A8D0084C3B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402400,SD NEGERI 3 WAHA,40402400,Waha,WAHA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1973,,01-01-1910,Silakan Upload SK,,B,"4,774",1. -,2. Telkomsel Flash,PLN,,,sdn3wahatomia@yahoo.co.id,,-5.722500000000,123.905400000000,8,43,45,6,Pagi/6 hari,,2022/2023-2,900,5,0,1,1,5,1,0,2,4,1,2,1,4,4,0,7,1,1,2,0,3,0,1,1,3,5,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00ECDCC9-30F5-E011-8930-BFE31A10723F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402399,SD NEGERI KOLLOSOHA,40402399,JL. POROS WAHA USUKU,KOLLO SOHA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,03-10-2005,,01-01-1910,Lihat SK Operasional,2022-09-15 15,B,"2,628",1. -,2. Telkomsel Flash,PLN,,,sdnkollosoha@gmail.com,,-5.757600000000,123.929700000000,8,31,16,6,Pagi/6 hari,,2022/2023-2,"1,300",3,0,1,2,6,0,0,2,2,2,3,1,5,3,0,8,0,1,0,4,2,0,1,0,0,8,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0DEDCC9-30F5-E011-8D9E-A787F746729E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402295,SD NEGERI LAMANGGAU,40402295,Lamanggau,LAMANGGAU,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,411/421-SD/XII/1982,31-12-1982,001/S10-SD/VII/2021,20-07-2021,Lihat SK Operasional,2021-08-20 13,B,"2,604",1. -,2. Telkomsel Flash,PLN,,,sdnlamanggau70@gmail.com,,-5.769300000000,123.904700000000,14,73,66,7,Pagi/6 hari,,2022/2023-2,900,5,0,0,2,5,0,0,9,12,0,2,0,1,13,0,8,6,10,1,3,0,0,0,0,4,10,SD 2013,Tidak Ada,1,1,2,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0F8DCC9-30F5-E011-A572-3D3A9AB3985A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402282,SD NEGERI RUNDUMA,40402282,Runduma,RUNDUMA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,0,1. -,2. -,Tenaga Surya,,,sdnrunduma@gmail.com,,-5.346900000000,124.351400000000,9,34,32,6,Pagi/6 hari,,2022/2023-2,70,3,0,1,2,3,3,0,3,7,0,1,1,2,7,0,7,2,3,1,3,1,0,1,0,5,4,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/004FDCC9-30F5-E011-B725-976FCBE74133,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402286,SD NEGERI TANOWALI,40402286,Wali,PATUA,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1968,,01-01-1910,Silakan Upload SK,,A,"5,472",1. -,2. -,PLN,0,,tanowalisdn@gmail.com,,-5.725300000000,123.932700000000,8,27,23,6,Pagi/6 hari,,2022/2023-2,898,7,0,1,2,5,0,0,3,3,1,2,2,5,3,0,8,0,1,0,4,0,0,2,1,2,6,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tenggara,Kab. Wakatobi,Tomia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0A9DCC9-30F5-E011-83F7-69ED90B18207,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402287,SD NEGERI TEEMOANE,40402287,TEEMOANE,TEEMOANE,KEC. TOMIA,KAB. WAKATOBI,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,457/BTN/1980,01-07-1980,,01-01-1910,Silakan Upload SK,,A,"5,431",1. Telkom Speedy,2. Telkom Astinet,PLN,,,teemoanesdn@gmail.com,,-5.757500000000,123.908900000000,8,34,31,6,Pagi/6 hari,,2022/2023-2,"1,200",4,0,0,1,2,1,0,5,6,0,1,1,2,6,0,8,0,2,1,2,0,2,0,1,2,6,SD 2013,Telkom Speedy,1,1,1,1,1,1,,,
