prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DFC55F04-DA25-4C0A-9B8B-F94E8A9AE6E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40210262,MTSS ALKHAIRAAT DOLONG,40210262,DOLONG A,DOLONG A,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,SWASTA,MTs,Kementerian Agama,,,834 Tahun 2016,17-10-2016,834 Tahun 2016,17-10-2016,Lihat SK Operasional,2020-01-08 15,B,0,,2.,,,,,,-.358669000000,122.111966000000,0,29,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60E93F58-013C-E111-BE5D-258463F1D43A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203415,SD NEGERI DOLONG A,40203415,Dolong A,DOLONG A,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/036/Dkds-Dikpora/2020,01-05-1979,425.11/036/Dkds-Dikpora/2020,30-08-2020,Lihat SK Operasional,2020-08-31 04,B,"2,800",1. -,2. -,PLN,,,sdn1dolonga@gmail.com,,-.264800000000,122.216500000000,9,36,36,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,4,0,0,5,5,2,2,0,0,9,1,8,0,1,1,1,3,1,1,1,3,6,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/402D4058-013C-E111-8265-E937D1D70F15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203401,SD NEGERI DOLONG B,40203401,Desa Dolong B,DOLONG B,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/037/Dkds-Dikpora/2020,30-08-2020,425.11/037/Dkds-Dikpora/2020,30-08-2020,Silakan Upload SK (link file tidak valid) => [794327-303273--],2023-03-08 20,B,"1,481",1. -,2. -,PLN,,,zulfikar_mardani@yahoo.com,http,-.261700000000,122.212500000000,10,108,58,6,Pagi/6 hari,,2022/2023-2,900,5,0,1,2,6,0,0,4,4,2,2,2,2,8,2,5,3,2,1,1,0,3,1,2,4,6,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80004058-013C-E111-B9C1-CF9B6A288D58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203473,SD NEGERI KOLAMI,40203473,Kolami,KOLAMI,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,Ada,31-08-2020,Ada,31-08-2020,Lihat SK Operasional,2023-02-15 14,B,"2,437",1. -,2. -,PLN,,,sdn.kolami21@gmail.com,,-.282200000000,122.228000000000,7,32,36,6,Pagi/6 hari,,2022/2023-2,"1,200",7,0,0,0,4,1,0,2,3,1,3,0,2,5,3,1,3,1,0,1,0,3,1,1,5,2,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0174058-013C-E111-ACF1-4B5A9D0773A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203433,SD NEGERI LOE,40203433,LOE,LOE,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/088/Dkds-Dikpora/2020,31-08-2020,425.11/088/Dkds-Dikpora/2020,31-08-2020,Lihat SK Operasional,2020-09-01 07,B,"1,466",1. -,2. -,PLN,,,sdnloe@gmail.com,,-.274300000000,122.219300000000,9,18,30,6,Pagi/6 hari,,2022/2023-2,0,6,0,2,0,8,0,0,1,2,2,4,1,1,8,2,4,3,1,0,3,2,2,0,1,6,3,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E02C4258-013C-E111-B6C7-69844DBB1901,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203279,SD NEGERI MILOK,40203279,Tiga Pulau,TIGA PULAU,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,421.2/157/Dkds-Dikpora/2020,01-10-1986,425.11/157/Dkds-Dikpora/2020,01-01-1910,Lihat SK Operasional,2020-10-05 06,C,"1,000",1. -,2. -,PLN,,,miloksdn@gmail.com,,-.259200000000,122.198300000000,11,39,37,6,Pagi/6 hari,,2022/2023-2,900,8,0,1,0,7,1,0,3,5,3,3,0,3,8,1,7,3,3,1,4,2,1,0,0,3,8,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80434058-013C-E111-AF08-83AEF9077B07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203472,SD NEGERI OLILAN,40203472,Olilan,OLILAN,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,421.2/052/Dkds-Dikpora/2020,31-08-2020,425.11/052/Dkds-Dikpora/2020,31-08-2020,Silakan Upload SK (link file tidak valid) => [607336-465460--],2022-03-24 15,B,"5,236",1. Lainnya,2. Lainnya,PLN,,,sdnolilan175@yahoo.com,,-.255300000000,122.188500000000,11,32,29,6,Pagi/6 hari,,2022/2023-2,"1,200",7,0,1,0,6,0,0,5,8,2,1,0,1,10,1,8,2,2,2,1,2,1,1,2,3,8,SD 2013,Lainnya,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50D74158-013C-E111-BE3F-5DDC91A68DF4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203265,SD NEGERI POPOLII,40203265,Desa Popolii,POPOLII,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1956-01-04,04-01-1956,425.11/115/Dkds-Dikpora/2020,31-08-2020,Lihat SK Operasional,2020-09-01 07,C,"2,800",1. -,2. -,PLN,085293717536,,sdnpopoliiwakep@gmail.com,,-.230900000000,122.200100000000,8,40,37,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,3,0,0,5,5,1,2,0,0,8,2,4,2,2,1,2,2,1,0,0,1,7,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0C14158-013C-E111-B5E4-E72065E4D46D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203303,SD NEGERI TOWANI,40203303,Luok,LUOK,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/052/Dkds-Dikpora/2020,31-08-2020,425.11/052/Dkds-Dikpora/2020,31-08-2020,Lihat SK Operasional,2020-08-31 16,C,"2,800",1. -,2. -,PLN,,,Sdnluok@yahoo.com,,-.281300000000,122.322900000000,9,21,13,6,Pagi/6 hari,,2022/2023-2,450,6,0,0,0,5,0,0,4,4,3,2,0,1,8,1,6,2,0,1,2,4,0,0,2,6,3,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
Sulawesi Tengah,Kab. Tojo Una-Una,Walea Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0024258-013C-E111-86DE-C92A1AC3432B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40203357,SD NEGERI TUTUNG,40203357,TUTUNG,TUTUNG,KEC. WALEA KEPULAUAN,KAB. TOJO UNA-UNA,PROV. SULAWESI TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/032/Dkds-Dikpora/2020,01-01-1975,425.11/032/Dkds-Dikpora/2020,01-01-1910,Lihat SK Operasional,2020-08-30 19,C,"1,624",1. -,2. -,PLN,,,sdntutung33@gmail.com,,-.263800000000,122.189000000000,11,43,52,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,1,8,0,0,3,6,1,4,0,1,10,1,8,2,0,2,1,4,0,3,1,3,8,SD 2013,Tidak Ada,1,1,1,1,1,1,,,
