prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/804A34FB-30F5-E011-A908-47907AFB3765,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101406,SD INPRES SINAIRUSI,60101406,Sinai  Rusi,SINAIRUSI,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,15-07-1985,,01-01-1910,Silakan Upload SK,,C,"1,050",,2.,,,,,,-7.551300000000,129.664800000000,4,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,4,0,0,0,0,3,1,0,0,4,0,3,1,0,0,2,1,0,0,1,3,1,,,,,,,,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/703D34FB-30F5-E011-AC53-2311BDC259DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103048,SD INPRES TELA,60103048,Tela,TELA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,10-06-1984,,01-01-1910,Silakan Upload SK,,B,"1,748",1. -,2. -,PLN & Diesel,,,,,-8.009507500000,129.673254200000,6,43,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,5,0,0,0,5,0,0,1,1,4,1,0,2,4,0,5,1,0,1,1,0,0,3,1,4,2,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E02A99FB-30F5-E011-B67B-95FACFE62C51,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101426,SD KRISTEN HERTUTI,60101426,DESA HERTUTI,HERTUTI,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,421.2/DPK-08.10/KEP/I/2020,18-10-1955,421.2/DPK-08.10/KEP/I/2020,06-01-2020,Silakan Upload SK (link file tidak valid) => [500106-670198--],2021-08-24 17,C,"11,250",1. -,2. -,Diesel,,,sdkristen.hertuti@yahoo.co.id,,-7.568800000000,129.696600000000,4,30,22,6,SD 2013,Pagi/6 hari,,2022/2023-2,"10,000",6,0,0,1,4,0,0,0,0,4,0,0,0,4,2,2,0,0,0,1,0,1,2,0,1,3,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/904599FB-30F5-E011-B07F-5F635A9B87CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103035,SD KRISTEN IMROING,60103035,Imroing,IMROING,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,421.2/DPK-08.15/KEP/I/2020,14-02-1935,421.2/DPK-08.15/KEP/I/2020,06-01-2020,Lihat SK Operasional,2020-09-01 07,C,"2,500",1. -,2. -,PLN,,,,,-7.974500000000,129.725900000000,6,51,49,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,000",6,0,0,0,4,0,0,2,2,4,0,0,0,6,0,6,0,0,1,1,0,1,3,0,1,5,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80F698FB-30F5-E011-B33B-2B1D9ACFF019,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101423,SD KRISTEN LETZIARA,60101423,Letziara,LETSIARA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,01/01/1910,01-01-1910,421.2/DPK-08.26/KEP/I/2020,06-01-2020,Silakan Upload SK (link file tidak valid) => [430835-202277--],2021-03-20 09,B,"5,655",,2.,,,,,,-7.852673200000,129.605198000000,5,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,4,0,0,1,1,1,3,0,2,3,0,1,4,0,1,0,2,0,1,1,0,5,,,,,,,,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/701099FB-30F5-E011-9E92-F5167B9649F8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101384,SD KRISTEN TELA,60101384,TELA,TELA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,421.2/DPK-08.46/KEP/I/2020,28-03-1918,421.2/DPK-08.46/KEP/I/2020,06-01-2020,Lihat SK Operasional,2020-09-01 07,C,"2,500",1. -,2. -,PLN & Diesel,,,ullensdkristentela@gmail.com,,-8.003054600000,129.670038500000,8,36,48,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,9,0,1,1,3,0,0,5,6,2,0,0,0,8,1,4,3,3,1,0,1,0,1,2,2,6,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E01D99FB-30F5-E011-A78A-D35E63AF5AE8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101376,SD KRISTEN YALTUBUNG,60101376,Yaltubung,POTA BESAR,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,421.2/DPK-08.59/KEP/I/2020,01-10-1931,421.2/DPK-08.59/KEP/I/2020,06-01-2020,Lihat SK Operasional,2020-09-01 07,C,"3,500",1. -,2. -,PLN,,,,,-7.932741500000,129.660490000000,5,34,30,6,SD 2013,Pagi/6 hari,,2022/2023-2,450,3,0,0,0,5,0,0,0,0,2,3,0,2,3,0,5,0,0,0,1,1,0,3,0,3,2,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07233FB-30F5-E011-A2EE-6528EC63F51A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101476,SD NEGERI 1 TEPA,60101476,Tepa,TEPA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,04-10-1942,,01-01-1910,Silakan Upload SK,,A,"9,375",1.,2.,PLN & Diesel,,,,,-7.866932800000,129.595727300000,8,66,67,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,7,0,1,0,8,0,0,0,0,3,5,0,2,6,1,5,2,0,0,1,0,1,3,3,3,5,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A07F33FB-30F5-E011-80B2-CFE02039E057,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103043,SD NEGERI 2 INPRES TEPA,60103043,Tepa,TEPA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,20-06-1974,,01-01-1910,Silakan Upload SK,,B,"3,500",1. Telkomsel Flash,2. Jardiknas,PLN,,,sdn2tepa@gmail.com,,-7.864450500000,129.595981800000,8,76,76,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,1,6,0,0,2,2,6,0,0,1,7,0,3,5,2,0,0,1,1,4,0,2,6,1,1,1,1,1,1,Telkomsel Flash,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/908B34FB-30F5-E011-A60D-051CA57D6DAF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101469,SD NEGERI LEWAH,60101469,Lewah,LEWAH,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,12-11-1990,,01-01-1910,Silakan Upload SK,,C,"2,000",1. -,2. -,Tidak Ada,,,,,-7.563900000000,129.686000000000,6,30,19,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,5,0,0,0,6,0,0,0,0,3,3,0,1,5,2,4,0,1,0,1,1,1,2,0,6,0,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/400934FB-30F5-E011-AA3B-112842B29BD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103416,SD NEGERI MANUWUI,60103416,Manuwui,MANUWUI,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,13-01-1967,,01-01-1910,Silakan Upload SK,,C,"5,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnmanuwui@gmail.com,,-7.861424700000,129.648756700000,7,42,44,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,4,0,0,3,3,4,0,0,0,7,0,4,3,1,2,0,1,0,3,0,2,5,1,1,1,1,1,1,Telkomsel Flash,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/603034FB-30F5-E011-82E5-ADEE4A066717,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101467,SD NEGERI MASBUAR,60101467,Masbuar,POTA BESAR,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,02-09-1982,,01-01-1910,Silakan Upload SK,,B,"2,500",1. -,2. -,Diesel,,,,,-8.024345600000,129.694187700000,6,29,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,4,0,0,2,2,3,1,0,1,5,0,3,3,0,1,0,0,1,4,0,2,4,1,1,1,1,1,1,Tidak Ada,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C06434FB-30F5-E011-A59C-AB43C9D0C4B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101490,SD NEGERI WATRUPUN,60101490,Watrupun,LETSIARA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,20-08-1990,,01-01-1910,Silakan Upload SK,,Tidak Terakreditasi,"5,600",1. Telkomsel Flash,2. Lainnya,PLN,,,,,-7.938900000000,129.819900000000,2,14,20,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,4,0,1,0,2,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,Telkomsel Flash,,,
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90C8E3FB-30F5-E011-8A0C-DF5E60383121,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101196,SMP KRISTEN 1 PULAU-PULAU BABAR,60101196,Tepa,TEPA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,19/420/KP/YPPK/7/1989,08-06-1989,343/117/M/1989,26-05-1989,Lihat SK Operasional,2020-06-04 22,B,"2,809",1. -,2. -,PLN & Diesel,,,,,-7.996000000000,129.725900000000,9,38,48,3,SMP 2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,2,3,0,0,6,6,2,1,0,1,8,0,6,3,3,2,1,0,0,1,2,2,7,,,,,,,Tidak Ada,1,1,1
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D5E3FB-30F5-E011-A17A-BB417E4CB663,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101198,SMP KRISTEN 2 PULAU-PULAU BABAR,60101198,Tela,TELA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PEMBINAAN PENDIDIKAN KRISTEN DR. J. B. SITANALA,AK8991,334/17/C/89,30-05-1989,,01-01-1910,Silakan Upload SK,,B,"3,500",1. -,2. -,PLN,,,smpktela@gmail.com,,-8.002756600000,129.669441200000,13,55,51,4,SMP 2013,Pagi/6 hari,,2022/2023-2,900,1,1,1,2,6,0,0,7,7,4,2,0,1,12,1,6,6,3,1,3,2,1,1,2,5,8,,,,,,,Tidak Ada,2,1,1
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0D8CBFB-30F5-E011-AAAD-3F9268F8208D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101169,SMP NEGERI 1 PULAU PULAU BABAR,60101169,Tepa,TEPA,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,38/SK/B/III/1959,05-08-1959,,05-08-1959,Silakan Upload SK (link file tidak valid) => [497716-121534--],2021-08-22 11,B,"5,538",1. -,2. -,PLN,,,ppbabarsmpn1@gmail.com,http,-7.864800000000,129.596400000000,14,80,64,6,SMP 2013,Pagi/6 hari,,2022/2023-2,"2,200",9,1,1,0,5,0,0,9,11,0,3,0,1,13,0,5,9,3,6,2,0,0,1,2,3,11,,,,,,,Tidak Ada,2,2,2
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B00C7C0B-F5FE-E111-B068-DF35F5F9955F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102362,SMP NEGERI SATAP SINAIRUSI,60102362,SINAIRUSI-DAI,SINAIRUSI,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"1,500",1. -,2. XL (GSM),Lainnya,,,smpn.sinairusi@gmail.com,,-7.558400000000,129.668200000000,7,27,23,3,SMP 2013,Pagi/6 hari,,2022/2023-2,400,3,0,1,2,1,0,0,6,6,1,0,0,0,7,1,5,1,0,5,1,0,0,1,0,2,5,,,,,,,Tidak Ada,1,1,1
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/402D7C0B-F5FE-E111-87DC-915A7C4C9F38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60103414,SMP NEGERI SATAP WATRUPUN,60103414,WATRUPUN,WASARILI,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,421-678 tahun 2006,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"5,600",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,watrupunsmpnsatap@gmail.com,,-7.886700000000,129.527100000000,5,21,17,3,SMP 2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,4,2,0,0,3,4,0,1,0,1,4,0,1,4,2,1,0,0,0,2,0,4,1,,,,,,,Telkomsel Flash,1,1,1
Maluku,Kab. Maluku Barat Daya,Pulau-pulau Babar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70BBE3FB-30F5-E011-825A-299F6EAB3F55,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60101159,SMP PGRI YALTUBUNG,60101159,Yaltubung,POTA BESAR,KEC. PULAU-PULAU BABAR,KAB. MALUKU BARAT DAYA,PROV. MALUKU,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,830/I.17/N/90,02-07-1990,421.3/DPK-07/KEP/I/2020,06-01-2020,Lihat SK Operasional,2020-08-31 09,C,"10,000",1. -,2. Telkomsel Flash,PLN,,,,,-7.901100000000,129.761900000000,8,26,16,3,SMP 2013,Pagi/6 hari,,2022/2023-2,900,5,0,0,0,3,0,0,5,6,1,1,0,0,8,1,5,2,2,1,2,1,0,1,1,2,6,,,,,,,Tidak Ada,1,1,1
