prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/403A0BCA-30F5-E011-ACEB-B3FD51EEE706,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402783,SD NEGERI 1 BONE-BONE,40402783,JL. WA ODE WAU NO. 17,BONE-BONE,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,030 Tahun 2020,09-10-2020,030 Tahun 2020,09-10-2020,Lihat SK Operasional,2020-11-04 12,B,"1,604",1. -,2. Telkom Speedy,PLN,,04022822862,sdn1bonebone@gmail.com,http,-5.465302800000,122.590669100000,20,225,216,16,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,200",9,1,1,2,14,0,0,6,7,3,7,3,8,12,0,19,1,4,3,5,2,0,5,1,5,15,3,2,3,3,2,3
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0EB0BCA-30F5-E011-940C-7750F3BA2143,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402786,SD NEGERI 1 KAOBULA,40402786,Jl. Hayam Wuruk No. 90,KAOBULA,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/11/1962,01-01-1962,420/137.a/2022,01-01-1962,Lihat SK Operasional,2022-06-02 08,B,776,1. Telkomsel Flash,2. -,PLN,,,sdn1kaobula@gmail.com,http,-5.458016700000,122.596961700000,8,63,54,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",6,0,0,2,5,0,0,3,4,2,2,0,5,3,0,7,1,3,0,2,0,1,2,0,3,5,1,1,1,1,1,1
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40AF0ACA-30F5-E011-9161-D702F2343671,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402818,SD NEGERI 1 NGANGANAUMALA,40402818,Jln Wakakaa No.47,LANTO,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,000000,01-01-1910,000000,01-01-1910,Silakan Upload SK (link file tidak valid) => [553578-539613--],2021-12-14 09,A,"1,568",1. -,2. Telkom Speedy,PLN,0402,04022824396,sdn1.nganganaumala@gmail.com,http,-5.457286700000,122.599821700000,12,98,90,8,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",10,1,1,2,5,3,0,4,8,0,2,2,6,6,0,10,2,3,2,0,4,1,0,2,3,9,2,2,1,1,1,1
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E04709CA-30F5-E011-B066-7D7EED098257,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402820,SD NEGERI 1 WAMEO,40402820,Jl. Hayam Wuruk  No. 139 A,TARAFU,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1954,,01-01-1910,Silakan Upload SK,,B,745,1. -,2. Lainnya (Serat Optik),PLN,,04022824591,sdn01wameo@gmail.com,http,-5.460700000000,122.593300000000,16,168,167,12,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,200",10,0,0,0,8,2,0,6,9,0,1,6,8,8,0,14,2,3,0,4,2,1,1,5,1,15,2,2,2,2,2,2
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60920ACA-30F5-E011-A46B-F3CD16C4A2F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402825,SD NEGERI 2 BONE-BONE,40402825,Jl. Erlangga No.161 A,BONE-BONE,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,503/001/IPPSPN/VIII/2022,31-12-1977,503/001/IPPSPN/VIII/2022,02-06-2022,Lihat SK Operasional,2023-02-14 10,A,"2,074",1. Telkomsel Flash,2. Telkom Speedy,PLN,0402,2826721,sdn2bonebone@ymail.com,http,-5.466528300000,122.590338300000,16,148,131,12,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,500",7,0,1,0,7,3,0,6,9,2,4,1,6,10,0,11,5,2,0,7,2,2,3,0,3,13,2,2,2,2,2,2
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40030ACA-30F5-E011-A5CA-EB7C6C6AE150,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402817,SD NEGERI 2 KAOBULA,40402817,Jl. Hayam Wuruk No.03,KAOBULA,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,04-01-1982,,01-01-1910,Silakan Upload SK,,A,"1,825",1. Telkom Speedy,2. Telkom Speedy,PLN,,04022826754,sd2kaobula@gmail.com,http,-5.459100000000,122.598500000000,8,30,23,6,SD 2013,Sehari Penuh/3 hari,,2022/2023-2,Telkom Speedy,"2,200",7,0,1,2,6,0,0,2,2,3,2,1,3,5,0,7,1,0,0,3,1,0,1,3,0,8,1,1,1,1,1,1
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303909CA-30F5-E011-A256-5F962F1CE54C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402810,SD NEGERI 2 NGANGANAUMALA,40402810,JL. ERLANGGA NO. 36,LANTO,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,INPRES NO. 6 TAHUN 1975,10-12-1976,INPRES NO. 5 TAHUN 1977,10-03-1977,Silakan Upload SK,,A,"2,596",1. -,2. Telkom Speedy,PLN,0402,04022827314,sdnnganganaumaladua@yahoo.co.id,http,-5.460105600000,122.599305900000,13,117,105,9,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"5,700",6,0,1,0,8,0,0,5,6,4,2,1,2,11,2,10,1,3,1,1,3,3,1,1,3,10,1,1,2,2,1,2
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70660ACA-30F5-E011-AD3A-375AFC0449C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402813,SD NEGERI 2 WAMEO,40402813,Jl. Hayam Wuruk No. 88 Bau-bau,KAOBULA,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1969,,01-01-1910,Silakan Upload SK,,C,"1,244",1. Telkomsel Flash,2. Telkom Speedy,PLN,,04022822837,sdn2wameo@gmail.com,,-5.458053300000,122.596926700000,17,125,138,12,SD 2013,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,1,8,0,0,1,8,3,0,6,9,3,4,1,5,12,0,17,0,3,1,6,3,1,2,1,2,15,2,2,2,2,2,2
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60F409CA-30F5-E011-BD8D-F19EDA8DFC08,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402744,SD NEGERI 3 NGANGANAUMALA,40402744,Jln. Murhum No 45 J,NGANGANAUMALA,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1980,503/004/IPPSPN/IX/2022,01-09-2022,Silakan Upload SK (link file tidak valid) => [758989-366080--],2023-01-18 09,A,"1,060",1. Telkomsel Flash,2. Telkom Speedy,PLN,,04022824388,sdn3nganganaumala@gmail.com,http,-5.460600000000,122.604000000000,14,92,88,9,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",5,0,0,0,4,2,0,8,9,0,2,3,7,7,0,12,2,5,1,2,0,2,1,3,5,9,1,2,1,1,2,2
Sulawesi Tenggara,Kota Baubau,Batupoaro,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90D409CA-30F5-E011-A742-255BEE171B48,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40402746,SD NEGERI 3 WAMEO,40402746,Jl. Erlangga No. 139 A,TARAFU,KEC. BATUPOARO,KOTA BAUBAU,PROV. SULAWESI TENGGARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/134-a/2022,31-12-1977,420/134-a/2022,18-04-2022,Lihat SK Operasional,2022-05-29 18,A,"1,287",1. -,2. Telkom Speedy,PLN,0402,04022826963,sdn3wameo@yahoo.co.id,http,-5.464388300000,122.592486700000,13,114,95,9,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"3,500",3,0,0,0,7,0,0,6,6,1,4,2,7,6,0,11,2,1,2,4,3,0,1,2,1,12,1,1,2,2,2,1
