prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A129355E-30A0-46F2-9FA3-6593326B3CBD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955848,Darul Muqomah,69955848,Jl. Kartika Sari,SRI MERANTI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.567800000000,101.416700000000,0,41,29,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AC41CD3-48DD-4E93-9584-C328D3BD75A6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955847,Imam Ibnu Katsir,69955847,Jl. Pekanbaru-Minas Km.18 /Jl. Belidang,MUARA FAJAR,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.000000000000,.000000000000,0,271,199,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB7BFA1F-2CF8-4237-BAD7-2BA69464394F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704545,MIN 2 Kota Pekanbaru,60704545,JL. YOS SUDARSO KM. 22,MUARA FAJAR,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,,02-06-1992,50 Tahun 2010,04-01-2016,Lihat SK Operasional,2021-07-15 12,A,0,,2.,,,,,,.662800000000,101.422200000000,0,188,167,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/057E46D2-014A-4F9D-BDC9-0120114F2D3F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70010823,MIS AL-FURSAN,70010823,JL. BELIDANG,MUARA FAJAR,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,297 tahun 2020,29-06-2021,297 Tahun 2020,29-06-2021,Lihat SK Operasional,2021-07-28 13,B,0,,2.,,,,,,.000000000000,.000000000000,0,54,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/712348FF-CADE-487F-8364-DC3EF89BA83A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70010106,MIS IBNU AL MUBAROK,70010106,JL. Sri Amanah No. 29 28292,MUARA FAJAR,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,290 Tahun 2020,23-06-2020,290 Tahun 2020,23-06-2020,Lihat SK Operasional,2021-05-07 14,,"2,788",,2.,,,,,,.000000000000,.000000000000,0,78,58,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20D1D1DA-7095-498E-A901-E0C586A40065,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704546,MIS MUHAMMADIYAH 01,60704546,JL. UMBAN SARI ATAS,UMBAN SARI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MI,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kota Pekanbaru,AI2331,Kd.04.4/71/MI/PP.00/0014/2010,22-06-2010,Kd04.4/04/PP.00/1350/2009,01-12-2009,Lihat SK Operasional,2022-07-28 08,B,0,,2.,,,,,,.582900000000,101.418600000000,0,124,123,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D96B383-8B37-46E2-96E9-7942BFD40710,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70031668,MTs Ash Shiddiq,70031668,Jalan Umban Sari Atas Gang Geso X RT/RW 003/010,UMBAN SARI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,,,261 TAHUN 2022,17-05-2022,Silakan Upload SK (link file tidak valid) => [230299-863712-https,2022-08-03 09,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90A07D85-C096-4C61-9267-FBCE4F9EF3EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029792,MTs Darul Ridho,70029792,Jl Maju Sari No 03 Rt 02  Rw 10,UMBAN SARI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,,,254 TAHUN 2022,17-05-2022,Silakan Upload SK (link file tidak valid) => [212098-995303-https,2022-06-20 00,,0,,2.,,,,,,.000000000000,.000000000000,0,5,2,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96E94F19-18DC-492D-A9B3-212C4DB164B7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69995033,MTs TAHFIZH DARUL QURAN,69995033,Jl. Yos Sudarso KM 21,MUARA FAJAR,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,Lainnya,,AHU-0004599.AH.01.04,27-02-2017,300,27-05-2019,Lihat SK Operasional,2021-09-23 15,A,0,,2.,,,,,,.662900000000,101.419300000000,0,72,48,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D88EFF16-435E-4F16-8B55-1DD52AD88F7B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499303,MTSN 2 PEKANBARU,10499303,JL. YOS SUDARSO KM. 15,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,INDONESIA,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,.625800000000,101.423500000000,0,236,239,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/906EAFC8-2CBF-4713-86D7-78BF6C4FA429,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499306,MTSS QURRATA `AYUN,10499306,JL. DARMA NO. 137,RUMBAI BUKIT,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,Kd/04.4/4/71/Mts/PP.00/0022/2010,22-06-2010,Kd/04.4/4/71/Mts/PP.00/0022/2010,22-06-2010,Lihat SK Operasional,2021-12-31 20,C,0,,2.,,,,,,.620207000000,101.398391000000,0,53,53,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9F4E4B8-6CAF-43B5-811E-0A55DFC775C5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499305,MTSS TAUFIQ WAL HIDAYAH,10499305,JL. YOS SUDARSO KM. 3,UMBAN SARI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,51,22-06-2010,212147108007,10-09-1990,Lihat SK Operasional,2021-03-25 09,A,0,,2.,,,,,,.588243000000,101.368651000000,0,69,70,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06CA5189-82A7-4FB6-90A4-E72758BC184E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70032928,SD IT AL MAHIRA,70032928,JL. H.M. YUSUF,SRI MERANTI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM TAZQIATUL QULUB,AX8200,6/06.02/DPMPTSP/VIII/2022,26-08-2022,23/06.05/DPMPTSP/VIII/2022,26-08-2022,Lihat SK Operasional,2022-09-06 09,,0,,2.,,,,,,.000000000000,.000000000000,8,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,6,2,8,0,0,0,0,8,0,1,7,6,2,0,0,0,0,0,3,5,,,,,,,,,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F249367F-1F33-4B5B-B45C-DB4C0351B791,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69991483,SD IT AL-QUDWAH,69991483,JL. PERJUANGAN NO. 191,SRI MERANTI,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AL-QUDWAH LIDDIRASATIL ISLAMIYAH,AW8475,14/06.02/DPMPTSP/IX/2019,30-09-2019,14/06.05/DPMPTSP/IX/2019,30-09-2019,Lihat SK Operasional,2019-10-15 07,,"1,110",1. Telkom Speedy,2. Telkom Speedy,PLN,,,die.ciplay86@gmail.com,,.570859100000,101.416096300000,17,91,88,9,Sehari Penuh/5 hari,,2022/2023-2,"7,700",9,0,0,0,0,0,12,7,17,0,0,0,0,17,0,6,11,11,1,3,0,0,1,1,7,10,2,1,2,2,1,1,SD 2013,Telkom Speedy,,,
Riau,Kota Pekanbaru,Rumbai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B107F1DA-DA10-4C18-8045-0988AE59F021,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69944293,SD MEKAR SARI,69944293,JL. MEKAR SARI RT.03/RW.06,PALAS,KEC. RUMBAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,420/Bid.Dikdas.02/IV/2016,20-04-2016,420/Bid.Dikdas.02/IV/2016,20-04-2016,Lihat SK Operasional,2016-05-25 13,C,"13,200",,2.,,,,yayasanmaranathaindonesia043@gmail.com,,.565102400000,101.418102500000,7,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,9,0,7,0,0,0,0,7,0,5,2,1,5,0,0,0,0,1,0,7,,,,,,,SD 2013,,,,
