prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5594AF4-5A8E-4F07-8364-7B609042D6CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01023,CLC BUDI LUHUR 1 BIAH,9LN01023,"Jalan Nabawan Batu 05 Kampung Suan Biah, Keningau",KENINGAU,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,06/FPPAI/I/2007,01-01-1901,24/02/2007,01-01-1901,Lihat SK Operasional,2020-12-30 13,,"16,000",1. Lainnya,2. Centrin (Wavelan),PLN,,,clcbudiluhurbiah@gmail.com,,5.506717000000,115.776071000000,4,243,232,12,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,876,13,0,0,6,0,0,0,4,4,0,0,0,1,3,0,2,2,0,0,0,1,1,2,0,2,2,2,2,2,2,2,2
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34AAEFC7-E2EC-4C46-95C1-D5CB9FC26199,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01024,CLC BUDI LUHUR 2 ASBON,9LN01024,"Jln. Kampung Ulu, Keningau Sabah-Malaysia",KENINGAU,KENINGAU,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK (link file tidak valid) => [633088-69160--],2022-06-06 08,,0,1. Lainnya,2. Lainnya,PLN,,0198837594,SD_BudiluhurAsbon@yahoo.com,,5.536151000000,115.855963000000,5,140,106,7,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"1,200",7,0,0,2,0,0,0,5,5,0,0,0,0,5,0,3,2,1,0,1,1,0,2,0,1,4,2,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCBFB895-8DCA-42DC-9162-72F991AC1ED1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01025,CLC BUDI LUHUR BINGKOR,9LN01025,Bingkor,BONGAWAN,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,1. Lainnya (Wavelan),2. -,PLN,,,sdbudiluhurbingkor324@gmail.com,,5.490130000000,115.814634000000,5,89,79,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Wavelan),900,6,0,1,2,0,2,0,3,5,0,0,0,1,4,0,2,3,1,3,0,0,0,0,1,3,2,1,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5C81BDBD-C825-475B-BA74-08F581CF564A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01041,CLC GOOD SAMARITAN,9LN01041,"JALAN MASAK BATU 1 D/A BCCM BM P.O.BOX 60,89007 KENINGAU TEL",SETIA KENINGAU,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,AJ5729,,01-01-1901,,01-01-1901,Silakan Upload SK,,,"200,000",1. Lainnya,2. Lainnya,PLN,,60148512005,goodsamaritankeningau@gmail.com,http,5.338733000000,116.150115000000,11,123,122,12,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"4,400",8,0,1,2,0,0,0,11,11,0,0,0,0,11,0,3,8,0,4,2,4,0,1,0,1,10,1,2,3,2,2,2
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D00E428-D7F8-479B-A753-B5E71346F1AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01030,CLC ILHAM INASA,9LN01030,Jalan Keningau-Tawau Batu 28 Sook,PASIR PUTIH,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,001/Yayasan-Ilnas/VI/2013,15-06-2013,342.24.SD/SIKK/2016,21-04-2016,Silakan Upload SK (link file tidak valid) => [469112-113237--],2021-06-28 01,,0,1. Lainnya,2. Lainnya,PLN,,0145627447,ilhaminasa@gmail.com,,5.138700000000,116.314400000000,7,87,92,7,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,950,7,1,1,3,0,0,0,7,7,0,0,0,1,6,0,5,2,0,2,3,1,0,1,0,2,5,2,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9276FBB-371F-40C7-B1A2-F948ADC12F1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01026,CLC JAVA ETANIA MATAKANA,9LN01026,Batu 5 Jalan  Nabawan Keningau,KENINGAU,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,1. -,2. Lainnya (Serat Optik),PLN,,0138097699,florayohanes@gmail.com,http,5.336004000000,116.152877000000,5,54,43,12,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,300,12,0,1,3,0,0,0,5,5,0,0,0,1,4,2,2,1,1,1,0,1,1,1,0,2,3,2,2,2,2,2,2
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9FFC0161-1309-4361-86C6-002218C57CE8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01027,CLC PASIR PUTIH,9LN01027,JL. Luagan Kg Pasir Putih - Keningau,KENINGAU,KENINGAU,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,1. -,2. Lainnya,PLN,,0128634120,clcpasirputih@gmail.com,,5.334159000000,116.152361000000,5,116,116,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,500,6,0,1,0,0,1,0,4,5,0,0,0,0,5,0,1,4,1,2,1,0,1,0,0,1,4,1,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D074778D-FE41-409D-8A9C-63E2B7671E6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01021,CLC SERAT BANGSA LADANG BONGAWAN,9LN01021,Bongawan,BONGAWAN,KENINGAU,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,96,1. Lainnya,2. Lainnya,PLN,,,seratbangsabongawan@gmail.com,,5.511840000000,115.922446000000,3,26,28,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,100,7,0,0,2,0,2,0,1,3,0,0,0,2,1,0,2,1,1,2,0,0,0,0,0,2,1,1,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78088554-8DAE-47F3-B8CA-B9BB6DCCDD0F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01022,CLC SERAT BANGSA MAWAU,9LN01022,Mawau,BONGAWAN,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,450,1. Lainnya,2. Lainnya,PLN,,0128106352,seratbangsa@gmail.com,,6.229333000000,116.228721000000,4,31,46,6,SD 2013,Double Shift/6 hari,,2022/2023-2,Lainnya,350,6,0,0,2,0,0,0,4,4,0,0,0,0,4,0,1,3,2,1,0,1,0,0,0,2,2,1,1,1,1,1,1
Luar Negeri,Malaysia,Keningau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EF14D399-A645-4280-B897-7E2C70504CDC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01028,CLC SLDB DALIT,9LN01028,Dalit Keningau,BONGAWAN,KENINGAU,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,,2.,,,60143833379,,,5.019949000000,116.121890000000,0,0,0,0,SD 2013,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
