prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE4872A6-D4C3-46C8-A2F1-0A7C2B496D00,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727244,MIS PP WALI SONGO,60727244,JLN PESANTREN NO.09 BANGUN SARI,BANGUN SARI,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,2.922524000000,99.463851000000,0,35,40,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D68B269A-FA37-4162-AD97-6D7992648D8B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727892,MTSS ISLAMIYAH URUNG PANE,60727892,JL. PROTOKOL DSN II URUNG PANE,URUNG PANE,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,2.951107000000,99.534149000000,0,164,167,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/508D32DA-2EF5-E011-880F-A992F24D26FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204021,SMP SWASTA BINA BAKTI,10204021,Desa Urung Pane,URUNG PANE,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan SMP Swasta Bina Bakti,AH2249,110,29-08-1984,421.3/2231.A-DD/2010,30-07-2010,Silakan Upload SK,,,"3,000",,2.,,0,,smpsbinabakti@yahoo.co.id,,2.862300000000,99.371900000000,8,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,9,1,8,0,0,0,1,7,1,5,2,1,2,3,1,0,0,1,3,5,SMP 2013,,,,,,,,,,
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0573FD8-2EF5-E011-8C75-AB804D5EC171,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204807,UPTD SDN 010099 SILAU MARAJA,10204807,Jln. PROTOKOL SILAU MARAJA,SILAU MARAJA,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1926,,01-01-1910,Lihat SK Operasional,2022-01-04 15,B,"1,782",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn010099@gmail.com,,2.852000000000,99.416400000000,7,58,51,6,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,2,1,0,4,5,0,1,1,2,5,0,6,1,2,4,0,0,0,0,1,1,6,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0643FD8-2EF5-E011-8DA7-D17D065BC3A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204806,UPTD SDN 010100 BANGUN SARI,10204806,BANGUN SARI,BANGUN SARI,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1966,,01-01-1910,Lihat SK Operasional,2022-01-04 15,Sertifikat Kedaluwarsa,"3,200",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,,sdnegeri010100bangunsari@gmail.com,,2.928200000000,99.434700000000,8,60,59,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,0,1,1,0,6,7,0,1,0,1,7,0,6,2,3,0,3,0,1,1,0,0,8,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00A53FD8-2EF5-E011-B971-13FBBF87A5FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204801,UPTD SDN 010105 SEI SILAU BARAT,10204801,JALAN BESAR SEI SILAU BARAT,SEI SILAU BARAT,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1961,,01-01-1910,Lihat SK Operasional,2022-01-04 15,B,"11,390",1. Telkomsel Flash,2. Linknet,PLN,,,,,2.861500000000,99.389700000000,8,68,64,6,Pagi/6 hari,,2022/2023-2,900,9,0,1,4,5,1,0,2,3,2,2,1,6,2,0,8,0,0,2,1,0,0,2,3,1,7,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10B23FD8-2EF5-E011-817E-710AB1F77753,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204800,UPTD SDN 010106 SEI SILAU BARAT,10204800,SEI SILAU BARAT,SEI SILAU BARAT,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1969,,01-01-1910,Lihat SK Operasional,2022-01-04 15,B,"7,526",1. Telkomsel Flash,2. Linknet,PLN,,,sdnseisilaubarat@gmail.com,,2.945900000000,99.500300000000,7,59,76,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,3,1,0,3,5,1,1,0,3,4,0,7,0,1,0,2,3,0,0,1,1,6,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0C6E9DC-2EF5-E011-A04F-7562513B3472,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204656,UPTD SDN 013842 SEI SILAU TUA,10204656,Sei Silau Tua,SEI SILAU TUA,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1975,,01-01-1910,Silakan Upload SK,,C,"6,150",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn013842@gmail.com,,2.804500000000,99.445600000000,7,61,70,6,Pagi/6 hari,,2022/2023-2,450,6,0,0,2,3,1,0,3,4,1,2,0,3,4,0,6,1,1,2,2,0,0,1,1,2,5,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/401940D8-2EF5-E011-982C-E1BC44B7FF40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203926,UPTD SDN 013846 URUNG PANE,10203926,Dusun IV Urung Pane,URUNG PANE,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-07-1975,,01-01-1910,Silakan Upload SK,,B,"4,569",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn013846urungpane@gmail.com,,2.830700000000,99.424800000000,9,112,94,7,Pagi/6 hari,,2022/2023-2,900,8,0,1,2,2,2,0,5,7,1,1,0,3,6,0,6,3,3,1,0,3,0,0,2,1,8,SD 2013,,,,Telkomsel Flash,1,1,1,1,2,1
Sumatera Utara,Kab. Asahan,Setia Janji,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/404040D8-2EF5-E011-A289-D56BB5E62C0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204014,UPTD SDN 014675 SEI SILAU BARAT,10204014,Sei Silau Barat,SEI SILAU BARAT,KEC. SETIA JANJI,KAB. ASAHAN,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-07-1977,,01-01-1910,Lihat SK Operasional,2022-01-04 15,Sertifikat Kedaluwarsa,"4,800",1. Telkomsel Flash,2. Linknet,PLN,,,sdn014675seisilaubarat@gmail.com,,2.952300000000,99.514000000000,7,69,64,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,2,1,0,4,5,0,1,1,3,4,0,7,0,4,1,0,0,0,0,2,1,6,SD 2013,,,,Telkomsel Flash,1,1,1,1,1,1
