prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDB83314-5E0E-4E01-8C3B-EC90FF3468A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264166,MTSS ROUDHOTUL MULTAZAM,10264166,"JL. LAU BULUH, DESA KUTABULUH",LAU BULUH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.172500000000,98.279100000000,0,20,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E6317AA-0115-4877-A158-D5F3A06297C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69956072,Raudhatul Multazam Assyafi i,69956072,Jl. Laubuluh Desa Kutabuluh,LAU BULUH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.000000000000,.000000000000,0,39,44,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40D5FBD7-2EF5-E011-846D-45D8F31CE5A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202053,SD NEGERI 040498 KUTABULUH,10202053,Desa Kutabuluh,KUTA BULUH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1936,,01-01-1910,Silakan Upload SK,,B,"1,340",,2.,,,,sdn040498kutabuluh@yahoo.com,,3.167500000000,98.280300000000,4,0,0,0,,,2022/2023-2,,0,0,0,0,1,0,0,3,3,0,1,0,0,4,2,1,1,2,0,0,0,1,1,0,0,4,SD 2013,,,,,,,,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0E3FBD7-2EF5-E011-8D80-FBF8CF0A4571,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202054,SD NEGERI 040499 KUTABULUH,10202054,Kuta Buluh,KUTA BULUH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,02.06.09.06.4.00002,31-12-1951,,01-01-1910,Silakan Upload SK,,B,"1,435",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,3.168800000000,98.280600000000,11,73,69,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,4,1,0,6,8,1,1,1,4,7,1,8,2,5,2,0,1,0,1,2,0,11,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B000FCD7-2EF5-E011-950D-DB2FA92FB5C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202055,SD NEGERI 040500 JINABUN,10202055,Jinabun,JINABUN,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1967,,01-01-1910,Silakan Upload SK,,B,"2,800",1. -,2. -,Tidak Ada,,,sdnegerijinabun@gmail.com,,3.166000000000,98.289500000000,5,49,39,6,Pagi/6 hari,,2022/2023-2,0,6,0,1,1,2,1,0,2,3,1,0,1,3,2,0,4,1,3,0,0,0,0,1,1,1,4,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40F2FBD7-2EF5-E011-9B7B-1F844687870B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202056,SD NEGERI 040501 BINTANG MERIAH,10202056,Desa Bintang Meriah,BINTANG MERIAH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,A,"1,404",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sopha.bakty@gmail.com,,3.136714200000,98.291791700000,8,58,58,6,Pagi/6 hari,,2022/2023-2,900,6,0,2,2,5,2,0,1,3,3,2,0,4,4,0,8,0,1,0,3,1,0,3,0,3,5,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/200FFCD7-2EF5-E011-8069-412908CAE1D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202058,SD NEGERI 040504 BINTANG MERIAH,10202058,Bintang Meriah,BINTANG MERIAH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1974,,01-01-1910,Silakan Upload SK,,C,400,,2.,,,,,,3.131600000000,98.292400000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,SD 2013,,,,,,,,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A01DFCD7-2EF5-E011-A881-97FB81FEBE75,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202154,SD NEGERI 043948 SIABANG ABANG,10202154,Desa Siabang Abang,SIABANG ABANG,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,31/12/1975,31-12-1975,,01-01-1910,Silakan Upload SK,,B,"1,500",1. -,2. -,PLN,,,sdnegerisiabangabang@yahoo.com,,3.159000000000,98.288600000000,7,27,28,6,Sehari Penuh/6 hari,,2022/2023-2,450,5,0,1,2,2,2,0,3,6,1,0,0,1,6,0,5,2,3,3,0,0,0,0,1,1,6,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6031FCD7-2EF5-E011-A295-CB18C0A4C4A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10202155,SD NEGERI 043949 LAUBULUH,10202155,Desa Laubuluh,LAU BULUH,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1976,,01-01-1910,Silakan Upload SK,,B,"4,425",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn043949laubuluh@gmail.com,,3.175055500000,98.267818100000,6,0,0,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,5,1,0,0,1,1,1,3,4,2,0,5,1,0,0,2,0,0,0,4,0,6,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Sumatera Utara,Kab. Karo,Kutabuluh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2040FCD7-2EF5-E011-BC99-17994D4E12BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10201914,SD NEGERI 044845 PAYANDERKET,10201914,Desa Payanderket,NEGERI JAHE,KEC. KUTABULUH,KAB. KARO,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0,31-12-1977,,01-01-1910,Silakan Upload SK,,C,"7,500",1. Telkomsel Flash,2. -,Tidak Ada,0,0,,,3.153468800000,98.201095500000,12,166,154,12,Pagi/6 hari,,2022/2023-2,0,10,0,0,0,3,4,0,5,9,1,2,0,3,9,0,8,4,3,3,0,2,2,1,1,3,9,SD 2013,2,2,2,2,2,2,Telkomsel Flash,,,
