prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0081D039-033C-E111-B257-718138BD0B51,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301176,SD KATOLIK LOEL,50301176,LOEL,HUMUSU B,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PENDIDIKAN SNUNA,AC8130,57-1972,18-07-2013,234 TAHUN 2013,18-07-2013,Lihat SK Operasional,2023-02-03 13,C,"75,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,yosefleu@mail.com,,-9.347400000000,124.585100000000,8,70,61,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,0,3,0,0,5,5,1,2,0,2,6,1,6,1,1,2,1,1,0,0,3,5,3,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/005BD039-033C-E111-A1B8-1FB48AEBF628,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306302,SD KATOLIK MISNOK,50306302,FATUMTASA,FATUMTASA,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN SNUNA,AM5418,570/421.1/165/DPMPTSP,01-08-1954,570/421.1/165/DPMPTSP,31-08-2022,Lihat SK Operasional,2023-02-02 10,,"2,090,000",1.,2.,PLN,,,,,-9.317500000000,124.493000000000,9,91,84,7,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,Tidak Ada,900,6,0,1,1,3,0,0,6,6,1,2,0,3,6,0,8,1,1,2,3,1,0,1,1,5,4,1,1,1,1,1,2,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E093D039-033C-E111-AE37-837612BC3AC8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301076,SD KATOLIK OEKOLO,50301076,Oekolo,HUMUSU B,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Snuna,AM5445,Pend.422/761.b/SM/2005,18-07-2013,234 TAHUN 2013,18-07-2013,Lihat SK Operasional,2015-04-02 10,,"20,207",1. -,2. Telkomsel Flash,PLN,,,sdkoekolo@yahoo.com,,-9.465800000000,124.698900000000,9,75,83,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,4,6,0,0,3,3,2,3,1,5,4,0,3,6,1,1,1,0,1,0,5,6,3,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/106ED039-033C-E111-ACD0-5B01D606D0D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306303,SD KATOLIK WINI,50306303,Wini,HUMUSU C,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Snuna,AC8066,1954/1955,01-08-1954,570/421.1/132/DPMPTSP,30-08-2022,Lihat SK Operasional,2023-02-01 11,B,"81,988",1.,2.,PLN,,,,,-9.182747000000,124.492705000000,10,155,118,10,SD 2013,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",14,0,1,0,4,0,0,6,6,1,2,1,4,6,0,7,3,1,0,2,2,1,3,1,3,7,2,2,1,2,2,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E079496B-13FF-E111-A220-67F1A7A089B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69728333,SD KECIL MILI,69728333,Kampung Baru,OESOKO,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,BKD.820.2/272/X,18-07-2013,570/421.1/63/DPMPTSP,10-02-2023,Silakan Upload SK (link file tidak valid) => [798215-864901--],2023-03-13 09,C,"9,900",1. Axis,2. Lainnya (Satelit),Menumpang,,,,,-9.210700000000,124.500100000000,3,26,27,6,SD 2013,Pagi/6 hari,,2022/2023-2,Axis,900,3,0,0,0,1,0,0,2,2,1,0,0,0,3,1,2,0,0,0,3,0,0,0,0,1,2,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9022F738-033C-E111-BA79-8599924B559B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300966,SD NEGERI BOENTUNA,50300966,Boentuna,HUMUSU A,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,KSR.024.2/149/84,28-07-1983,,01-01-1910,Silakan Upload SK,,,"18,954",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,boentunasdn@gmail.com,,-9.292600000000,124.559500000000,11,86,68,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,7,0,1,1,4,1,0,6,7,0,4,0,3,8,0,7,4,1,1,4,2,0,3,0,2,9,1,1,2,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0DB476B-13FF-E111-8709-0543EAFEC82B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50307356,SD NEGERI MANUFONU,50307356,Manufonu,HUMUSU C,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,40 TAHUN 1984,03-07-1984,570/421.1/142/DPMPTSP,30-08-2022,Lihat SK Operasional,2023-02-07 13,B,"21,906",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnmanufonu@yahoo.com,,-9.196800000000,124.499400000000,8,69,66,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,0,8,0,1,1,2,1,0,5,7,0,1,0,2,6,0,8,0,1,0,3,2,1,1,0,4,4,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F02D486B-13FF-E111-A7CD-67705B27FA1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50307358,SD NEGERI NEOSMALELAT,50307358,Manufonu,HUMUSU C,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1913,31-12-2010,570 / 421.1/127 / DPMPTSP,30-08-2022,Lihat SK Operasional,2023-02-02 14,,"18,632",1. Telkomsel Flash,2. -,PLN,,,sdnneusmalelat@gmail.com,http,-9.287700000000,124.478600000000,7,38,33,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,6,0,1,0,2,2,0,3,5,1,1,0,3,4,0,6,1,0,1,4,0,0,1,1,2,5,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E094F838-033C-E111-8A56-E1438981024D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301090,SD NEGERI OESOKO,50301090,OESOKO,OESOKO,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,024.2/4/1983,31-01-1983,570/421.1/144/DPMPTSP,30-08-2022,Lihat SK Operasional,2023-02-07 14,Sertifikat Kedaluwarsa,"4,266",1. -,2. Telkomsel Flash,PLN,,,yanneonnufa@gmail.com,,-9.185700000000,124.565000000000,10,82,82,7,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,200",10,0,0,6,4,1,0,5,7,0,3,0,5,5,1,8,1,1,1,2,3,1,0,2,5,5,2,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Insana Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C004486B-13FF-E111-9034-BDB26F61154F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300951,SD NEGERI OESUSU,50300951,OESUSU,HUMUSU B,KEC. INSANA UTARA,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,421.2/0/KIU/2001,15-07-2001,570/421.1/74/DPMPTSP,05-08-2022,Lihat SK Operasional,2023-02-01 12,B,"12,700",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnoesusu@yahoo.co.id,,-9.273600000000,124.521100000000,9,91,83,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,8,0,1,2,3,0,0,6,7,1,0,1,2,7,0,7,2,0,0,5,1,1,0,2,5,4,1,1,1,1,1,2,,,
