prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/36E8BF43-93D6-43AF-9811-E57157AD8200,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69849418,SD GREEN SCHOOL,69849418,Jl. Raya Sibangkaja,SIBANG KAJA,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,SWASTA,SPK SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Kul-Kul,AC6958,C-2153.HT.01.02.TH.2007,09-07-2007,151/C/LN/2014,13-11-2014,Lihat SK Operasional,2019-11-15 09,B,"20,000",1. -,2. Lainnya (Serat Optik),PLN,,0361469875,info@greenschool.org,http,-8.566700000000,115.213900000000,25,98,69,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"44,000",12,1,1,2,0,0,35,5,25,0,0,0,0,25,0,20,5,12,4,4,2,2,0,1,6,19,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303CD014-31F5-E011-85AB-9B612AC58ED4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101759,SD No. 1 Abiansemal,50101759,Banjar Dirgahayu,ABIANSEMAL,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,GUB.KDH.TK.I BALI,31-10-1959,045.2/363/SDN.1 Abs/2019,01-08-1959,Lihat SK Operasional,2021-12-14 09,A,"2,525",1. -,2. Lainnya (Serat Optik),PLN,,,sdno1_abiansemal@yahoo.com,,-8.551800000000,115.211100000000,10,47,53,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"10,600",4,0,1,2,4,0,0,6,6,0,0,4,5,5,0,5,5,3,2,1,0,0,0,4,2,8,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/407FD014-31F5-E011-8D85-2D53CAE29226,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101801,SD No. 1 Abiansemal Dauh Yeh Cani,50101801,"Jln. Janger, Br. Kedampal",DAUH YEH CANI,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,045/015/SD1ADYC/III/2021,12-03-2021,045/113/SD/V/2019,21-05-2019,Lihat SK Operasional,2021-12-14 09,B,"2,967",1. Smartfren,2. Lainnya (Serat Optik),PLN,,,sdno1adyc@gmail.com,,-8.524833000000,115.207967000000,11,103,75,7,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,"4,500",7,1,1,6,4,0,0,7,7,0,1,3,5,6,1,8,2,3,0,4,0,1,0,3,2,9,1,1,1,1,1,2,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E011D114-31F5-E011-90AE-7B41E9C2E18C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101760,SD No. 1 Angantaka,50101760,Br. Desa,ANGANTAKA,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,800/92/XI/SD ANTK/2021,15-11-2021,800/92/XI/SD ANTK/2021,15-11-2021,Lihat SK Operasional,2021-11-22 14,B,0,1. Telkom Speedy,2. Telkom Speedy,PLN,,,eddy_fortline@yahoo.co.id,,-8.582000000000,115.239400000000,10,70,64,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,300",6,0,0,4,3,0,0,7,7,0,2,1,6,4,0,6,4,4,1,2,1,0,1,1,3,7,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6007D014-31F5-E011-9F0E-7D5152B34C2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50103546,SD No. 1 Ayunan,50103546,Br Ambengan,AYUNAN,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,4/SB/I/6/82,01-07-1982,4/SB/I/6/82,01-07-1982,Lihat SK Operasional,2020-01-09 10,A,"2,080",1. -,2. Lainnya (Serat Optik),PLN,,03618944978,sdno1ayunan@gmail.com,,-8.495200000000,115.199600000000,9,50,35,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"3,400",3,0,1,0,2,0,0,7,7,0,0,2,4,5,1,6,2,3,2,2,0,0,0,2,4,5,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20B8CF14-31F5-E011-A085-FD08BFE21B0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101764,SD No. 1 Blahkiuh,50101764,"Jl Kendedes Br. Benehkawan, Blahkiuh",BLAHKIUH,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,210 TH 2003,21-11-2003,210 TAHUN 2003,21-11-2003,Lihat SK Operasional,2019-12-30 08,A,"1,711",1. Smartfren,2. Lainnya (Serat Optik),PLN,,03618944731,sd1blahkiuh@gmail.com,,-8.512800000000,115.206600000000,10,52,60,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,"4,500",6,0,1,4,4,1,0,5,6,0,3,1,7,3,0,10,0,3,1,2,2,0,1,1,3,7,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F068CF14-31F5-E011-8C2F-BB1234043E1D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101765,SD No. 1 Bongkasa,50101765,"Br.pengembungan,bongkasa",BONGKASA,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,045.2/568/SD1BKS/2019,02-04-1919,045.2/568/SD1BKS/2019,02-04-1919,Lihat SK Operasional,2022-05-10 11,B,"1,276",1. Smartfren,2. Telkom Astinet,PLN,0361,,sdn1bongkasa19@gmail.com,,-8.478800000000,115.240500000000,10,53,56,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,"4,400",6,0,1,2,3,0,0,7,7,0,1,2,4,6,0,10,0,3,4,1,0,0,1,1,5,5,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A09DCF14-31F5-E011-A02B-EB9A80A264E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101766,SD No. 1 Bongkasa Pertiwi,50101766,Br. Tegalkuning,BONGKASA PERTIWI,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,42/PD/II/4/1974,29-09-1976,42/PD/II/4/1974,29-09-1976,Lihat SK Operasional,2022-04-25 09,A,"1,901",1. -,2. Lainnya,PLN,0,0,sdn1bongkasapertiwi@gmail.com,,-8.488300000000,115.238800000000,10,46,37,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,6,0,1,2,4,0,0,6,6,0,2,2,4,6,0,10,0,2,2,2,1,0,0,3,5,5,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/006DD114-31F5-E011-AB83-13EC7119F962,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101800,SD No. 1 Darmasaba,50101800,Br Darmasaba,DARMASABA,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,045/059/SD1VMt/2019,05-11-1951,045/059/SD1VMt/2019,01-01-1910,Lihat SK Operasional,2022-04-20 12,A,"1,785",1. -,2. -,PLN,,,sdno1_darmasaba@yahoo.co.id,,-8.587100000000,115.204100000000,10,77,80,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,600",6,1,1,2,5,0,0,5,5,1,0,4,7,3,0,5,5,1,3,1,0,0,1,4,3,7,1,1,1,1,1,1,,,
Bali,Kab. Badung,Abiansemal,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00F8D014-31F5-E011-9304-FD596FA948DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101802,SD No. 1 Jagapati,50101802,Banjar Pasek,JAGAPATI,KEC. ABIANSEMAL,KAB. BADUNG,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,59/SP/I.16/1981,03-12-1981,59/SP/I.16/1981,03-12-1981,Lihat SK Operasional,2022-04-08 08,B,"1,800",1. Jardiknas,2. Jardiknas,PLN,,,sdno1jagapati@gmail.com,,-8.594000000000,115.241300000000,14,117,110,9,SD 2013,Pagi/6 hari,,2022/2023-2,Jardiknas,"12,000",8,2,1,4,3,0,0,11,11,0,0,3,5,9,0,13,1,5,1,3,1,1,1,2,4,10,2,1,1,2,2,1,,,
