prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1FD30486-EBC9-40AE-8811-BE4A4E9812B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5664693,LKP Al Furqan Komputer,K5664693,Jl. Kenanga No. 59 Rawang Tunggul Hitam,DADOK TUNGGUL HITAM,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,6 akta 2004,19-08-2004,Kpts.421.5/485/DP.PAUDNI.03/2018,04-09-2018,Lihat SK Operasional,2018-08-31 10,Tidak Terakreditasi,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C304E26F-DDF0-44FA-AF75-904DA9149F60,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0562194,LKP Graha Wisata Nusantara School,K0562194,"Komplek Bandara Tabing Jl. Prof Dr. Hamka Tabing Padang Padang, Sumbar 25171",DADOK TUNGGUL HITAM,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,16/akta/2012,13-01-2012,kpts.421.5/092/DP/Paudni.03/2017,23-02-2017,Lihat SK Operasional,2017-11-21 13,,0,,2.,,07517056724,07517056724,admin@grahawisatanusantara.com,www.grahawisatanusantara.com,-.882900000000,100.352500000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7DD37721-9CC0-45B9-A2BF-F0FA7108E218,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5664746,LKP Hazika Education Centre,K5664746,Jl Pasir Perupuk Tabing No 50 A Gang Mesjid Nurulsalam,PARUPUK TABING,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AF0358,171/AKTA/2015,27-03-2015,421.5/2140/DP/PAUDNI.03/2020,26-10-2020,Lihat SK Operasional,2020-11-09 10,B,0,,2.,,,,hazika.educe@gmail.com,http,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Bahasa,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F205D3B3-F460-4116-835F-204A2817092F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997520,LKP Mitra Aspirasi Nusantar,K9997520,Jl.Mandala No.35 Dadok Tunggul Hitam,DADOK TUNGGUL HITAM,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,KKNI Level 1,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.5/811/DP/PAUDNI.03/2020,30-12-2020,"Kpts.421.77/685/DIKBUD,PAUDDIKMAS,03/2021",15-06-2021,Lihat SK Operasional,2021-09-20 15,,300,,2.,,08126797241,,mitraaspirasinusantara24@gmail.com,,.000000000000,.000000000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2FEBDC5A-AB5E-4A90-965E-B418C3824610,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997871,LKP Multi Sukses Indonesia,K9997871,Komplek Singgalang Blok A / 5 RT 02 RW 04 No.8,BATANG KABUNG GANTING,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.5/274/DP/PAUDNI.03/2021,20-01-2021,"421.77/788A/DIKBUD,PAUDDIKMAS.03/2021",05-07-2021,Lihat SK Operasional,2022-03-08 00,,500,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0ADD58CE-3E12-41E0-9B88-E3445530C4C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0562190,LKP Pusat Pendidikan SMART College,K0562190,Jl. Garuda No. 24 Dadok Tunggul Hitam Kelurahan Dadok Tunggul Hitam Kecamatan Ko,DADOK TUNGGUL HITAM,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,34/AKTA/2008,28-02-2008,Kpts.421.5/160/DP/PAUDNI.03/2017,18-04-2017,Silakan Upload SK (link file tidak valid) => [385192-72637--],2020-10-02 13,A,300,,2.,,,0751462251,smartcollege24@gmail.com,,-.886400000000,100.360300000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3FE97A2-94F4-48CA-9064-7F5A82C2D517,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997884,LKP Rumah Belajar Kak Zahara,K9997884,Jl.Maransi No.1,AIR PACAH,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,"421.77/482/DIKBUD,PAUDDIKMAS.03/2021",21-06-2021,Kpts.421.77/482/DIKBUD.PAUDDIKMAS.03/2021,21-06-2021,Lihat SK Operasional,2022-03-08 00,,115,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32BA23D5-999A-4EA2-91C7-A091A022EE97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5664743,LKP Sanggar Permata Hati,K5664743,Komp. Budy Hari Sembada Jln. Bhakti B No. 4 Padang,PARUPUK TABING,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AI9234,33/AKTA/2013,19-12-2013,Kpts.421.5/459/DP/PAUDNI.03/2018,09-08-2018,Lihat SK Operasional,2019-04-23 16,,0,,2.,,,,lkp.permatahati2019@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD9F9471-F5A2-4307-92CB-A2CADC05706F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997201,PKBM AGUNG PELITA ANDALAS (YAPAND),P9997201,Komplek Graha Agung Perdana Blok I/12,BATIPUH PANJANG,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.5/326/DP.PAUDNI.02/2020,07-07-2020,421.5/002/DP.PAUDNI.02/2021,04-01-2021,Lihat SK Operasional,2021-02-27 14,,96,,2.,,,,pkbm.yapand@gmail.com,,-.822200000000,100.331600000000,6,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,5,6,0,0,0,0,6,0,5,1,2,2,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2013,
Sumatera Barat,Kota Padang,Koto Tangah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24FFB248-DA85-43A4-B1B2-2637724250E7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2965367,PKBM AMANAH WANITA ISLAM,P2965367,komplek Pondok Sarai Permata Blok F11,PADANG SARAI,KEC. KOTO TANGAH,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,04/AkTA/2019,23-07-2019,421.5/247/DP.Paudni.02/2019,09-05-2019,Lihat SK Operasional,2020-05-07 11,B,0,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,pkbmamanahwi@gmail.com,,-.846900000000,100.340900000000,1,0,0,6,Sehari Penuh/3 hari,,2022/2023-2,900,2,0,1,0,0,0,4,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2013,Lainnya (Serat Optik)
