prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1B8494A5-4900-4265-B6C4-273565E2543A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969673,Pondok Pesantren Masjid Jajar,69969673,Jl. Slamet Riyadi No. 566 RT. 01/03,JAJAR,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Pondok Pesantren,Kementerian Agama,,,65 Tahun 2016,25-10-2016,763/Kk.11.31/6/PP.00/03/2019,18-03-2018,Lihat SK Operasional,2022-05-24 09,B,0,,2.,,,,,,-7.558800000000,110.785500000000,0,249,306,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/486592AE-1F4B-442F-B024-364DEE6A7C83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0361075,LKP Bina Insani Surakarta,K0361075,Jl. Sri Narendro No.2,BUMI,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,17,15-12-2006,420/0022/B-01/PNF/VII/2022,01-07-2022,Lihat SK Operasional,2022-09-04 16,B,0,,2.,,,0271716588,pipietbinainsani@yahoo.com,www.solo.binainsani.com,-7.539900000000,110.828000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Bahasa,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D88C2E33-2E7B-47D7-880A-74D1B9CCE735,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666452,LKP Blue Ocean,K5666452,Jl. Satrio Wibowo Selatan No. 30,PURWOSARI,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AG8537,,23-05-2017,420/0015/L-07/SK-PNF/II/2019,14-02-2019,Lihat SK Operasional,2020-09-28 07,B,0,,2.,,,0271727642,blueoceansolo@yahoo.com,www.blueoceansolo.web.id,-7.565600000000,110.802200000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Pariwisata,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9C644A3-A06D-4E08-9EAA-0B8E1A704D86,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668567,LKP CV.NEUTRON YOGYAKARTA SOLO,K5668567,Jl. DR. Muwardi No.45 Rt 03 RW 09,PURWOSARI,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,22,01-12-2014,420/0014/L-07/SK-PNF/II/2017,09-02-2017,Lihat SK Operasional,2017-12-20 12,,0,,2.,,0271717025,0271717025,solo1.ny@gmail.com,www.neutron-ny.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32EB6AE1-CBB6-4E5B-B880-625BCB89C0A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666451,LKP English One,K5666451,JL KH Agus Salim 17 Sondakan,SONDAKAN,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,23-05-2017,420/0313/j-10/PNF/XI/2018,28-11-2018,Silakan Upload SK,,,0,,2.,,,02717466672,englishone.solo@gmail.com,www.englishoneworld.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA4414CD-5046-4FEC-A1D9-3D7B186ACB7E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997212,LKP I-CON  (INDUSTRIES CONNECTIVITY),K9997212,Jl. Slamet Riyadi No. 302,SRIWEDARI,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0040/L-06/SK-PNF/IV/2021,13-04-2021,420/0040/L-06/SK-PNF/IV/2021,13-04-2021,Lihat SK Operasional,2021-11-22 00,,0,,2.,,,,,,-7.567100000000,110.812700000000,0,0,0,2,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 3,KBK Teknologi Informasi dan Komunikasi,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC848209-FD2B-49C6-AB92-F4E871540A6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997736,LKP INLASTEK WELDING INSTITUTE,K9997736,JI. Joko Tingkir No. 05,PAJANG,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0064/L-01/SK-PNF/VI/ 2021,11-06-2021,420/0064/L-01/SK-PNF/VI/ 2021,11-06-2021,Lihat SK Operasional,2022-01-03 13,,0,,2.,,,0271732339,inlastek.exam@gmail.com,inlastek.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,KBK Teknologi dan Rekayasa,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5743F7C-E0F8-44AF-906F-D016DACDE9AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9984366,LKP INTERNATIONAL CRUISESHIP COURSE (ICC),K9984366,Jl. Jamsaren No. 19 Serengan Kota Surakarta,LAWEYAN,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,AHU-0054640-AH.01.15 Tahun 2019,07-08-2019,420/0281/L-10/SK-PNF/VII/2018,31-07-2018,Lihat SK Operasional,2019-08-13 10,,0,,2.,,,,,,-7.582000000000,110.814400000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7B90F276-6A29-460B-A42E-129A15C10FE2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0361024,LKP International Ship Partner (ISP),K0361024,Jl. Ahmad Yani 393,KERTEN,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No.4 Tahun 2011,22-12-2011,420/0005/L-09/PNF/I/2016,11-01-2016,Lihat SK Operasional,2018-04-23 08,A,0,,2.,,0271728300,0271719808,info@isp-education.ac.id,www.isp-education.ac.id,-7.559000000000,110.793100000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 1,KBK Pariwisata,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A177F52E-C47E-4184-8B9B-D21EFD77D113,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0361021,LKP JAVACOM,K0361021,Jl. Sawo Raya No.23B Karangasem Laweyan Surakarta,KARANGASEM,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0039/L-11/PNF/III/2010,14-03-2010,420/0039/L-11/PNF/III/2016,14-03-2016,Lihat SK Operasional,2018-11-06 10,C,0,,2.,,,02717788497,lkp_javacom@yahoo.com,,-7.556200000000,110.782100000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,KBK Teknologi Informasi dan Komunikasi,
Jawa Tengah,Kota Surakarta,Laweyan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C466A4EE-4E3A-4F61-9607-1C217119F329,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997767,LKP KUMON FAJAR lNDAH,K9997767,Jl. Fajar lndah IVB No. 37,JAJAR,KEC. LAWEYAN,KOTA SURAKARTA,PROV. JAWA TENGAH,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0098/L-10/SK-PNF/XII/2021,13-12-2021,420/0098/L-10/SK-PNF/XII/2021,13-12-2021,Lihat SK Operasional,2022-01-21 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
