prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7EC4A2D-BA8D-406E-A74B-46C687BF85A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997733,LKP AHZAREL KOMPUTER,K9997733,Kp. Palalangon Rt. 01 Rw. 09,KERTAJAYA,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,800/LKP.JK/XI/2021,14-10-2021,021.9/1278/PAUDNI-K/Kab/2021,05-11-2021,Lihat SK Operasional,2021-12-31 23,,200,,2.,,085722233530,,lkpahzarelkomputer@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E4D927C-05FA-4036-AC62-9141D9F20E2F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652315,LKP Ayu,K5652315,"BTN Cibogo Blok K No.9 Rt.04 Rw.02 Ciranjang Kab. Cianjur, Jawa Barat",CIRANJANG,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.9/131.b/PAUDNI PO/Kab/2016,29-07-2016,421.9/1310.b/PAUDNI PO/Kab/2016,29-07-2016,Lihat SK Operasional,2018-01-22 10,,0,,2.,,0263321957,,Lkp_ayu@yahoo.com,,-6.821223200000,107.260044400000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/678D4C26-8C59-474A-BCCE-F06D52B63126,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937069,PAKET PP. MIFTAHUL HUDA AL-MUSRI,69937069,Kp. Ciendog 03/07,KERTAJAYA,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.792600000000,107.270700000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5DE042AF-3B89-48F7-AA26-EC74ABACBC30,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997689,PKBM AL-FALAH CIRANJANG,P9997689,Kp. Hegarmanah Rt 03 Rw 01,CIBIUK,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,423/VII/2021/Ks,07-04-2021,421.9/ 82 / PAUDNI-K/KAB/2023,19-01-2023,Lihat SK Operasional,2023-02-15 01,,538,1. Axis,2. Lainnya (Wavelan),PLN,,,alfalahalmusri22@gmail.com,,.000000000000,.000000000000,7,0,0,9,2013,Siang/6 hari,,2022/2023-2,900,7,0,0,0,0,0,11,2,7,0,0,0,0,7,0,1,6,4,2,1,0,0,0,0,3,4,7,0,0,0,0,0,0,0,Axis
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3F555159-9C45-4E6B-B903-662F84FEF50B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962896,PKBM AL-KARIMAH,P2962896,KP PASIR GADUNG,KARANGWANGI,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-KARIMAH CIANJUR,AD3399,023.1/SKP/PKBM/VII/2007,17-07-2007,421.9/1131/PAUDNI-K/KAB/2022,06-02-2018,Lihat SK Operasional,2022-10-27 13,B,840,1. -,2. Telkom Speedy,PLN,,,pkbm_alkarimah_2007@yahoo.com,http,-6.813398000000,107.277304700000,2,0,0,7,2013,Sehari Penuh/3 hari,,2022/2023-2,941,4,0,1,1,0,0,8,1,2,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,2,4,0,0,0,1,0,0,0,Tidak Ada
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C15FF553-CE09-4BCD-92E5-E9E55D5E9130,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9980093,PKBM CIANJUR AKTIVIS INDEPENDEN,P9980093,Kp. Cibogo III Rt. 003 Rw.005,MEKARGALIH,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN BINA CIANJUR LESTARI,AX3503,01/KPT/PKBM-CAI/VI/2022,01-06-2022,421.9/979/PAUDNI/KAB/2022,18-07-2022,Silakan Upload SK (link file tidak valid) => [732621-850473--],2023-02-22 08,,0,1. -,2. Lainnya,PLN,,,pkbmcai19@gmail.com,,-6.888400000000,107.317300000000,4,0,0,15,Paket C IPS 2013,Sore/6 hari,,2022/2023-2,"1,200",5,0,0,2,0,0,2,2,4,0,0,0,0,4,0,2,2,2,2,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,Tidak Ada
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9390CAAF-8D5B-4925-BE0A-C88F05732905,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996992,PKBM HIDAYATUL MUBTADIN,P9996992,Kp. Bukit Culak Rt.03 Rw. 03,CIRANJANG,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,400/DS/Pem/2020,10-11-2020,421.9/ 1258 / PAUDNI-K/KAB/2020,07-09-2020,Lihat SK Operasional,2020-12-18 07,,0,,2.,,,,mubtadiinpkbm@gmail.com,,.000000000000,.000000000000,0,0,0,0,Paket C IPS 2013,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/910D4D84-94EA-49C8-9131-B7D55A2A40D3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997787,PKBM KHAIRUL INSAN,P9997787,Kp. Kuta Rt.004 Rw.105,CIRANJANG,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,008.03/KI/VII/2020,10-08-2021,421.9/1032/PAUDNI-K/KAB/2021,16-09-2021,Lihat SK Operasional,2021-10-29 09,,0,1. Telkom Speedy,2. -,PLN,,,,,.000000000000,.000000000000,0,0,0,5,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,900,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Telkom Speedy
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE794E8C-EFB4-4C34-9047-5300C84B7621,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962895,PKBM MIFTAHUL HUDA,P2962895,Kp. Pasir Randu RT. 02 RW. 12,CIRANJANG,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,474/01-Pm/VIII/2019,01-05-2019,421.9/94/PAUDNI-K/KAB/2021,21-06-2019,Lihat SK Operasional,2022-10-11 09,B,0,1. Telkom Speedy,2. Telkom Speedy,PLN,,,pkbm_miftahulhuda@yahoo.com,,-6.826200000000,107.251300000000,4,0,0,17,2013,Sehari Penuh/5 hari,,2022/2023-2,900,12,0,1,2,0,0,24,0,4,0,0,0,0,4,0,4,0,1,0,2,1,0,0,0,3,1,12,0,0,0,1,0,0,0,Telkom Speedy
Jawa Barat,Kab. Cianjur,Ciranjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/474F9B16-F896-4E4F-9289-67E6B1532E9C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9908719,PKBM NURUL HUDA,P9908719,JL. ANDIR II RT 03 RW 09,CIBIUK,KEC. CIRANJANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,C-176.HT.03.01/Th.2007,31-07-2007,-421.9/808a/PAUDNI-K/KAB/2020,08-06-2020,Lihat SK Operasional,2021-09-27 09,C,500,1. Axis,2. Telkom Speedy,PLN,,,npkbm211@yahoo.com,,-6.813300000000,107.259100000000,8,0,0,8,2013,Sehari Penuh/3 hari,,2022/2023-2,"1,200",9,0,0,0,0,0,6,6,8,0,0,0,0,8,1,1,6,2,0,2,2,0,1,1,3,5,9,0,0,0,0,0,0,0,Axis
