prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0F34398-3A75-4C0E-AF96-643A7F703FF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669227,LKP AR-RAHMAH,K5669227,Kp. Pasirgombong RT. 02 RW. 02,MEKARSARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,424/Ket.028/YPKBM/VII/2015,01-07-2015,421/193/PAUDNI-PO/Kab/2016,15-11-2016,Lihat SK Operasional,2018-06-06 11,,100,,2.,,,,lkprahayucianjur@gamil.com,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9D9A7DE-2B9E-4C71-A8C3-490C5FAD6268,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996676,PKBM AL-HIDAYAH,P9996676,Jl. Puncakwangi,WANASARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/1075/PAUDNI-K/KAB/2020,23-07-2020,421.9/1075/PAUDNI-K/KAB/2020,23-07-2020,Lihat SK Operasional,2020-09-01 16,,0,,2.,,,,pkbm.alhidayahagrabintacjr@gmail.com,,-7.406885400000,106.868751700000,5,0,0,0,Paket C IPS 2013,,,2022/2023-2,,0,0,0,0,1,0,6,0,4,0,1,0,1,4,0,3,2,0,4,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7A5DFFF-704A-4C4B-A6FB-39196A8E4CE2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998033,PKBM AN-NUR AHSAN,P9998033,Kp. Simpang Tiga Rt. 03 Rt. 03,TANJUNGSARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Pem/40/YYS-ANNUR/KAB/2021,10-11-2021,421.9/ 100 /PAUDNI/KAB/2022,21-01-2022,Lihat SK Operasional,2022-03-08 00,,800,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,,,.000000000000,.000000000000,6,0,0,2,2013,Sehari Penuh/3 hari,,2022/2023-2,450,2,0,0,0,0,0,2,4,6,0,0,0,0,6,0,1,5,6,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,Telkomsel Flash
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E42070F-5BD6-474F-858C-00DF1D58352D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984513,PKBM AWWALUL HUDA,P9984513,Jl. Sempurgemreng RT. 04 RW. 02,BOJONGKASO,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/874/PAUDNI-K/LAB/2019,04-07-2019,421.9/874/PAUDNI-K/LAB/2019,04-07-2019,Lihat SK Operasional,2019-07-22 09,,"10,000",1. Indosat IM3,2. Telkomsel Flash,PLN,,,,,-7.349867300000,106.955234500000,2,0,0,3,Paket C IPS 2013,Pagi/6 hari,,2022/2023-2,900,1,0,0,2,0,0,4,0,2,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,Indosat IM3
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA17904D-FCAB-430B-9887-AD2929F1430C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997453,PKBM BAKTI NUSANTARA,P9997453,Kp. Lemah Duhur RT. 04 RW. 01,KARANGSARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/520/PAUDNI-K/KAB/2021,28-05-2021,421.9/520/PAUDNI-K/KAB/2021,28-05-2021,Lihat SK Operasional,2021-06-15 12,,"3,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,7,0,0,4,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,900,4,0,0,0,0,0,8,0,7,0,0,0,0,7,0,2,5,5,1,0,1,0,0,0,5,2,4,0,0,0,0,0,0,0,Telkomsel Flash
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3480CC70-C08D-40B6-B1CD-7F3B9E5EE8A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962912,PKBM BINA MANDIRI,P2962912,Kp. Pasir Kalapa,WANASARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,422.1/45/PEM/2013,23-10-2013,420/172/PAUDNIPO/Kab/2014,21-10-2014,Lihat SK Operasional,2020-09-28 14,,600,1. XL (GSM),2. Indosat IM3,PLN,,,pkbmbinamandiriagrabinta@gmail.com,,-7.402867700000,106.947992700000,7,0,0,10,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,900,6,0,0,0,0,1,1,6,7,0,0,0,1,6,0,6,1,2,1,0,2,2,0,0,4,3,6,0,0,0,0,0,0,0,XL (GSM)
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/769B8A7F-F2AD-4471-96A1-775D92B60822,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998403,PKBM DARUL AMANAH,P9998403,Kp. Buniwangi Rt. 05 Rw.02,WANASARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,083/001/YNS/VII/2022,20-07-2022,421.9/ 154.b / PAUDNI/KAB/2022,22-02-2022,Lihat SK Operasional,2022-08-10 15,,"6,000",1. -,2. XL (GSM),PLN,,,,,.000000000000,.000000000000,0,0,0,2,2013,Sore/6 hari,,2022/2023-2,"2,500",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Tidak Ada
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA469414-968B-43FC-B6C0-268D1D3B1FE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962924,PKBM DARUL ULUM,P2962924,Kp. Bojongterong,MEKARSARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.2/SK-05/X/2010,01-10-2010,420/1627/PAUDNI PO/KAB/2015,02-09-2015,Silakan Upload SK (link file tidak valid) => [446098-553309--],2021-05-21 14,C,81,1. Telkomsel Flash,2. Telkom Speedy,PLN,0,,pkbmdarululumagrabinta@gmail.com,http,-7.408378200000,106.885195900000,18,0,0,11,2013,Sehari Penuh/3 hari,,2022/2023-2,"1,300",6,0,1,1,1,1,13,11,17,0,1,0,2,16,0,5,13,6,4,4,2,1,1,0,12,6,5,1,0,0,1,0,0,0,Telkomsel Flash
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2EE5047-0B3B-47EA-8F4E-531E62BC0F12,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997318,PKBM JUMHURIYYAH,P9997318,Kp. Cipunaga RT. 05 RW. 01,BUNISARI,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Jumhuriyyah,AJ6721,421.9/112a/PAUDNI-K/KAB/2020,29-12-2020,421.9/112a/PAUDNI-K/KAB/2020,29-12-2020,Lihat SK Operasional,2021-04-10 08,,0,1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmjumhuriyyah@gmail.com,,.000000000000,.000000000000,3,0,0,3,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,0,3,0,0,0,0,0,3,1,3,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,Indosat IM3
Jawa Barat,Kab. Cianjur,Agrabinta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51A696AD-3AB0-48AB-8EE0-6878DE88D0DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998698,PKBM MADANIYYATUL MAKIYYAH,P9998698,Kp. Sinar Baru RT/RW 003/003,WANGUNJAYA,KEC. AGRABINTA,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Islam Madaniyyatull Makiyyah,AO5944,003/YPI-MM/I/2023,05-01-2023,421.9/092/PAUDNI/KAB/2023,26-01-2023,Lihat SK Operasional,2023-02-03 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
