prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7F1BAEA-100F-4A40-A800-E3D73E5ECC05,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998608,LKP ARATANA KIBOU,K9998608,Jl. Sari bakti,BAGAN PETE,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/04/DPMTSP/2023,05-04-2023,420/04/DPMTSP/2023,05-04-2023,Lihat SK Operasional,2023-04-11 12,,"1,025",,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAF3A68A-5EE2-412F-861F-47003421D940,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997495,LKP DAHLIA CULINARY CLASS,K9997495,JL. SERSAN ANWAR BAY PERUM. LASKAR BRATA,BAGAN PETE,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/01/DPMPTSP/2021,08-03-2021,420/01/DPMPTSP/2021,08-08-2021,Lihat SK Operasional,2021-09-08 22,,800,,2.,,081274507075,,dahliadapurtwinsa@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D36F4922-D7D7-4462-B394-4A3ECB574B3D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989698,LKP DEWI LUTHFI`KA,K9989698,Jl. Patimura II Lrg. Bersamo RT. 39,KENALI BESAR,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/0075/DPMPTSP/2019,31-07-2019,420/0075/DPMPTSP/2019,31-07-2019,Lihat SK Operasional,2019-09-13 14,,852,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97152EF4-83A2-4679-BF93-99E8581D6CA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998305,LKP ELLY DEKOR,K9998305,Jl. Asparagus,BELIUNG,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,KKNI Level 1,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/30/DPMPTSP/2021,28-12-2021,420/30/DPMPTSP/2021,28-12-2021,Lihat SK Operasional,2022-10-11 15,,"1,025",,2.,,085266736353,,ellyawatiahmad@gmail.com,,.000000000000,.000000000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Pariwisata
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6706B81-4AE9-401F-8E0C-6ECD7E0104EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9980988,LKP ICHAN,K9980988,Jl. TP. Sriwijaya RT.03,RAWA SARI,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0068/DPMPTSP/2019,04-01-2019,420/0068/DPMPTSP/2019,04-01-2019,Lihat SK Operasional,2019-01-14 09,,200,,2.,,,,lkp.ichan@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3776F9F-7286-433C-AAE9-E21B81F441FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0562954,LKP Janur Jaya Decoration,K0562954,Jl. Skrd Syahbuddin RT. 04,MAYANG MANGURAI,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/0069/DPMPTSP/2019,08-04-2019,420/0069/DPMPTSP/2019,08-04-2019,Lihat SK Operasional,2019-04-25 15,Terakreditasi,0,,2.,,,,nurhasana003100@gmail.com,,-1.640400000000,103.581700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6309D31B-E1AE-4BFF-AEC9-CE7C9936397B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998109,LKP MET ENGLISH COURSE,K9998109,Jl. Kebun Daging RT. 10,MAYANG MANGURAI,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/03/DPMPTSP/2022,23-02-2022,420/03/DPMPTSP/2022,23-02-2022,Lihat SK Operasional,2022-06-24 14,,800,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74BA8CB1-DFDA-4520-9F48-5E41E9180537,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998373,LKP PERMATA ENGLISH COURSE,K9998373,PERUM. PERMATA KENALIJL. BERLIAN RAYA NO. BIO,KENALI BESAR,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/ 10 /DPMPTSP/2021,23-03-2021,420/ 10 /DPMPTSP/2021,23-03-2021,Lihat SK Operasional,2022-12-09 05,,670,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/75A3B6F8-9153-46FE-90FE-5EBDB124A8A7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981358,LKP RUMAH BUNGA,K9981358,Jl. Tp. Sriwijaya No. 21 Rt. 07,BELIUNG,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/10017/DPMPTSP/2017,10-02-2017,420/10017/DPMPTSP/2017,10-02-2017,Lihat SK Operasional,2019-05-09 08,,850,,2.,,,,Rumahbunga14@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jambi,Kota Jambi,Alam Barajo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F67F700-2B05-411E-B1B4-9DC7FC07C4D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5663428,LKP Usi Modist,K5663428,Jl. TP. Sriwijaya RT.. 01,RAWA SARI,KEC. ALAM BARAJO,KOTA JAMBI,PROV. JAMBI,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,420/23/DPMPTSP/2021,19-08-2021,420/23/DPMPTSP/2021,19-08-2021,Lihat SK Operasional,2021-12-01 12,C,0,,2.,,,,lkpusimodist@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
