prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/023492B9-F64D-4584-BA9D-9E3861F3BB24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666631,LKP AIEC,K5666631,Jl. Pemuda No. 20,SEI JANG,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-07-2010,,01-07-2010,Silakan Upload SK,,,500,,2.,,,,aiecafford@yahoo.com,WWW.AIECINDONESIA.COM,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C79B493-7B5C-40B4-A4F7-9ED4D6A84FD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666644,LKP BIMBEL JUARA,K5666644,Jl. Brigjen Katamso No. 12 A,TANJUNG UNGGAT,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,04,16-10-2009,0027/KPTS/DIKBUD/2015,14-01-2015,Lihat SK Operasional,2018-01-15 09,,500,,2.,,,,bimbeljuara.tpi@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B2F7855-C617-4624-89EF-2BFDF706AF18,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666614,LKP BRILLIANT COLLEGE INDONESIA,K5666614,Jl. Sei Jang No. 5,SEI JANG,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,4,23-09-2011,0041/KPTS/DIKBUD/2013,10-04-2013,Lihat SK Operasional,2017-02-03 13,,500,,2.,,077126253,,lkpbrilliantcollegeindonesia@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DA43278-1668-4949-9773-EC7AD0DA276F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666671,LKP CEMERLANG,K5666671,Jl. Ir. Sutami No. 58,TANJUNGPINANG TIMUR,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,16,14-08-2014,0115.1/KPTS/DISDIK/2015,28-04-2015,Lihat SK Operasional,2017-02-07 11,,500,,2.,,,,cunkuang8888@gmail.Com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A879302-1A33-4AE8-8232-1F7898DC31C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666675,LKP EDUCATION CENTRE FRISKA JORDAN,K5666675,Jl. Pramuka No. 10,TANJUNG AYUN SAKTI,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,1,02-07-2015,0074/KPTS/DISDIK/2016,29-02-2016,Lihat SK Operasional,2017-02-07 13,,300,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7DEDEC5A-15D0-4B75-9803-BB6C3BB5E3F0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666650,LKP EXCELLENT COURSE,K5666650,Jl. Ir. Sutami No. 116,TANJUNGPINANG TIMUR,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,14,20-08-2010,0071/KPTS/DISDIK/2015,06-04-2015,Lihat SK Operasional,2017-02-07 14,Terakreditasi,300,,2.,,,,exc.course@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0512ADD-0D66-4A41-AF8E-47BB4552AEF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989663,LKP I.C TRAINING CENTER,K9989663,JL.KUANTAN,SEI JANG,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,NOMOR 25,07-05-2014,NOMOR 0129.1 TAHUN 2018,19-07-2018,Lihat SK Operasional,2019-09-02 09,,67,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B90B61A-80FE-43B1-85F3-0925C3B0BDF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981560,LKP MASQOTS LEARNING,K9981560,JL.PEMUDA BLOK CNO.1-3,SEI JANG,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,NOMOR 64,30-12-2005,0251.1/KPTS/DISDIK/2015,20-10-2015,Lihat SK Operasional,2019-07-24 14,,180,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72C9ACA0-00E7-4F2E-A2CA-1E4967B69CFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666599,LKP NADHIRA,K5666599,Jl. Hutan Lindung No. 20 A,TANJUNGPINANG TIMUR,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,7,19-12-2009,0082/KPTS/DIKPORA/2012,04-06-2012,Lihat SK Operasional,2017-02-07 11,B,974,,2.,,0771315243,0771315243,lkpnadhira@gmail.com,www.lkpnadhira.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Kepulauan Riau,Kota Tanjungpinang,Bukit Bestari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B616C093-0E84-43C0-9DE0-F9E9DECA620C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666628,LKP NAYAKA JAPAN COURSE,K5666628,Jl. Pramuka No. 3 H,TANJUNG AYUN SAKTI,KEC. BUKIT BESTARI,KOTA TANJUNGPINANG,PROV. KEPULAUAN RIAU,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,6,15-10-2011,0145/KPTS/DIKPORA/2012,03-12-2012,Lihat SK Operasional,2017-02-08 11,C,100,,2.,,,,lkp.nayaka@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,KBK Bahasa
