prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B4088D40-AD44-480A-B7BC-52C6ADA267B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990079,LKP AL WAHYUNI,K9990079,Badung Tengah,LARANGAN BADUNG,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,9120106851056,15-08-2019,421.9/92/432.301/2020,14-01-2020,Silakan Upload SK,,,20,,2.,,,,,,.000000000000,.000000000000,0,0,0,1,KBK Seni Rupa dan Kriya,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1673D111-088D-441D-B994-B0AF61224379,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9970374,PKBM AL - BAYAN,P9970374,Sumber Papan II,LARANGAN BADUNG,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.33/259/432.412/2017,17-11-2017,841/1740/432.301/2018,20-04-2018,Lihat SK Operasional,2018-05-07 22,,550,1. XL (GSM),2. Telkom Speedy,PLN,,,pkbmalbayan18@gmail.com,,-7.061905600000,113.416039000000,0,0,0,9,2013,Siang/6 hari,,2022/2023-2,"1,300",9,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,XL (GSM)
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56496995-1F36-4FE1-90FB-C8A4D422466F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9959915,PKBM AR-RAUDLAH,P9959915,Dusun Barat,POTOAN LAOK,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AR-RAUDLAH,AX1974,411.33/015/432.412/2015,22-01-2015,841/0837/432.301/2017,07-03-2017,Lihat SK Operasional,2017-06-15 07,Belum Terakreditasi,0,1. Telkom Speedy,2. Telkom Speedy,Menumpang,,,pkbm.ar.raudlahpmk99@gmail.com,,-7.029541700000,113.424865500000,12,0,0,9,2013,Siang/6 hari,,2022/2023-2,900,9,0,0,2,0,0,14,1,12,0,0,0,2,10,0,6,6,3,4,5,0,0,0,0,8,4,9,0,0,0,0,0,0,0,Telkom Speedy
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B12262F8-E1F8-4423-978C-431146D32CF7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966031,PKBM TUNAS BANGSA,P2966031,Dusun Prapatan 69362,PALENGAAN LAOK,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PUSAT KEGIATAN BELAJAR MASYARAKAT TUNAS BANGSA PAMEKASAN,AX1994,411.33/194/432.412/2016,07-11-2016,PKBM/420/0004/432.316/I/2021,02-01-2021,Lihat SK Operasional,2021-01-05 06,C,98,1. Telkomsel Flash,2. XL (GSM),PLN,,,pkbm.tunasbangsa.pmk@gmail.com,,-7.065077300000,113.421809800000,12,0,0,15,2013,Malam/6 hari,,2022/2023-2,900,6,0,1,0,0,0,21,1,12,0,0,0,0,12,0,8,4,2,4,4,1,1,0,0,6,6,4,2,0,0,1,0,0,0,Telkomsel Flash
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4927E2CB-76E3-4F62-8940-B5018957F0B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70002821,PP. MIFTAHUL ULUM PUTRI,70002821,TAMAN BARU AKKOR,AKKOR,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,B-219/Kk.13.22.3/PP.00.7/05/2020,29-05-2020,B-219/Kk.13.22.3/PP.00.7/05/2020,29-05-2020,Lihat SK Operasional,2020-07-20 13,,4,,2.,,,,,,.000000000000,.000000000000,0,5,141,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/879EA505-84F8-40DE-A845-AEF2BBB812C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70002821,PP. MIFTAHUL ULUM PUTRI,70002821,TAMAN BARU AKKOR,AKKOR,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,,,B-219/Kk.13.22.3/PP.00.7/05/2020,29-05-2020,B-219/Kk.13.22.3/PP.00.7/05/2020,29-05-2020,Silakan Upload SK,,,4,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89CCD55A-C024-4274-B2F3-61A8B5601AF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951691,PPS Al Hamidy,69951691,BANYUANYAR POTOAN DAJA,BANYUPELLE,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,Kd.15.22/03/PP.00.7/011/2016,10-03-2016,Kd.15.22/03/PP.00.7/011/2016,10-03-2016,Lihat SK Operasional,2022-03-22 11,,0,,2.,,,,,,.000000000000,.000000000000,0,14,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E6C9293-30DF-4E73-9731-5DC7536B4236,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951682,PPS Miftahul Ulum,69951682,Taman Baru,LARANGAN BADUNG,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76F3D52C-14D5-42A9-9DB8-AA968D6C9809,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951692,PPS Miftahus Sudur,69951692,Dsn. Lot-Polot Desa Kacok,KACOK,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,B-7020/KK.13.22/3/PP.00.6/2/2018,19-02-2018,B-7020/KK.13.22/3/PP.00.6/2/2018,19-02-2018,Lihat SK Operasional,2022-03-22 11,,0,,2.,,,,,,-7.072200000000,113.458400000000,0,101,66,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Palengaan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/336FE929-9740-4332-BC7A-8231B664BB03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951684,PPS Raudlatul Jannah,69951684,Dusun Aeng Nyono  Desa Banyu Pelle 69362,BANYUPELLE,KEC. PALENGAAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,Kd.15.22/03/PP.00.7/376/2016,10-03-2016,Kd.15.22/03/PP.00.7/376/2016,10-03-2016,Lihat SK Operasional,2022-03-22 14,,0,,2.,,,,,,.000000000000,.000000000000,0,33,31,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
