prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37E69220-2BDE-47C1-9C13-4D358C53676C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966145,PKBM KEJAR PRESTASI,P2966145,Veteran No.02 Kota Tangerang,BABAKAN,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan PKBM KEJAR PRESTASI,AM6541,421.10/Kep.05/PKBM/BPPMPT/2012,20-03-2013,421.10/Kep.23/PKBM/KEC.TNG/2018,28-08-2018,Lihat SK Operasional,2021-02-22 12,,"50,000",1. -,2. Telkom Speedy,PLN,,,KEJARPRESTASIPKBM@GMAIL.COM,,-6.164500000000,106.640300000000,0,0,0,5,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,100,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/75BE15C6-A4B9-45B2-A86D-ABE5086285A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666468,LBPP-LIA Taruna,K5666468,Jl. TMP Taruna No.37 Kota Tangerang Banten 15118,BUARAN INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/479AB54A-2029-4DC9-AA29-B7A55B02E58B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666512,LKP Acam Aviation Training Center,K5666512,Jln. Jend. Sudirman Tangerang Banten,CIKOKOL,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AH9239,421.10/Kep.03-LKP/DPMPTSP/2017,16-02-2017,421.10/Kep.03-LKP/DPMPTSP/2017,16-02-2017,Lihat SK Operasional,2019-05-20 13,A,0,,2.,,021-29676485,021-29676485,info@acam-atc.com,www.acam-atc.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/370E6EBA-51CE-467F-8D23-8F11296C08CF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666509,LKP Adhibina Training Center,K5666509,"Ruko Ciledug mas Blok D7-8, Jl HOS Cokroaminoto, Ciledug - Tangerang 15422",CIKOKOL,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,Terakreditasi,0,,2.,,,0217317012,adhibinatrainingcenter@gmail.com,http,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22EECD38-773E-46A3-BB75-965CC81B0657,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996818,LKP BIMBINGAN BELAJAR STRATEGIS,K9996818,JL. TERUSAN RT 004/006 NO.12,SUKARASA,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.10/Kep.14-LKP/DPMTSP/2018,26-06-2018,421.10/Kep.14-LKP/DPMTSP/2018,26-06-2018,Lihat SK Operasional,2020-12-15 09,,45,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9DD57812-71BD-492B-BC72-24BA17AAA16F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666489,LKP Boston Course Indonesia,K5666489,Jl. Raden Patah RT 011 RW 02 Kota Tangerang Banten,KELAPA INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,C,0,,2.,,,7304082,info@bostonjkt.com,www.bostonjkt.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43043F2B-5DED-4AA8-B350-DA068141339F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666510,LKP English First Tangerang City,K5666510,Ruko Tangerang City Business Park Blok F No. 19,SUKASARI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35E4E558-10CD-4B52-A627-AC6D6CE49FBA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996816,LKP ENGLISH TALKER,K9996816,RUKO PERMATA NIAGA 3 NO.15 TAMAN ROYAL 3,TANAH TINGGI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.10/KMT-69/BID.PEMKES/2019,18-04-2019,421.10/KMT-69/BID.PEMKES/2019,18-04-2019,Lihat SK Operasional,2020-12-15 09,,75,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7EABD85A-FA70-45F4-8D4B-A0F531FF7B36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998385,LKP ETU English Talker United,K9998385,"Ruko Permata Niaga 3 No. 15, Taman Royal 3",TANAH TINGGI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.10/Kep.05-LKP/DPMPTSP/2022,09-06-2022,421.10/Kep.05-LKP/DPMPTSP/2022,09-06-2022,Lihat SK Operasional,2022-12-26 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D014F2B3-95D6-4687-9AE8-37735E04282E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669301,LKP GANESHA OPERATION DAAN MOGOT,K5669301,"Jl. Daan Mogot No 16, Sukarasa Kota Tangerang",SUKARASA,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.10/Kep.16-LKP/DPMPTSP/2018,10-07-2018,421.10/Kep.16-LKP/DPMPTSP/2018,10-07-2018,Lihat SK Operasional,2018-07-20 13,,266,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
