prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08A61FD1-59D3-4BFF-8DC9-7B520F3BF79A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989808,LKP DE ASRI,K9989808,Jl Mustafa no 62 C,PULO BRAYAN DARAT II,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,18,20-11-2017,420/15394/PNF/2019,08-10-2019,Lihat SK Operasional,2019-10-24 10,,300,,2.,,,,dewideasri@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA162B37-8C8D-4C02-AE1C-4341C311D681,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5664327,LKP Dewi,K5664327,Jl. Bilal Gg. Setia No.6,PULO BRAYAN DARAT I,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,12,21-11-2008,420/21997/PAUD&DIKMAS/2018,30-11-2019,Lihat SK Operasional,2019-04-25 14,B,0,,2.,,,,lkp.dewidewi@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/409FA836-C88C-4364-B831-71C6FA7261D1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989897,LKP FLYING COLOURS INTERNATIONAL,K9989897,Jl Sidomulyo Komplek Mega Town House Blok A-17,PULO BRAYAN BENGKEL,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,2061,17-02-2015,420/23277.PAUD & DIKMAS/2018,27-12-2018,Lihat SK Operasional,2019-11-12 09,,300,,2.,,,,geaepifanus@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F99DA1F1-A5B1-4220-A8DD-1A20F5A2F8AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668436,LKP KARYA ANUGERAH - WINFIELD,K5668436,Jl.Bandar Baru No.4 Medan,SIDODADI,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,12,09-06-2006,420/6783.PAUD&Dikmas /2017,15-05-2017,Lihat SK Operasional,2017-11-28 15,,200,,2.,,061-4159127,061-4159127,ypwinfield@gmail.com,ypwinfield.org,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E60B336-39D7-4B9C-921E-E853C5406352,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668507,LKP MICHIGAN ENGLISH COURSE,K5668507,Jl.Sutomo Ujung No.157 Medan,DURIAN,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,15,22-09-2012,420/16524.PNFI/2016,31-10-2016,Lihat SK Operasional,2017-12-12 12,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D318B018-88A9-4B88-9144-57577E239E67,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560895,LKP Mulia,K0560895,Jl. Bilal Ujung No.156 Medan,PULO BRAYAN DARAT II,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,05,16-03-2009,420/3255.Paud&Dikmas/2017,02-03-2017,Silakan Upload SK,,B,200,,2.,,,0616641896,lkp_mulia@yahoo.com,,3.622800000000,98.683100000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64C617BD-28E9-42AD-99BE-77A34E132D20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990223,LKP MUSICAMP,K9990223,JL. GAHARU NO. 1 A MEDAN,GAHARU,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,6,13-05-2019,420/959/PNF/2019,30-01-2020,Lihat SK Operasional,2020-03-10 12,,100,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7127809E-5A4E-4098-B813-4E5ADE982381,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668399,LKP SAS ENGLISH LABORATORY,K5668399,Jl Bilal No 82 Medan,PULO BRAYAN DARAT I,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,21,15-06-2015,420/13003/PNF/2019,12-08-2019,Lihat SK Operasional,2019-08-22 08,,200,,2.,,,,zulhamsyarzain@gmail.com,www.sasenglishlab.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/863A74C9-B88D-4284-98C5-A521595D2ADE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997059,LKP SHAQI,K9997059,Jl. Mustafa No. 72,GLUGUR DARAT I,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,13,10-11-2020,0006/ISPN/DPMPTSP/MDN/1.11/II/2021,24-02-2021,Lihat SK Operasional,2021-03-05 16,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Utara,Kota Medan,Medan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/88F19EFC-A1BE-4D9D-9BDC-9514D421AA7A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669113,LKP SUMATERA JAYA ONE,K5669113,Jl.Gunung Krakatau No.199 B,PULO BRAYAN DARAT I,KEC. MEDAN TIMUR,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,19,31-03-2011,420/6374.PAUD&Dikmas/2018,17-04-2018,Lihat SK Operasional,2018-04-30 14,Tidak Terakreditasi,200,,2.,,,061-6625891,sumaterajayaone@gmail.com,www.sumaterajayaone.co.id,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
