prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF01D6E0-9AD4-4440-B019-299A2C35D03B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661352,LKP Athaya,K5661352,"Jl. Ir. Purnomosidi No.989 Pataruman, Banjar 46323",PATARUMAN,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,Kursus,"KKNI Level 1, KKNI Level 2,  dan KKNI Level 3","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AN NUR CIHARALANG,AX4265,Nomor,11-11-2015,421.9/Kpts.092-Disdikbud,24-06-2013,Lihat SK Operasional,2016-09-28 05,C,85,,2.,,0,,lkpath8@gmail.com,,-7.366500000000,108.564700000000,0,0,0,3,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17FE3C87-1D08-4A62-90EC-ED85F783742D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661347,LKP Kurnia,K5661347,Jln. Purwanegara Lingk. Lemburbalong RT.03 RW.08,PATARUMAN,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,Kursus,KKNI Level 2 dan KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,Nomor,01-04-2008,421.9/Kpts. 133 -PNFI,15-03-2016,Lihat SK Operasional,2016-09-17 04,C,256,,2.,,0,02657481209,lkpkurnia_ktbjr@yahoo.com,0,-7.375144400000,108.552187300000,0,0,0,2,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08477379-4442-4B12-B37F-9F6C036B834D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661362,LKP NIS,K5661362,Jl. Purwanegara Lingk. Lemburbalong Rt. 3 Rw. 7,PATARUMAN,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.9/Kpts.481-Disdikbud,29-12-2017,421.9/Kpts.482-Disdikbud,29-12-2017,Lihat SK Operasional,2018-05-23 09,,0,,2.,,,,,,-7.375800000000,108.552600000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C55C23D-3677-4C42-BEC7-70D82E65A5F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5661351,LKP Tuti Saleh,K5661351,Jl. Kantor Pos No.92 Kota Banjar,HEGARSARI,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,"02,-",02-05-2007,421.9/Kpts. 051 -Disdikbud,17-02-2014,Lihat SK Operasional,2016-09-17 16,,378,,2.,,0265741962,,lkptutisaleh@yahoo.com,,-7.374900000000,108.541400000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5D40C8C-2321-4FF7-B4B1-DFE23EE7A6B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937098,PAKET PP. BUSTANUL ULUM,69937098,DSN. CIGADUNG RT.09/04,SINARTANJUNG,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4CC765E-E4E8-4EB8-BE62-DF099B0C10CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2960291,PKBM ARTABAYA,P2960291,DUSUN PANANJUNG TIMUR RT. 31 RW. 07,SINARTANJUNG,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,PKBM,Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,429/Kpts. 259-Disdikbud/2016,21-07-2016,429/Kpts. 259-Disdikbud/2016,21-07-2016,Silakan Upload SK,,,72,1. -,2. Telkomsel Flash,PLN,,,pkbmartabaya@gmail.com,,-7.367800000000,108.584700000000,5,0,0,1,2013,Siang/6 hari,,2022/2023-2,900,1,0,0,0,2,2,1,0,3,0,2,0,4,1,0,5,0,0,1,1,1,1,1,0,4,1,0,1,0,0,0,0,0,0,Tidak Ada
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08009864-04D0-427B-8458-2E9916832D50,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2960286,PKBM BAETUSSYUKUR,P2960286,"Jln. Mayjen Lili Kusumah, Lingkungan Tanjungsukur RT.05 RW.15",HEGARSARI,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 31.-,26-04-2011,421.9/Kpts. 294-Disdikbud/2016,05-10-2016,Lihat SK Operasional,2016-10-23 11,,0,1. -,2. Telkomsel Flash,PLN,0,,PKBMBTSY123@gmail.com,http,-7.387300000000,108.524500000000,1,0,0,4,Paket C IPS 2013,Sehari Penuh/3 hari,,2022/2023-2,"1,200",1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Tidak Ada
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51C3140C-472F-4FF7-8A9C-CCDCD7A43F67,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2960287,PKBM BANGKIT,P2960287,DUSUN SUKAMULYA Rt.07 Rw.02,SUKAMUKTI,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.9/Kpts.494-Disdikbud,29-12-2017,423.9/Kpts.493-Disdikbud,29-12-2017,Lihat SK Operasional,2021-07-29 00,,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,pkbm.bangkit@yahoo.com,,-7.387300000000,108.524500000000,2,0,0,2,2013,Sehari Penuh/3 hari,,2022/2023-2,900,1,0,0,2,1,0,5,0,1,0,1,0,1,1,0,2,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,Telkomsel Flash
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E16C237-3101-44A2-AB88-162D0D40D7C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2960288,PKBM BINA SADAR,P2960288,Dusun Sukamaju RT.02 RW.04,MULYASARI,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 05.-,18-11-2014,421.9/Kpts. 488 -Disdikbud,29-12-2017,Silakan Upload SK,,B,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,pkbmbinsaktbjr@gmail.com,,-7.374100000000,108.592400000000,4,0,0,3,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,900,2,0,0,0,3,0,2,1,2,0,2,0,4,0,0,3,1,0,0,1,1,0,1,1,1,3,0,2,0,0,0,0,0,0,Telkomsel Flash
Jawa Barat,Kota Banjar,Pataruman,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/906B9A3A-2A04-4FD9-8ACA-FF5E692841DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2960289,PKBM DAHLIA,P2960289,TUNDAGAN RT.15 RW.05,BATULAWANG,KEC. PATARUMAN,KOTA BANJAR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,02.-,04-09-2019,421.9/Kpts.489-Disdikbud,29-12-2017,Lihat SK Operasional,2020-03-31 09,,"2,800",1. -,2. Telkom Speedy,PLN,,,pkbmdahlia07@gmail.com,,-7.387300000000,108.524500000000,3,0,0,3,Paket C IPS 2013,Sore/6 hari,,2022/2023-2,900,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1,2,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,Tidak Ada
