prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C89EBADD-2234-4963-A9BF-C90C2595CD83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984539,PKBM SEKOLAH TAHFIZHUL QURAN TELAGA ILMU,P9984539,Sawo RT 006 Kepuh Kulon,WIROKERTEN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,023/PKBM/B/VII/2009,04-07-2009,11/PKBM/P/V/2023,15-05-2023,Lihat SK Operasional,2023-05-31 10,B,375,1. Lainnya,2. Telkom Speedy,PLN,,02744357499,pkbmtelagailmu@gmail.com,,-7.846800000000,110.399100000000,2,0,0,18,2013,Pagi/6 hari,,2022/2023-2,Lainnya,"2,300",18,0,0,14,0,0,3,1,2,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,2,18,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16F10BE4-D420-4D3D-AC85-1AC77019F3AA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650694,LKP Airport Service Training,K5650694,Jl. Janti No.341,BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,02,02-03-2012,26/LKP/P/X/2022,31-10-2022,Lihat SK Operasional,2022-11-02 08,C,133,,2.,,02744534183,02744534183,ast_yogyakarta@yahoo.co.id,www.lp3ast.com,-7.798500000000,110.405300000000,0,0,0,0,KBK Bisnis dan Manajemen,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6ECF450-0558-4EFB-905C-7575B1D56270,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650646,LKP Cendana Wangi,K5650646,Mantup RT 08,BATURETNO,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,01,04-03-2009,02/LKP/P/I/2023,12-01-2023,Lihat SK Operasional,2023-06-12 13,B,350,,2.,,0,,galuhmustikatikswa@gmail.com,0,7.816000000000,110.418600000000,2,0,0,0,KBK Kesehatan,,,2022/2023-2,,,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA8D1C7E-710F-4AF2-8EB2-02C216C92D39,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650668,LKP Karir Jogjakarta,K5650668,"Jl. BLPP No. 5 Gedong Kuning, Bantul 55198",BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,22-03-2010,,29-08-2018,Lihat SK Operasional,2018-09-19 16,Terakreditasi,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D9AB964-0ECB-4CB6-9B45-FEFDD7F2C287,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990439,LKP L.A. LANGUAGE ACADEMY,K9990439,Jl. Sukun No. 379 Kanoman RT 10/ RW 20,BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,KKNI Level 1,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,01,01-06-2020,23/LKP/P/XII/2021,30-12-2021,Lihat SK Operasional,2021-12-31 11,,0,,2.,,,,,,-7.797800000000,110.405700000000,0,0,0,1,KBK Bahasa,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C9730345-FDCB-4A34-8BA2-9701BA1650AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668006,LKP NEUTRON YOGYAKARTA,K5668006,"Jl. Wonosari Km. 6,5, Banguntapan, Bantul, Yogyakarta.",BATURETNO,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,91,30-05-2016,16/LKP/P/IX/2021,06-09-2021,Lihat SK Operasional,2021-09-22 16,,0,,2.,,02744536940,02744536940,jogj14.ny@gmail.com,www.neutron-ny.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D4A654A3-B521-4626-8234-6B0EFDEA3AFD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650705,LKP Patriot Bangsa,K5650705,JL. Raya Janti No.90B Karangjambe,BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,17,30-03-2012,08/LKP/P/V/2022,17-05-2022,Lihat SK Operasional,2022-06-22 14,A,132,,2.,,02744534409,02744534409,info_pb_atc@ymail.com,www.patriotbangsa.com,-7.794800000000,110.409800000000,0,0,0,1,KBK Bisnis dan Manajemen,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B65E5C47-E3DB-4E0A-B81F-78D8D6AAEE23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650695,LKP Praktisi,K5650695,Jl. Wonosari No.8  Ketandan,BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,"KKNI Level 1, KKNI Level 3, KKNI Level 4,  dan KKNI Level 5","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,35,21-07-2011,028/LKP/P/XI/2020,13-11-2020,Lihat SK Operasional,2021-06-24 10,B,500 m2,1.,2.,,02742840815,02742840815,trainingcenter_praktisi@ymail.com,www.praktisijogja.co.id,110.403300000000,-7.810800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4DD0BF63-5313-4900-BA91-173266B867A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650676,LKP Trans Ocean,K5650676,"Jl. Ringroad Timur, Sunen No. 03",BANGUNTAPAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,05,04-05-2011,032/LKP/2014,01-12-2014,Lihat SK Operasional,2016-12-08 15,,150,,2.,,0274488327,0274376446,transoceanfloating@gmail.com,www.transoceanjogja.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
D.I. Yogyakarta,Kab. Bantul,Banguntapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/26FF8FCC-E2B7-4603-BFB7-DDC7D8DCBED1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9934930,PKBM AL-MUSTAJAB,P9934930,Jlamprang Lor RT 04,JAMBIDAN,KEC. BANGUNTAPAN,KAB. BANTUL,PROV. D.I. YOGYAKARTA,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,01/2007,04-01-2007,021/PKBM/P/VII/2020,14-07-2020,Lihat SK Operasional,2020-08-24 19,C,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,almustajab.pkbm@gmail.com,,-7.856175000000,110.424036700000,16,0,0,15,2013,Sore/6 hari,,2022/2023-2,Telkomsel Flash,"3,500",3,0,1,0,2,0,4,11,14,0,1,1,5,11,0,9,7,5,4,3,0,0,1,3,4,12,3,0,0,0,1,0,0,0
