prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A56E51C-7858-4D70-AD25-306C120E4F35,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652002,ECBC,K5652002,Jl. Sengkawit Gg. Buana Maspul RT.25 RW.08,TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,02,02-12-2007,421.9/6456/Disdikbud II/2018,30-07-2018,Lihat SK Operasional,2019-01-24 09,Tidak Terakreditasi,200,,2.,,,,kursus.ecbc@yahoo.com,,2.858553800000,117.368672000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4D22FCE-F1BB-48D9-A38A-FE08D1A89223,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652000,LKP AN-NUUR,K5652000,"jl. Jelerai Rt.XVII Kel. Tanjung Selor Ilir, Kab Bulungan",TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,11,02-04-2011,421.9 / 3927 / Disdik IV.1 / 2011,02-11-2011,Silakan Upload SK,,,50,,2.,,,,,,2.838158000000,117.388866000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1B42204E-D274-47E0-B7E2-150004AB2199,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652004,LKP Bina Bangsa,K5652004,"Jl. Sengkawit Gg. Garuda Kel. Tanjung Selor Hilir Kec. Tanjung Selor, Kab. Bulun",TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AG3300,07,03-06-2009,503/003/IZIN PLS/BMPT-III/XII/2015,07-12-2015,Lihat SK Operasional,2019-05-13 11,C,110,,2.,,,,Lpk_Bina_Bangsa@yahoo.com,,2.856789000000,117.370358000000,0,0,0,2,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B33CD19-7B31-43BD-A363-64EFD489CB11,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652008,LKP Eksata Indonesia,K5652008,"Jl. Langsat No.31  Bulungan, Kal-Tim 77212",TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503/257/SITU/CTS-PUM/XI/2016,09-11-2016,421.9/1445/DISDIKBUD II/2017,08-02-2017,Lihat SK Operasional,2017-09-20 11,,100,,2.,,,,eksataindonesia@yahoo.com,,2.845852000000,117.369726000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A61A155A-1304-4133-920F-38B6F446D7E1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981398,LKP GENIUS EXCELLENT,K9981398,Jl. Sengkawit Kelurahan Tanjung Selor Hilir Kecamatan Tanjung Selor,TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.9/1924/DISIKBUD II/2019,02-04-2019,16 April 2019,16-04-2019,Lihat SK Operasional,2019-05-15 14,,40,,2.,,,,borneoinsangenius@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5D2EAB1-2ABB-4ADB-97EB-76DFB725E6E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652006,LKP Pemuda T Selor,K5652006,"Jl. Sutoyo RT.V RW.I No 17 , Kab. Bulungan Tanjung Selor",TANJUNG SELOR HULU,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,0,04-01-2012,421.9/2428/DISDIKBUD II/2017,15-03-2017,Lihat SK Operasional,2017-03-22 09,,0,,2.,,,,lpkpemudaborneo08@gmail.com,,2.845552000000,117.364619000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2932B58F-A18E-4941-A459-CED132A54047,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652009,LKP Yayasan Pusat Bahasa Inggris Nava,K5652009,"Perumahan BPD Rt.27 Rw.10 Tanjung Selor Hilir  Kab. Bulungan, Kalimantan Utara 7",TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,80,19-07-2009,503/004/IZIN PLS/BPMPT-III/XII/2015,07-12-2015,Silakan Upload SK,,,0,,2.,,,055222731,riantimanurung94@gmail.com,,2.852453000000,117.370863000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/368EA719-AE60-48F3-B2CC-BECB75C5A29D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990030,LPK AJZ,K9990030,JL. Sengkawit Ruko II Pasar Induk,TANJUNG SELOR HILIR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,05,14-05-2019,421.9/5200/DISDIKBUD II/2019,09-12-2019,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C80741E-D35A-490B-9478-8D4785C243CF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981021,LPK ARDI JAYA LESTARI,K9981021,Jl. Mukti Jelarai Selor Desa Jelarai Selor,JELARAI SELOR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,01,11-12-2018,421.9 /11400 / DISDIKBUD II / 2018,26-12-2018,Lihat SK Operasional,2019-01-24 16,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Utara,Kab. Bulungan,Tanjung Selor,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D8196B83-21A7-4DD1-B68C-DA3277EFC432,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652007,LPK Ilmiari,K5652007,"Jl. Seliman Rt.08 Rw.03 Kel. Tanjung Solor Timur  Kab. Bulungan, Kal-Tim 77212",TANJUNG SELOR TIMUR,KEC. TANJUNG SELOR,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,10,11-01-2011,421.9 / 695 / Disdik IV / 2011,11-04-2011,Silakan Upload SK,,,50,,2.,,,,,,2.852958000000,117.406654000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
