prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/564A962C-81EE-47F3-B4FD-A6FA304FCBC8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2963328,PKBM Ar-Rahman,P2963328,Jl. Lintas terminal sape,MONTA BARU,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,20,14-03-2011,421.1/01/01.1/D/PKBM.LB/2021,01-01-2021,Lihat SK Operasional,2022-09-06 12,C,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,pkbmarrahman80@yahoo.co.id,,-8.611500000000,118.920700000000,9,0,0,8,2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,900,9,0,0,1,0,0,5,8,9,0,0,0,0,9,0,7,2,2,3,2,0,1,1,0,3,6,2,6,1,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BEC11C40-C04B-4ACA-AE65-5354E5BCC629,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9980001,PKBM ARRASYIID,P9980001,DESA KALEO,KALEO,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,16,20-05-2017,004/07/01.1/D/PKBM.LB/2018,10-12-2018,Lihat SK Operasional,2019-01-09 10,B,124,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,pkbmarrasyiid3@gmail.com,,-8.657319800000,118.955310700000,9,0,0,8,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,3,0,0,0,0,0,8,4,9,0,0,0,0,9,0,4,5,4,2,1,2,0,0,0,3,6,3,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F82ED1A-0D77-42CF-A6AF-EF5D3F03CC56,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998302,PKBM AZZAITUN,P9998302,Jl. Lintas Kaleo Sumi,LANTA,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,28,31-05-2022,421.1/01/01.1/D/PKBM/LB/2022,21-06-2022,Lihat SK Operasional,2022-07-12 09,,750,1. XL (GSM),2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,6,0,0,3,2013,Pagi/6 hari,,2022/2023-2,XL (GSM),900,3,0,0,0,0,0,3,3,6,0,0,0,0,6,0,6,0,3,2,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E54D6ED-AE61-4AB3-928F-DFE60D523A03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996888,PKBM BINA MANDIRI,P9996888,DESA RATO KEC. LAMBU,RATO,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,13,25-04-2013,004/06/01.1/D/PKBM.LB/2018,26-12-2018,Lihat SK Operasional,2020-11-03 18,B,160,,2.,,,,,,-8.693681000000,119.000502300000,3,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44E264A4-2396-431D-A201-7ACE344E5AD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2963313,PKBM Doro Lopi,P2963313,Jl. Jendral Sudirman,RATO,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,86,27-01-2011,421.1/04/01.1/D/PKBM.LB/2021,01-01-2021,Lihat SK Operasional,2023-01-10 10,,"5,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,pkbm.dorolopi@gmil.com,,-8.611500000000,118.920700000000,7,0,0,5,2013,Siang/6 hari,,2022/2023-2,Telkom Speedy,900,7,0,0,0,0,0,6,3,7,0,0,0,0,7,0,3,4,0,3,3,0,0,1,0,1,6,0,7,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BFCD7DEE-6CF5-41BD-B2E6-EB23EB4DD658,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997399,PKBM DUA PUTRI,P9997399,DESA MANGGE,MANGGE,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,61,23-09-2020,004/10/01.1/D/PKBM.LB/2021,17-05-2021,Lihat SK Operasional,2021-05-21 14,,750,1. Telkom Speedy,2. Telkomsel Flash,PLN,,,,,.001900000000,-.000700000000,6,0,0,6,2013,Siang/6 hari,,2022/2023-2,Telkom Speedy,900,7,0,0,0,0,0,1,5,6,0,0,0,0,6,0,4,2,1,3,2,0,0,0,0,3,3,6,1,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/249BD552-471F-418D-9372-E19BDC13781F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9952535,PKBM Hamzanwadi,P9952535,Jl. Jenderal Sudirman,SUMI,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,Paket A,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,17,12-01-2012,004/04.LB/PKBM/D/2016,03-10-2016,Lihat SK Operasional,2016-10-24 13,,"10,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,,,-8.611500000000,118.920700000000,2,0,0,1,2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,3,0,0,2,0,0,1,1,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE8DA49B-4381-42E4-803E-6B34F325DC30,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9970691,PKBM MEKAR,P9970691,DESA RATO,RATO,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,204,28-10-2015,004/06/01.1/D/PKBM.LB/2018,26-11-2018,Lihat SK Operasional,2018-12-04 15,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,pkbmmekarq2018@gmail.com,,-8.738698000000,119.015824400000,12,0,0,7,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,16,0,0,0,1,2,4,7,12,0,0,0,0,12,0,10,2,1,4,5,1,1,0,0,2,10,16,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F6959D3-C9EA-44A6-8ABC-ECBE9C5E72FB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9934384,PKBM MENTARI TIMUR,P9934384,JL. DAM DIWU MORO DESA SANGGA KEC. LAMBU KAB. BIMA PROV. NTB,SANGGA,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan LEMBAGA PKBM MENTARI TIMUR,AH7863,40,28-12-2009,421.1/08/01.1/D/PKBM.LB/2021,01-01-2021,Lihat SK Operasional,2021-07-01 11,B,842,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,muhammadin.pkbmmentaritimur@gmail.com,http,-8.611500000000,118.920700000000,52,0,0,8,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,17,0,0,0,1,3,3,43,51,1,0,0,3,49,0,11,41,9,16,10,6,7,2,2,24,28,0,12,5,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/945C9A61-A0E7-47EB-A7F6-B87981CF9AE0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9970651,PKBM NURUL MUBIN,P9970651,DESA SORO,SORO,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,Paket A dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,11,27-08-2018,004/05/01.1/D/PKBM.LB/2018,01-10-2018,Lihat SK Operasional,2018-11-01 13,,24,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-8.672015700000,119.017895700000,3,0,0,3,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,0,0,0,0,3,3,0,0,0,0,3,0,2,1,2,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
Nusa Tenggara Barat,Kab. Bima,Lambu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E621699E-AAA8-462E-9441-5C537DD0C5E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2963305,PKBM Sori Nae,P2963305,Dam Diwu moro,LAMBU,KEC. LAMBU,KAB. BIMA,PROV. NUSA TENGGARA BARAT,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-8.611500000000,118.920700000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
