prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A426B2BE-F968-4CF0-8E4C-B3C9FFB7DD85,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652406,LKP Akmakom,K5652406,"Jl. MT. Haryono No.146 Rt.02 Rw.01 Lomanis Cilacap Cilacap, Jawa Tengah",LOMANIS,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1242/03/15,20-04-2017,411.3/1242/03/15,20-04-2017,Lihat SK Operasional,2017-11-29 15,B,200,,2.,,0282541127,0282541127,smartakmakom@gmail.com,www.akmakom.com,.000000000000,.000000000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95D65854-B0EA-47AD-BF1D-A46CA05FF1B1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669310,LKP Citra Indotech Jaya Cilacap,K5669310,JALAN BAWEAN NO.2,GUNUNGSIMPING,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1033/03/15,05-04-2018,411.3/1033/03/15,05-04-2018,Lihat SK Operasional,2018-07-25 20,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BCB4FAFA-1C26-4C3E-B514-D5EE2C0EA68D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997439,LKP DEWANGGA,K9997439,JL. JAWA A6 PERUM JAWA INDAH,GUNUNGSIMPING,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/4509/02/15,18-11-2020,411.3/4509/02/15,18-11-2020,Lihat SK Operasional,2021-07-30 14,,30,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CB9133F-662D-4013-B2FC-73951F627006,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668577,LKP DREAM WORLD CILACAP,K5668577,JL. GATOT SUBROTO NO. 15/185,GUNUNGSIMPING,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,411.3/2312/03/15,27-07-2017,411.3/2312/03/15,27-07-2017,Lihat SK Operasional,2017-12-21 15,,75,,2.,,,,husnibawazir@gmail.com,www.dreamworldcilacap.com,.000000000000,.000000000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49F2C16C-3B73-4667-8E66-343CE1266D88,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5652349,LKP English Language Institute,K5652349,Jl. Kelud No. 6 RT 07/ RW 02,SIDANEGARA,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1590/03/15,22-05-2017,411.3/1590/03/15,22-05-2017,Lihat SK Operasional,2018-07-31 10,,150,,2.,,,0282520387,elikapalpesiar@gmail.com,elipesiar.simplesite.com,.000000000000,.000000000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/668DDDDE-577F-499E-9920-855BCBF92E38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0563350,LKP ENTRANCE,K0563350,"Jl. Indraloka No.25 Rt.04 Rw.04 Sidanegara Cilacap, Jawa Tengah 53223",SIDANEGARA,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-1900,,,Silakan Upload SK,,,0,,2.,,,,renikurniawati77@gmail.com,,-7.718900000000,109.015400000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DF8372E-DCBA-4520-8E59-BF4686F89682,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0563306,LKP ILT College,K0563306,Jl. Brantas No.1A,DONAN,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1692/03/15,04-06-2018,411.3/1692/03/15,04-06-2018,Lihat SK Operasional,2018-08-23 11,,0,,2.,,0282533304,0282533304,iltcollege@yahoo.com,WWW.ILTCOLLEGE.COM,-7.719600000000,109.005200000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50906841-0859-481E-82EB-FA0EC23344A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997117,LKP KIARA,K9997117,JL. KENDENG NO. 138,SIDANEGARA,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,03.01.02/258/III/2021,15-03-2021,03.01.02/258/III/2021,15-03-2021,Lihat SK Operasional,2021-03-19 15,,280,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EE23CC0-A5C7-4888-B82A-2D7E3A37E370,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668342,LKP NEUTRON YOGYAKARTA,K5668342,"JL. GATOT SUBROTO NO.187, CILACAP",GUNUNGSIMPING,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1047/04/14,24-03-2014,411.3/1047/04/14,24-03-2014,Lihat SK Operasional,2017-11-09 19,,0,,2.,,02825070271,02825070271,clcp.ny@gmail.com,https,.000000000000,.000000000000,0,0,0,0,KBK Umum,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kab. Cilacap,Cilacap Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/590DD027-8EC8-495A-9E75-0F6BF9FBD28E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9989676,LKP PENGELASAN SUMBU HIDUP,K9989676,"JALAN THAMRIN NO.30, GANG BAROKAH RT.03 / RW.02",LOMANIS,KEC. CILACAP TENGAH,KAB. CILACAP,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,411.3/1670/03/15,06-05-2019,411.3/1670/03/15,06-05-2019,Lihat SK Operasional,2019-09-04 10,,454,,2.,,,,sumbuhidup@yahoo.co.id,www.sumbuhidup.com,.000000000000,.000000000000,0,0,0,0,KBK Teknologi dan Rekayasa,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
