prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ECA742DF-E156-4580-90B3-85633258A466,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016131,Akademi Analis Kesehatan Muhammadiyah Makassar,70016131,"Jalan Dr Ratulangi No 101 / Jalan Tupai No,112 Kota Makassar",TAMARUNANG,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,141DO2007,03-08-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,0411-872328,0411-850242,anakesmuh@yahoo.co.id,www.anakesmuhammadiyah.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E00FF97-1390-42D9-AC9B-B8BCC4FF763A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310909,Akademi Analis Kimia Yapika Makassar,40310909,Jalan Sultan Alauddin No 98,TAMARUNANG,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,19DO2000,06-03-2000,,,Silakan Upload SK,,,0 m2,1.,2.,,0411-868529,0411-868529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BB0D180-A9B2-45D6-AC17-8248F8F05DA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310910,Akademi Bahasa Asing Atmajaya Makassar,40310910,Jalan Serui No 33,TAMARUNANG,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,NO. 20 THN 1965,08-07-1965,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3156972E-5E2C-4C3F-91C6-5AB77FCB8DE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016164,Akademi Bahasa Asing UMI Makassar,70016164,Kakatua No 27,KAMPUNG BUYANG,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,28,16-06-1996,,,Silakan Upload SK,,,0 m2,1.,2.,,(0411) 455695,(0411) 455666-455696,umi@umi.ac.id,http,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/659A7679-F153-4E1B-83BC-B5CD353854AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310912,Akademi Farmasi Kebangsaan Makassar,40310912,Jl Perintis Kemerdekaan KM 13,LETTE,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,14,22-12-1998,,,Silakan Upload SK,,,0 m2,1.,2.,,0411-583-190,0411-583-190,farmasiakademi@ymail.com,www.stifamks.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/84F4D487-C6E3-4E69-92E5-CA7098E370A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016203,Akademi Farmasi Yamasi Makassar,70016203,JL. MAPALA BLOK D 5/ No. 10 Makassar,MARIO,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,283/E/O/2012,30-08-2012,,,Silakan Upload SK,,,2.526 m2,1.,2.,,0411-884024,0411-866229,akfaryasi.adm@gmail.com,yamasi.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0C4BABC-5630-4AEF-9AB4-3CD01EF2EFB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310913,Akademi Hiperkes Makassar,40310913,Jalan Maccini Raya No 196,MATTOANGIN,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,341999,08-06-1999,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AC1DE33-A912-4598-99D2-56DCF79840FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310914,Akademi Ilmu Gizi YPAG Makassar,40310914,Jalan Batua Raya VII No 21,MATTOANGIN,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,87,23-12-1975,,,Silakan Upload SK,,,0 m2,1.,2.,,0411-493-740,0411-493-740,amannagappa2021@gmail.com,,-5.155473000000,119.460563000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65B9A50E-700B-48B7-A06E-3D5B1F4464EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016327,Akademi Kebidanan Haji Amirullah,70016327,Makassar,MARISO,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,33DO2009,06-04-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,0411 8216021,0411 8216021,akbidhaji_amirullah@yahoo.com,www.akbidhajiamirullahmakassar.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mariso,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BFDB6F64-15E4-4DBE-B892-16E0593B12D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016339,Akademi Kebidanan Inau,70016339,Makassar,MARISO,KEC. MARISO,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,58DO2008,28-03-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
