prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30D08197-9829-40B3-9DE7-C30E522051C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016296,Akademi Kebidanan Buton Raya,70016296,"Jalan Latsitarda  No. 17  Kelurahan Lamangga, Kecamatan Murhum, Kota Baubau Sul",LIPU,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,,0402 2827023,akbidbutonraya@ymail.com,www.akbid-buton-raya.ac.id,,
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/893C30A8-E5EB-4DFE-A658-61E03B6CE73C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016486,Akademi Kebidanan Yayasan Kesehatan Nasional,70016486,Jl. Lakarambu,LABALAWA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,89DO2009,22-06-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,0402-2823600,0402-2823600,akademikebidananyknbaubau@gmail.com,www.akbidykn.ac.id,,
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE9C5DD3-99BC-4486-A949-B928F8B8AB8E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016910,Akademi Tenaga Kesehatan Baubau,70016910,Jl. Erlangga No. 174,SULAA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,82/KPT/I/2015,20-10-2015,,,Silakan Upload SK,,,0 m2,1.,2.,,0402-2826300,0402-2826300,atkykn@gmail.com,,,
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CAB63323-FC0C-481F-8E43-932C8C38D090,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018134,Institut Kesehatan dan Teknologi Buton Raya,70018134,,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,448/E/O/2021,13-10-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,iktbutonraya@gmail.com,,-5.466991400000,122.596953200000
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0B545CD-A065-4E10-8EE9-484D0E9E5CA0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019060,Politeknik Baubau,70019060,Jl. Lakarambu,LABALAWA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,478/KPT/I/2017,04-09-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,04022823600,04022823600,info@poltekbaubau.ac.id,www.poltekbaubau.ac.id,-5.479187800000,122.587657100000
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD53E9EC-2428-493F-980C-D7B40D2B3748,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021145,"STAI YPIQ Baubau, Sulawesi Tenggara",70021145,Jl. RA Kartini No. 24 Kel. Wale Kec. Wolio Kota Baubau Sulawesi Tenggara,WABOROBO,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Nomor 284 Tahun 1994,30-07-1994,,,Silakan Upload SK,,,0 m2,1.,2.,,04022821225,04022821225,sypiqbaubau@gmail.com,http,,
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D669091-9AF1-470E-BA83-842EBEAA2CCF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021349,STIKES IST Buton,70021349,Jalan Wa Ode Wau No. 51 Kota Baubau,SULAA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,176DO2009,16-10-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,(0402) 2824663,(0402) 2824663,istbutonstikes@gmail.com,stikesistbuton.ac.id,-5.467650900000,122.593097500000
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD76706F-FE69-41A3-A69A-8C68132FD217,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021656,STKIP Pelita Nusantara Buton,70021656,Kampus Mekar,SULAA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,376/E/O/2014,01-09-2014,,,Silakan Upload SK,,,20.000 m2,1.,2.,,(0402) 2824456,(0402) 2824456,stkippelnusbuton@gmail.com,www.stkippelnusbuton.ac.id,-5.469128700000,122.625930500000
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/921B9381-ABED-4E3E-9ADA-4A7554666B34,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70022288,Universitas Dayanu Ikhsanuddin,70022288,Jalan Yos Sudarso No 43,SULAA,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0533O1986,05-08-1986,,,Silakan Upload SK,,,0 m2,1.,2.,,04022826682,04022821327,info@unidayan.ac.id,www.unidayan.ac.id,-5.489228000000,122.572691000000
Sulawesi Tenggara,Kota Baubau,Betoambari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BCA1DB95-F1E1-473F-9E5C-0BF75A79A835,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40403074,Universitas Muhammadiyah Buton,40403074,"Jalan Betoambari No 36, Lanto, Batupoara",WABOROBO,KEC. BETOAMBARI,KOTA BAUBAU,PROV. SULAWESI TENGGARA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,544/KPT/I/2017,20-09-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,0402 2827038,0402 2827038,rektorat@umbuton.ac.id,umbuton.ac.id,-5.463153000000,122.599410000000
