prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/244AC079-5162-4B5E-8E61-DEA6AE609A45,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016643,Akademi Keperawatan Rumkit Tk III Dr. J. A. Latumeten,70016643,,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,119/E/O/2011,27-05-2011,,,Silakan Upload SK,,,1.000 m2,1.,2.,,(0911)345025,(0911)345025,akper_latumeten@yahoo.com,akperlatumeten.ac.id,-3.700527000000,128.177037000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AACE7EF7-F7C9-41F2-B252-A6D2FEB2CF5D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102594,Akademi Maritim Maluku,60102594,Jl DR Malaihollo Air Salobar,LATUHALAT,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0308-0-1991,06-06-1991,,,Silakan Upload SK,,,1.300 m2,1.,2.,,,,,,-3.713434500000,128.169808400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/84621CA2-757E-484F-B7F8-B93D51F6EC1F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017902,IAIN Ambon,70017902,Jl. DR. H. Tarmizi Taher Kebun Cengkeh Batu Merah Atas,KEL BENTENG,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,0911 - 344315,0911 - 344816,humas@iainambon.ac.id,www.iainambon.ac.id,-3.681454000000,128.224160000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A5D8F02-1A6F-482C-B28B-211C82BAA311,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70017974,Institut Agama dan Keagamaan Oikumene Indonesia Timur Ambon,70017974,,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,12,13-02-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,0911311514,0911311514,samydave.iakointim@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6FFE46E0-4C8B-469F-8F05-5E8253305505,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018078,Institut Agama Kristen Negeri Ambon,70018078,,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,INDONESIA,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,Perpres No.12 tahun 2018,01-03-2018,,,Silakan Upload SK,,,86.284 m2,1.,2.,,,,info@iaknambon.ac.id,www.iaknambon.ac.id,-3.665538000000,128.209278000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A91DC33D-CF40-4A8D-9D3C-CD8A80E76B23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018241,Institut Teknologi dan Bisnis Stikom Ambon,70018241,,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,880/M/2020,21-09-2020,,,Silakan Upload SK,,,10.000 m2,1.,2.,,,0911-315735,admin@stikomambon.ac.id,www.stikomambon.ac.id,-3.695681000000,128.178589000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C1A9745-0051-4BCB-B31E-408D6718B9B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102596,Politeknik Negeri Ambon,60102596,Jalan Ir M Putuhena Wailela Rumahtiga,KEL NUSANIWE,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,128O1998,12-06-1998,,,Silakan Upload SK,,,0 m2,1.,2.,,0911-322715,0911-322714,info@polnam.ac.com,www.polnam.ac.id,-3.659198000000,128.180949000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AF70971-5A6E-4A10-B15D-3CAE4C6DC31D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019306,Poltekkes Kemenkes Maluku,70019306,"Jl. Laksdya Leo Wattimena, Negeri Lama - Ambon",KEL SILALE,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1207/MENKES/SK/XI/2001,12-11-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,0911-362949,0911-362943,poltekkes_ambon06@yahoo.com,www.poltekkes-maluku.co.id,-3.626369200000,128.241670100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C3A9FAF-7D8A-4359-A718-A43D598FD42C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102597,Sekolah Tinggi Ilmu Administrasi Trinitas,60102597,Jalan PHB Halong Atas Halong,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,141,16-09-1982,,,Silakan Upload SK,,,0 m2,1.,2.,,,"0911-322855, 322771",stia.trinitas84@yahoo.co.id,www.stiatrinitas.id.ac.,-1.027025400000,129.394931600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,Kota Ambon,Nusaniwe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B740285-E8C3-4EEB-B3E1-DDE4DBDF321C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60102598,Sekolah Tinggi Ilmu Ekonomi Manajemen Rutu Nusa,60102598,Jalan Dr Kayadoe No 80-82,KEL MANGGA DUA,KEC. NUSANIWE,KOTA AMBON,PROV. MALUKU,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,41DO2004,11-03-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-3.615318000000,128.272413000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
