prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C7C57E1-9A31-4331-8758-D99288CD4CAC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016465,Akademi Kebidanan Syahida Komunika,70016465,Jl A H Nasution Mangkubumi PO Box 130,MARGABAKTI,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,230D02006,03-10-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,,0265-312003,akbidsyahidatsm@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5DC7912-3284-45E0-86D0-BB5C2CF5CCE1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016761,Akademi Manajemen Gunung Leuser,70016761,Kota Tasikmalaya,KOTABARU,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,113/D/O/1993,11-09-1993,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8802E4A-AD49-4685-AF8C-078CB12FABE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016762,Akademi Manajemen Gunung Leuser,70016762,,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,951/KPT/I/2019,10-10-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9AD8A2E-442B-4367-A5C8-7C77B5C8CE85,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238419,Akademi Pariwisata Siliwangi,20238419,Jl..Peta 002,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,43D01996,17-07-1996,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-7.352305200000,108.223875200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD0B23AE-564B-4C22-B642-E8DA2D972A4A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018238,Institut Teknologi dan Bisnis Riyadlul Ulum,70018238,,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,INDONESIA,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,475/E/O/2021,03-11-2021,,,Silakan Upload SK,,,"8,107",,2.,,,,itb-ru@pesantren-condong.sch.id,www.itb-ru.ac.id,-7.343674800000,108.257913600000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/449FD364-7752-4D44-BD01-91D78CD0AFB6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019075,Politeknik Bisnis Mayasari,70019075,,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,INDONESIA,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,1271/M/2020,30-12-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,+62 821 1894 1003,admin@polbim.ac.id,polbim.ac.id,-7.327120000000,108.214566000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63779C9B-DE0B-4050-888F-C5167E038AAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019275,Politeknik Triguna Tasikmalaya,70019275,Jl. Raya Indhiang ( Letjen Ibrahim Adjie) No. 7 Tasikmalaya,KERSANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,166DO2008,21-08-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,(0265) 323232,(0265) 323232-332021,trigunatasik@poltektriguna.ac.id,www.poltektriguna.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7AB2D1A3-FB16-4390-9D67-0838F57275D6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019324,Poltekkes Kemenkes Tasikmalaya,70019324,Jl. Cilolohan No. 35 Tasikmalaya,CIHERANG,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,0265 - 338939,0265 - 340186,direktorat@poltekkestasikmalaya.ac.id,www.poltekkestasikmalaya.ac.id,-7.347927000000,108.232266000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77E68629-9512-4724-9D44-63F2E14B4725,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019749,Sekolah Tinggi Ilmu Adab dan Budaya Islam Riyadul 'Ulum,70019749,"Komplek Pesantren Riyadul 'Ulum Wadda'wah RW/RT 001/004 Condong Cibeureum, Kota",KOTABARU,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Nomor 299 Tahun 2019,22-05-2019,,,Silakan Upload SK,,,1.513.000 m2,1.,2.,,(0265) 7530630,(0265) 7530630,stiabi.riyadlululum@gmail.com &mail@stiabiru.ac.id,http,108.260220000000,-7.345280000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AFAEB34A-890F-4A45-B8F2-162A7E502C0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20238422,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,20238422,Jl Perintis Kemerdekaan No 200,SETIAJAYA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0312NIV1984,23-04-1984,,,Silakan Upload SK,,,8.635 m2,1.,2.,,(0265) 334228,(0265) 332878,stia.tasikmalaya@yahoo.co.id,www.stia-tasik.ac.id,-7.373829000000,108.211452000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
