prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE8933AE-9B64-4F90-90AC-9FDBBAD1A045,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016144,Akademi Bahasa Asing Alaska Padang,70016144,Khatib Sulaiman No 17,TELUK KABUNG SELATAN,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,155/M/KPT/2018,04-07-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,(0751)56138,(0751)54905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D91E14CE-1E9E-41BD-B7B8-073C3D77152F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304922,Akademi Ilmu Komunikasi Padang,10304922,Jend Sudirman No 18,BUNGUS TIMUR,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,015O1988,01-01-1988,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F90A1190-D063-404B-9EB3-20DA21810934,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016237,Akademi Kebidanan Alifah Padang,70016237,Komp Rs Dr Reksodiwiryo Jl Dr Wahidin No 1,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,341/E/O/2014,13-08-2014,,,Silakan Upload SK,,,0,,2.,,0751-28-197,0751-28-197,akbidalifah52b@gmail.com,www.akbidalifah.ac.id,-.914845000000,100.358976000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA6B5057-C9F2-481B-A66A-64C389790A88,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016381,Akademi Kebidanan Mitra Husada Padang,70016381,Jalan Khatib Sulaiman No 17,TELUK KABUNG SELATAN,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,110DO2007,19-07-2007,,,Silakan Upload SK,,,0,,2.,,0751 7056138,0751 7056138,akbid.mitrahusada@yahoo.com,www.akbidmitrahusada.ac.id,-.922252300000,100.358785300000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2535351-157D-4DC9-9753-CD32C6A172C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304926,Akademi Kebidanan Puteri Andalas,10304926,Jalan Andalas Baru No.7 Simpang Haru Padang,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,55DO2007,23-04-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,(0751)811738,,puteri.andalas@rocketmail.com,akbidputeriandalas.ac.id,-.944511000000,100.379030000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6696BC0A-9A19-49A2-8E30-D62371AC2D79,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016495,Akademi Keperawatan Aisyiyah Padang,70016495,Jl Gajah Mada Gang Kesehatan Kelurahan Gunung Pangilun,TELUK KABUNG SELATAN,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,155YAN.MEDUM1988,22-02-1988,,,Silakan Upload SK,,,0,,2.,,(0751) 7058667,(0751) 7058667,keperawatan.aisyiyah@yahoo.co.id,www.akperaisyiyahpadang.ac.id,-.913061000000,100.368088000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6B4F948-13E3-4FEB-A556-74384FEE772C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016550,Akademi Keperawatan Kesdam I/Bukit Barisan Padang,70016550,JLN. DR. WAHIDIN NO. 1 PADANG SUMBAR,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,241/D/O/2010,23-12-2010,,,Silakan Upload SK,,,0 m2,1.,2.,,0751 34204,0751 34204,akperkesdam.1bb_padang@yahoo.co.id,akperkesdam-padang.ac.id,-.950019000000,100.372201000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D3F6D8F-7EA9-4D5D-AC67-3BC1D8F08853,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304928,Akademi Keuangan Dan Perbankan Padang,10304928,Jalan Khatib Sulaiman,TELUK KABUNG SELATAN,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,425/KPT/I/2016,23-09-2016,,,Silakan Upload SK,,,11.000 m2,1.,2.,,,,,,-.915196000000,100.358268000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CBDC8D1B-B24B-4E28-A544-7649AAAC72EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304929,Akademi Koperasi Sumbar,10304929,Jalan Raya Lubuk Halum,TELUK KABUNG UTARA,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,153/M/KPT/2018,04-07-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang,Bungus Teluk Kabung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/405FA0E2-6988-4939-AD9A-234C6FD6EC67,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10304930,Akademi Manajemen Informatika & Komputer Jaya Nusa,10304930,Jalan Damar No 69 E,KEC. BUNGUS TELUK KABUNG,KOTA PADANG,PROV. SUMATERA BARAT,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,NO. 1828 DESEMBER 1992,28-12-1998,,,Silakan Upload SK,,,0 m2,1.,2.,,0751-33057,0751-28984,jayanusa@jayanusa.ac.id,www.jayanusa.ac.id,-.943439000000,100.354186000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
