prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B74EB804-09E9-47E8-A711-7164760EFB87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332136,Akademi Kebidanan Bakti Utama Pati,20332136,Jalan KI Ageng Selo 15 Blaru,PAKEM,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2511DT2007,23-08-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,-6.764006000000,111.039040000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56DD55D0-2111-491C-B848-0666C8B1E349,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332137,Akademi Kebidanan Duta Dharma Pati,20332137,JALAN RAYA PATI - KUDUS KM.6,BALEADI,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,115DO2005,30-08-2005,,,Silakan Upload SK,,,0,,2.,,0295 4191757,0295 4191757,akbid_dutadharma@yahoo.com,www.dutadharma.ac.id,-6.773946000000,110.994177000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13388642-9147-4C94-B429-A214408EE911,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016630,Akademi Keperawatan Pragolopati,70016630,Jl. Raya Banyuurip No 26 A Margorejo Pati,PORANG PARING,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,045/D/OT/2021,01-04-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,(0295) 385617,(0295) 385617,akperpragolopati123@gmail.com,www.akperpragolopati.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AD68FB7-557A-484E-B810-DE4EADA8C887,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20332138,Akademi Pertanian Pragolapati,20332138,,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/515AD5E9-1C91-4B7F-8017-6CEB1C79752F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018176,Institut Pesantren Mathaliul Falah Pati Jawa Tengah,70018176,,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,INDONESIA,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Nomor,25-09-2015,,,Silakan Upload SK,,,0 m2,1.,2.,,0295 4150081,0295 5501999,info@ipmafa.ac.id,www.ipmafa.ac.id,-6.596514000000,111.047936000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46BF3CF7-9B8C-4AC2-95B1-684E8A6408AA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019614,Sekolah Tinggi Agama Islam Syekh Jangkung,70019614,,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,9 tahun 2021,04-01-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,staisyekhjangkung@gmail.com,www.staisyekhjangkung.ac.id,-6.890076500000,110.984702100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45108BA1-03E4-4F7E-8018-0ADEA823DE12,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019788,Sekolah Tinggi Ilmu Budaya Islam Syekh Jangkung Pati,70019788,"Jalan Kayen Sukolilo KM.01 Desa Kayen, Kecamatan Kayen, Kabupaten Pati, Provinsi",PAKEM,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Nomor,01-02-2016,,,Silakan Upload SK,,,0 m2,1.,2.,,,,stibisyekhjangkung@gmail.com,stibisyekhjangkung.ac.id,-6.890000600000,110.984702100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80926EB9-5E6D-4F2E-8846-258FA4208264,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019988,Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati,70019988,,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,894/KPT/I/2018,16-10-2018,,,Silakan Upload SK,,,6.044 m2,1.,2.,,(0295) 382585,(0295) 382584,info@stikesbup.ac.id,www.stikesbup.ac.id,-6.763680100000,111.038298000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF8424AB-6787-4CB6-85BF-8B7046C7ECC6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020322,Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Utama,70020322,,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,153/E/O/2021,20-04-2021,,,Silakan Upload SK,,,12,,2.,,,,stimiktrigunautamapati@gmail.com,stmiktrigunapati.ac.id,-6.645680200000,111.060491000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Tengah,Kab. Pati,Sukolilo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/533CFE0B-F399-4120-86D4-26171DCDC5B4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021017,STAI Mathali`ul Falah Kajen Margoyoso Pati,70021017,Jl. Raya Pati-Tayu KM 20 Purworejo Margoyoso Pati Jawa Tengah 59154,PAKEM,KEC. SUKOLILO,KAB. PATI,PROV. JAWA TENGAH,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,Dj.I/302/2008,04-09-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,0295-4150081,0295-5501999,info@ipmafa.ac.id,ipmafa.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
