prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3929AA95-4774-4655-BE90-DF6E7F8C8923,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107945,Akademi Akuntansi Bentara Indonesia,20107945,Jl Perdatam Terusan No 4 Ulu  Jami,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,170/M/KPT/2017,19-04-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C6CB850F-C884-4383-BB5C-B562B1DB6D6D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016110,Akademi Akuntansi Nasional Jakarta,70016110,Jalan Sawo Manila Pejaten Pasar Minggu,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,37,07-08-1993,,,Silakan Upload SK,,,0 m2,1.,2.,,78833308,78833308,aan@unas.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B12B5347-5E6E-4130-8D7C-DFFEBB16D0E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016116,Akademi Akuntansi Syafa at Indonesia,70016116,Jalan Kebagusan Dalam I No 4 Pasar Minggu,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0364/O/1990,23-05-1990,,,Silakan Upload SK,,,0 m2,1.,2.,,,7805261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9ACB385B-B9CE-41B5-8D7B-37A6FF7B1D78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016153,Akademi Bahasa Asing Nasional Jakarta,70016153,Jalan Sawo Manila Pejaten Pasar Minggu,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,39 TAHUN 1999,23-02-1999,,,Silakan Upload SK,,,0 m2,1.,2.,,7802718-7802719,7828020,info@unas.ac.id,www.unas.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0BB41477-06B9-45B1-ADB5-AE786CBEE3D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016168,Akademi Bakti Kemanusiaan Palang Merah Indonesia,70016168,,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,147/KPT/I/2015,04-12-2015,,,Silakan Upload SK,,,0 m2,1.,2.,,,,abkpmi.jakarta@gmail.com,www.abkpmi.ac.id,10.630154200000,115.142002800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D74209A-6CFA-4747-826C-D3A5F518B7A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016176,Akademi Farmasi Bhumi Husada,70016176,Jalan Fatmawati Raya No. 7 Cilandak Jakarta Selatan,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,2,06-02-1998,,,Silakan Upload SK,,,1.600 m2,1.,2.,,021-22821599,021-22821599,akfarbhumihusada@yahoo.com,www.akfarbhumihusada.ac.id,.447621200000,114.531253700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56C4B29A-095B-49D3-9BA8-752777A36394,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107949,Akademi Kebidanan Bhakti Pertiwi Indonesia,20107949,Jalan Jeruk Raya No 15 Jagakarsa,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,186DT2005,13-01-2005,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED21334A-349B-4648-9148-2651B7FF079D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016275,Akademi Kebidanan Bhinneka Jakarta Satu,70016275,Jalan Tanjung Barat Raya No. 1 Jagakarsa Jakarta Selatan,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,80/M/KPT/2019,08-03-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,021-78845803,021-78845803,akbidbijak07@yahoo.com,www.akbid-bjs.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B281CBCA-3507-4DF2-8F77-4CB391411282,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016349,Akademi Kebidanan Kartini Jakarta,70016349,Jakarta,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,83DO2009,17-06-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,021 727 92292,021 722 4216,contact@akbidkartinijkt.ac.id dan akbid.kartini@gmail.com,akbidkartinijkt.ac.id,-6.238224700000,106.770370000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Jagakarsa,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/11BFEAFC-4067-40C3-A18A-3E7881527322,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107720,Akademi Kebidanan Keris Husada,20107720,Jalan Yos Sudarso Komplek Marinir Cilandak,JAGAKARSA,KEC. JAGAKARSA,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,209D02001,28-09-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,021-78845502,021-78845502,info@akbidkerishusada.ac.id,www.akbidkerishusada.ac.id,-6.303997500000,106.812496500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
