prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/085BF1A7-FDA3-48AE-91B5-3E90872DAC2F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580049,MAS PERTANIAN,20580049,JALAN SRI REJEKI NO. 23 KOTA MADIUN,SUKOSARI,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Wm.06.04/PP.03.02/3372/SKP/1998,29-09-1999,Kw.13.4/4/PP.00.6/821/2010,01-07-2010,Lihat SK Operasional,2016-01-20 08,B,0,,2.,,,,,,-7.617900000000,111.536000000000,0,25,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80A24B9A-DFD6-E111-BC6C-8B03D600F6EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534108,SLB B-C Dharma Wanita,20534108,Jl.Kresno 10,ORO ORO OMBO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Bhakti Dharma Wanita,AI7416,19,09-07-1982,421.8/3305.58/101.4/2020,03-07-2020,Lihat SK Operasional,2020-09-03 12,B,"1,400",,2.,,,0351452477,dharma_wanitaae@yahoo.com,,-7.626600000000,111.527700000000,9,23,19,16,,,2022/2023-2,,41,0,1,2,4,0,7,0,5,0,0,4,7,2,0,9,0,2,0,2,0,1,0,4,1,8,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,1,1,0,1,1,1,2,2,2,2,2,1,,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7EBDCE6-C993-4E58-9FC0-3B43F7B1D5C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534106,SMAS COKROAMINOTO MADIUN,20534106,JL. JEND. SUDIRMAN15 B,KARTOHARJO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan COKROAMINOTO,AI7427,29,27-04-1955,421.3/4808/103.04/2009,04-08-2009,Lihat SK Operasional,2015-11-02 06,B,"2,322",1. Telkomsel Flash,2. Telkom Speedy,PLN,,463105,sma_cokro_mdn@yahoo.co.id,,-7.631900000000,111.527300000000,8,12,3,5,Sehari Penuh/5 hari,,2022/2023-2,"2,600",6,4,1,4,1,0,9,1,7,0,1,0,4,4,0,8,0,2,1,0,2,0,1,2,3,5,,SMA 2013 IPS,,,,,,,,,,2,2,1,Telkomsel Flash,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2F28E9B-E18D-4509-8A79-465FB49D4502,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534105,SMAS MUHAMMADIYAH 1 MADIUN,20534105,JL. MASTRIP 18 MADIUN,KLEGEN,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Timur,AB4667,E-5/133-IX/1988,12-09-1988,228/18.02.10/02/VII/2022,06-07-2022,Lihat SK Operasional,2022-07-28 08,B,"1,303",1. Smartfren,2. Biznet (Serat Optik),PLN,,452316,smam.1mako@gmail.com,,-7.632500000000,111.532200000000,11,36,39,6,Sehari Penuh/5 hari,,2022/2023-2,"9,000",6,2,1,2,0,0,15,0,11,0,0,0,6,5,0,11,0,4,2,1,1,0,2,1,2,9,,SMA 2013 Bhs&Budaya,,,,,,,,,,2,2,2,Smartfren,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D3682CD-D20B-4706-97A2-5FFB69CC5379,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534115,SMAS PSM KOTA MADIUN,20534115,JL. Panglima Sudirman 90 B Kec. Kartoharjo Kota Madiun,KARTOHARJO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPI PSM Cabang Kota Madiun,AI7457,876/ 1042.1/ T4.80,08-02-2010,318/18.02.10/02/IX/2022,06-09-2022,Lihat SK Operasional,2023-02-15 14,B,0,1. Telkomsel Flash,2. Telkom Astinet,PLN,,0351452884,smapsm_madiun@yahoo.com,,-7.630500000000,111.522800000000,9,12,5,3,Sehari Penuh/5 hari,,2022/2023-2,"3,200",3,5,1,2,1,0,10,0,8,0,1,0,4,5,1,7,1,3,0,1,0,2,0,3,2,7,,SMA 2013 MIPA,,,,,,,,,,1,1,1,Telkomsel Flash,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F1CEF17-892E-4FF6-B910-2577BB72466F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534127,SMAS TAMAN BAKTI MADIUN,20534127,JL.  JENDRAL  SUDIRMAN NO.8,KARTOHARJO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan LP MA'ARIF NU,AO0626,1577/I04.2.1/T4.82/P,21-09-1982,P2T/730/19.03/01/V/2019,22-12-2018,Lihat SK Operasional,2020-08-26 18,B,"10,011",1. Smartfren,2. Biznet (Kabel),PLN,,0351451930,smatbmadiun@gmail.com,,-7.631800000000,111.528000000000,11,13,6,3,Sehari Penuh/5 hari,,2022/2023-2,"5,500",3,1,1,1,1,0,14,0,10,0,0,1,6,5,0,9,2,4,3,1,1,0,0,2,4,7,,SMA 2013 IPS,,,,,,,,,,1,1,1,Smartfren,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A23BF8B5-762C-4D9B-B3D6-DC1AB85E9768,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534126,SMAS TAMAN MADYA,20534126,JL. KALIMANTAN NO.1 MADIUN,KARTOHARJO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Persatuan Perguruan Tamansiswa Cabang Madiun,AO0621,112/PA/PMU/7610/76,29-05-1976,421.5/3987/401.104/2016,05-10-2016,Lihat SK Operasional,2019-04-08 10,C,602,,2.,,,463209,tamsis2020@gmail.com,,-7.627100000000,111.523100000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SMA 2013 MIPA,,,,,,,,,,,,,,
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB22E07E-C54E-4679-87C4-1BB23B493978,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534179,SMKN 1 MADIUN,20534179,JL. M.H THAMRIN 1 MADIUN,ORO ORO OMBO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,1556/B.3/Kedj.,,1556/B.3/Kedj.,,Silakan Upload SK,,A,"27,490",1. -,2. Biznet (Serat Optik),PLN,0351464093,0351462833,kantor@smkn1madiun.sch.id,http,-7.624800000000,111.533800000000,113,"1,759",100,54,Sehari Penuh/5 hari,,2022/2023-2,"13,000",50,2,1,11,109,1,1,2,6,2,88,17,107,6,0,110,3,1,3,6,15,23,31,34,65,48,,SMK 2013 REV. Desain Pemodelan dan Informasi Bangunan,,,,,,,,,,18,18,18,Tidak Ada,0
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A1FD662-ECA1-4EEE-87C9-43A8ACABF718,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69765102,SMKS CENDEKIA,69765102,Jl. Letkol Samsudin No. 22-24,KANIGORO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Jawa Timur,AB4825,420.401.104/969/2012,03-03-2012,19.08/1542/02/VII/2020,30-05-2020,Silakan Upload SK (link file tidak valid) => [373475-598119--],2020-09-11 07,B,0,1. -,2. Telkom Speedy,PLN,,03512811862,smkcendekiamdn@yahoo.co.id,http,-7.637100000000,111.542200000000,6,71,63,7,Sehari Penuh/5 hari,,2022/2023-2,"23,000",7,0,1,2,0,0,8,1,6,0,0,0,3,3,0,6,0,0,3,1,2,0,0,0,2,4,,SMK 2013 REV. Multimedia,,,,,,,,,,2,2,3,Tidak Ada,0
Jawa Timur,Kota Madiun,Kartoharjo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00E5B3B4-B452-4A6C-A355-C5D847106DD1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20534151,SMKS COKROAMINOTO 1 MADIUN,20534151,JL. JEND. SUDIRMAN 15 B,KARTOHARJO,KEC. KARTOHARJO,KOTA MADIUN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPI COKROAMINOTO MADIUN,AI7434,630/34.B/1988,16-07-1988,19.08/1602/02/IX/2020,07-09-2020,Lihat SK Operasional,2021-02-16 11,B,"1,200",1. Jardiknas,2. Telkom Speedy,PLN,,0351468855,cokro1@ymail.com,,-7.631900000000,111.527300000000,9,5,29,3,Sehari Penuh/5 hari,,2022/2023-2,"3,000",3,0,1,1,1,0,10,0,8,0,1,0,7,2,0,9,0,0,0,1,0,0,3,5,5,4,,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,,,,,,,,,,1,1,1,Jardiknas,0
