prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77618B6B-763B-45C8-92BE-57DC10817F4B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320477,MAS MUHAMMADIYAH CAB. MAMAJANG,40320477,JL. Dr. SAM RATULANGI NO.101 MAKASSAR,LABUANG BAJI,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,MA,Kementerian Agama,,,Nomor 866Tahun 2019,31-07-2019,Nomor 866Tahun 2019,31-07-2019,Silakan Upload SK (link file tidak valid) => [538909-200019--],2021-11-08 01,B,0,,2.,,,,,,-5.163700000000,119.418800000000,0,18,28,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BDDF1CF-6557-44D0-AFC5-2E18A355ED49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70012186,SLB AUTIS HARAPAN ANAK MANDIRI,70012186,Jl. Tupai No. 127,MAMAJANG DALAM,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN HARAPAN ANAK MANDIRI SULAWESI SELATAN,AX2978,1/K.10/PTSP/2021,10-05-2021,1/K.10/PTSP/2021,10-05-2021,Lihat SK Operasional,2021-08-19 20,,0,,2.,,,,,,.000000000000,.000000000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/368B767C-1D5C-4177-AF23-7A5A3688AD02,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69952491,SLB PELITA MANDIRI,69952491,JL. ONTA LAMA NO 37 A,MAMAJANG LUAR,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan SLB PELITA MANDIRI,AM4303,188.4/PD4/1472/2013,08-11-2013,2/K.10a/PTSP/2020,08-11-2013,Lihat SK Operasional,2022-04-25 12,B,930,1. Telkom Speedy,2. Lainnya (Wavelan),PLN,,,slbpelitamandiri@gmail.com,http,-5.164300000000,119.420000000000,10,35,14,11,Sehari Penuh/5 hari,,2022/2023-2,"1,700",6,1,1,1,0,0,11,1,10,0,0,0,1,9,0,7,3,1,3,4,1,1,0,0,4,6,"SDLB, SMPLB,  dan SMLB",1,1,1,1,1,1,1,1,1,0,1,1,Pendidikan Khusus SMALB 2013,Telkom Speedy,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C654E74A-A44A-449F-B277-95B6FED1EAD3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311889,SMAN 2 MAKASSAR,40311889,JL. BAJI GAU NO. 17,BAJI MAPPAKASUNGGU,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,4242/B/VIII/1957,01-08-1957,421.3/0469/DPK/I/2016,27-01-2016,Silakan Upload SK (link file tidak valid) => [413236-652598--],2021-01-25 17,A,"5,625",1. Lainnya (Kabel),2. Telkom Speedy,PLN,0411850469,,mail@sman2mks.com,http,-5.169500000000,119.412600000000,66,426,652,30,Sehari Penuh/5 hari,,2022/2023-2,"72,000",30,3,1,2,32,11,2,21,35,0,8,23,42,24,0,58,8,19,11,4,2,7,9,14,26,40,,,,,,,,,,,10,10,10,SMA 2013 Bhs&Budaya,Lainnya (Kabel),
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/517A0485-5122-426A-BA6B-B0F9E1AF02CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311891,SMAN 3 MAKASSAR,40311891,JL. BAJI ARENG NO. 18 MAKASSAR,BAJI MAPPAKASUNGGU,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"4,108",1. -,2. Lainnya (Serat Optik),PLN,0411857470,0411854159,sman3mks@yahoo.co.id,http,-5.168700000000,119.413100000000,52,423,540,28,Sehari Penuh/5 hari,,2022/2023-2,"73,700",61,5,1,2,28,5,1,18,25,0,7,20,29,23,0,43,9,16,7,2,4,0,9,14,18,34,,,,,,,,,,,10,9,9,SMA 2013 IPS,Tidak Ada,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1D88123-A47A-44D9-9C44-1A6B916E6AF7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40310216,SMAS KHADIJAH,40310216,JL. BAJI GAU,MAMAJANG DALAM,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Masjid Khadijah,AO3787,,,,,Silakan Upload SK,,C,"1,392",1. Lainnya,2. Lainnya,PLN,,,smaswastakhadijahmakassar@yahoo.com,,-5.170700000000,119.413500000000,14,12,4,3,Sehari Penuh/5 hari,,2022/2023-2,900,4,1,1,2,2,0,11,4,12,0,1,1,2,12,0,14,0,4,3,3,2,0,0,2,2,12,,,,,,,,,,,1,1,1,SMA 2013 IPS,Lainnya,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA886083-6F07-498E-B1FC-DB20B9A03EC1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311942,SMAS LPP YBW UMI MAKASSAR,40311942,JL. KAKATUA II NO. 28 MAKASSAR,PABATANG,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Wakaf UMI,AM4313,018/C/Kep/I 83,02-01-1983,421.3/6478/S.KEP/DPK/X/2016,26-10-2016,Silakan Upload SK (link file tidak valid) => [386954-209476--],2020-10-06 13,B,203,1. Telkomsel Flash,2. Telkom Speedy,PLN,,856373,smalppumi@gmail.com,http,-5.162900000000,119.415500000000,19,36,33,5,Sehari Penuh/5 hari,,2022/2023-2,"2,298",6,3,1,2,1,0,21,2,18,0,1,0,9,10,0,19,0,5,0,5,2,1,3,3,10,9,,,,,,,,,,,1,2,2,SMA 2013 IPS,Telkomsel Flash,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DD9E776D-2B11-4532-B9EA-24DD19E02A68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311943,SMAS MAKASSAR RAYA,40311943,JL. CENDERAWASIH NO. 422,TAMPARANG KEKE,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN MAKASSAR RAYA,AM4295,216,31-03-1982,04/K.02a/PTSP/2020,02-09-2020,Lihat SK Operasional,2020-09-08 10,B,0,1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,,850645,SMA_MAKASSAR_RAYA@yahoo.co.id,http,-5.170200000000,119.409300000000,23,105,80,9,Pagi/6 hari,,2022/2023-2,"2,300",10,1,0,2,9,1,9,6,11,0,5,7,14,9,0,18,5,3,4,2,2,1,2,9,8,15,,,,,,,,,,,3,3,3,SMA 2013 MIPA,Telkom Speedy,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64711C05-D9BD-4A5D-AF8A-85ABFFA75305,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311946,SMAS MUHAMMADIYAH MAKASSAR,40311946,JL. ANDI MAPPAODDANG NO 17 A,LABUANG BAJI,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Sulawesi Selatan,AO5362,018/c/kep/i.83,23-02-1983,421.3/7428/dpk/xii/2016,01-12-2016,Lihat SK Operasional,2020-08-24 19,B,"2,040",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0411856169,smamuhdis@yahoo.co.id,http,-5.200800000000,119.403700000000,17,39,31,6,Pagi/6 hari,,2022/2023-2,"5,500",6,5,1,2,5,0,8,4,13,0,2,2,7,10,0,16,1,1,1,5,2,3,0,5,8,9,,,,,,,,,,,2,2,2,SMA 2013 IPS,Telkomsel Flash,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E420F16-19AE-4D9A-9094-7AEBE6B312F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311955,SMAS SATRIA MAKASSAR,40311955,JL. VETERAN SELATAN NO. 316,MAMAJANG DALAM,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN MOCHAMMAD NATZIR MAKASSAR,AM4294,163/KEP/I06/PM/011/85,18-09-1985,421.3/7174/DPK/XI/2016,21-11-2016,Lihat SK Operasional,2016-11-24 08,B,"3,500",,2.,,,854717,smasatriamakassar@gmail.com,,-5.163200000000,119.420800000000,13,0,0,0,,,2022/2023-2,,0,0,0,0,2,1,9,2,11,0,2,0,5,8,0,11,2,1,5,2,0,2,1,2,3,10,,,,,,,,,,,,,,SMA 2013 MIPA,,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D3BA9AA-F0A5-49ED-BBB7-FD79AE0CC034,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311959,SMAS YP PGRI 1 MAKASSAR,40311959,JL. SINGA NO. 2,BONTO BIRAENG,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP  PGRI  Kota Makassar,AM4288,007/SK/YP.PGRI/V/1971,01-05-1971,421.3/6037/S.KEP.DPK/X/2016,05-10-2016,Lihat SK Operasional,2020-08-24 19,B,"1,500",1. Telkomsel Flash,2. Telkom Speedy,PLN,,878586,sma_yppgri@yahoo.co.id,,-5.114400000000,119.410100000000,15,174,94,6,Siang/6 hari,,2022/2023-2,"50,000",7,1,1,2,3,2,10,2,12,0,0,3,9,6,0,15,0,1,2,2,1,2,3,4,8,7,,,,,,,,,,,2,2,2,SMA 2013 MIPA,Telkomsel Flash,
Sulawesi Selatan,Kota Makassar,Mamajang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DEF293AE-2E1E-4AFA-BF2F-3A3D255D217C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313885,SMAS YP PGRI 2 MAKASSAR,40313885,JL. VETERAN SELATAN LR. 241,BONTO LEBANG,KEC. MAMAJANG,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP  PGRI  Kota Makassar,AM4288,5,09-01-2015,27/K.02a/PTSP/2021,12-04-2021,Lihat SK Operasional,2021-09-10 04,B,"14,000",1. -,2. Lainnya (Serat Optik),PLN,,875178,smayp_pgri2mks@yahoo.co.id,http,-5.175200000000,119.444600000000,16,102,61,6,Siang/6 hari,,2022/2023-2,"10,000",13,1,1,0,2,1,13,3,13,0,0,3,10,6,0,13,3,0,2,4,5,0,2,3,8,8,,,,,,,,,,,2,2,2,SMA 2013 MIPA,Tidak Ada,
