prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C485AC20-FFE3-4FB6-AE5D-E747C46C630C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280213,MAS AL-HOLILIYAH,20280213,Jl. Pelabuhan Jayanti Km.01,CIDAMAR,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/I/PP.006/3388/1988,08-06-1987,Wi/I/PP.006/3388/1988,07-09-1988,Lihat SK Operasional,2021-03-04 19,A,0,,2.,,,,,,-7.488500000000,107.356600000000,0,126,181,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE1E2BA7-DD4B-4C65-B4DF-43455DD7D30C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70006946,MAS BINA NUSANTARA CIDAUN,70006946,JL. MARGALUYU RT 01 RW 08,CIDAMAR,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan Bina Nusantara Cidaun,AX0985,0045.1/002/SKP-MA BINUS/VII/2020,23-11-2019,0045/IPM/2020,14-07-2020,Lihat SK Operasional,2021-03-04 10,,"2,900",,2.,,,,,,-7.480800000000,107.388600000000,0,46,41,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E928079E-6C6C-41A0-9FE5-0D37B7D0C4C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955672,MAS Tanwirul Amin,69955672,Jl. Puncak Cibaneng Km.21 Cidaun Cianjur,KARYABAKTI,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,362 TAHUN 2016,20-06-2016,0106/SPM/2016,20-06-2016,Lihat SK Operasional,2022-07-22 06,B,0,,2.,,,,,,.000000000000,.000000000000,0,73,57,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27D76290-4273-4E71-BDE8-72144E9F4DDC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69899009,SMA BUDI BAKTI 2,69899009,KP.Gabungan Ds.Mekarjaya,MEKARJAYA,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN BANI MUQODDAS,AJ6746,003/BM.SK/II/2015,01-03-2015,421.5/64b/bid.sma-smk/kab,16-01-2015,Lihat SK Operasional,2015-07-08 14,C,"2,100",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smabudibakti2@gmail.com,,-7.301500000000,107.443800000000,6,110,98,6,Pagi/6 hari,,2022/2023-2,"1,300",7,0,0,2,0,0,8,1,6,0,0,0,1,5,0,3,3,0,1,3,1,0,1,0,4,2,SMA 2013 IPS,Telkomsel Flash,1,2,3,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8858308D-30D8-46C0-9DA6-AD7E408FF996,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978248,SMA HISHNUS SALAM,69978248,Kp. Awilega RT. 04 RW. 04,GELARWANGI,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.5/1873a/Bid.SMA-SMK/Kab.2016,25-10-2016,421.5/1873a/Bid.SMA-SMK/Kab.2016,25-10-2016,Silakan Upload SK (link file tidak valid) => [545139-937865--],2021-11-22 00,C,"5,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smahishnussalam001@gmail.com,,-7.362574000000,107.461889000000,8,119,137,7,Pagi/6 hari,,2022/2023-2,"1,300",9,1,1,2,0,0,10,0,8,0,0,0,0,8,0,8,0,1,6,0,0,1,0,0,6,2,SMA 2013 IPS,Telkomsel Flash,2,3,2,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90521F35-F377-41AC-98C1-10395EFCA3CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856264,SMA PLUS BAHRUL ULUM,69856264,Jl. Situwangi KM.1,KARANGWANGI,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN TULATEN WIDYAKARYA,AJ6752,421.3/03/YTW.I/2013,27-01-2013,421.5/1238/Bid.SMA-SMK/Kab/2014,01-05-2014,Lihat SK Operasional,2021-09-22 08,B,0,1. Indosat IM3,2. Telkomsel Flash,PLN,021,,smapbahrululum@gmail.com,http,-7.473600000000,107.409800000000,11,46,57,3,Pagi/6 hari,,2022/2023-2,"1,300",3,0,0,1,0,0,12,3,11,0,0,0,3,8,0,7,4,3,3,3,1,0,1,0,5,6,SMA 2013 IPS,Indosat IM3,1,1,1,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29A52943-D633-4C15-8240-30EC1E7CF393,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972894,SMA SULTAN GIRI,69972894,Kp. Sinarlaut,NEGLASARI,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.5/516a/Bid.SMA-SMK/Kab/2016,16-03-2016,421.5/516a/Bid.SMA-SMK/Kab/2016,16-03-2016,Lihat SK Operasional,2023-02-03 07,B,"6,650",1. -,2. -,PLN,,,smasultangiri@gmail.com,http,-7.658700000000,107.420500000000,5,100,103,6,Sehari Penuh/3 hari,,2022/2023-2,"1,200",8,1,1,2,0,0,5,1,5,0,0,0,0,5,0,3,2,0,1,1,2,0,1,0,3,2,SMA 2013 IPS,Tidak Ada,1,3,2,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8DADA27-148A-4FD0-BF78-58ADCFAA764E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69946712,SMA TARBIYATUL ISLAM,69946712,Jl. Partadimaja No. 02 Rt/Rw 01/01,KERTAJADI,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN BANI SULAEMAN MAR'ADIWIDJAYA,AJ6767,010/Y-BSM/II/2015,08-02-2015,421.5/485.a/Bid.SMA-SMK/K,21-03-2016,Lihat SK Operasional,2016-07-29 23,C,"6,525",1. Telkom Speedy,2. Indosat IM3,PLN,,,smatarbiyatulislam@gmail.com,http,-7.488300000000,107.347600000000,14,116,74,6,Pagi/6 hari,,2022/2023-2,"1,200",7,0,1,2,0,0,10,6,14,0,0,0,1,13,0,7,7,4,4,3,1,1,1,0,9,5,SMA 2013 IPS,Telkom Speedy,1,2,3,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/040A636D-1C7C-45E8-B76F-A1A0375626CA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786634,SMAS PGRI CIDAUN,69786634,Jl. Patriot No.10 Desa Cimaragang,CIMARAGANG,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Jawa Barat,AA1655,13/YPLP-DM.PGRI/SKEP/1.13,03-05-2013,421.5/1611.a/Bid.SMA-SMA/Kab/2013,30-09-2013,Lihat SK Operasional,2019-12-19 09,,"8,900",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smapgricdn@gmail.com,http,-7.408300000000,107.423500000000,10,120,101,7,Pagi/6 hari,,2022/2023-2,"1,200",7,0,1,2,0,0,8,4,10,0,0,0,1,9,1,8,1,2,5,2,1,0,0,0,7,3,SMA 2013 IPS,Telkomsel Flash,2,3,2,
Jawa Barat,Kab. Cianjur,Cidaun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/91328086-A605-47FB-AF76-AD6836F79C07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20258552,SMAS RAUDATUL ISLAM,20258552,JL. RAYA SINDANG BARANG KM.11.8,SUKAPURA,KEC. CIDAUN,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,02/YPI-RI/SK/V/2004,01-05-2004,421.1/906/DIKMEN/KAB/2005,23-05-2005,Lihat SK Operasional,2020-08-24 19,B,"1,500,000",1. Indosat IM3,2. Indosat IM3,PLN,,,sma.raudatulislam@gmail.com,http,-7.480500000000,107.225800000000,11,87,120,7,Siang/6 hari,,2022/2023-2,"1,200",8,1,1,0,0,0,10,3,11,0,0,0,1,10,0,11,0,2,5,2,0,0,1,1,6,5,SMA 2013 IPS,Indosat IM3,2,2,3,
