prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5F90372-6C22-4EFA-995C-F46CA3541C23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60725019,MAN 22 JAKARTA,60725019,Jl. H. Junaedi No. 104,PALMERAH,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,KMA Nomor 93 Tahun 2009,19-06-2009,KMA Nomor 93 Tahun 2009,19-06-2009,Lihat SK Operasional,2016-12-15 13,A,0,,2.,,,,,,-6.198000000000,106.790800000000,0,235,425,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6C1D95DB-7CED-4398-A68E-29B65524E746,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69892372,SLB MATAHATI,69892372,Jl. Olahraga 6 No.4 Komplek Depdiknas Kemanggisan,KEMANGGISAN,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Anak Spesial Matahati,AG3625,12431/-1.851.232,09-12-2014,12431/-1.851.232,09-12-2014,Lihat SK Operasional,2018-06-04 11,Tidak Terakreditasi,0,,2.,,02122121237,02122121237,yas.matahati@yahoo.com,http,-6.197187000000,106.792556000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9033A696-2BF5-E011-A0A3-DB5C50FF1544,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20112403,SLB NEGERI 5 JAKARTA,20112403,Jl. KS. Tubun III Dalam RT. 002/002 No. 37,SLIPI,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1359,18-09-2007,1359/2007,18-09-2007,Silakan Upload SK,,A,792,1.,2.,PLN,,,,,-6.193900000000,106.801400000000,37,110,84,34,Sehari Penuh/5 hari,,2022/2023-2,"12,500",0,0,1,0,22,8,0,7,27,1,8,1,25,12,0,35,2,14,7,4,1,3,4,4,11,26,"SDLB, SMPLB,  dan SMLB",2,3,4,5,5,1,1,3,3,3,2,2,Pendidikan Khusus SMALB 2013,Tidak Ada,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9037B1CD-23A7-E211-8CD2-8B0C4381547A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69758126,SLB TALENTA,69758126,"Jl. Perjuangan No. 1B, Kebon Jeruk, Kebon Jeruk",KEMANGGISAN,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Peduli Anak Spesial,AD1843,545.1/C6/LL/2007,03-05-2007,13063/-1.851.232,05-03-2014,Lihat SK Operasional,2023-03-09 14,C,0,1. Indosat IM3,2. Lainnya (Wavelan),PLN,22123845,22123845,sekolah.talenta.jakarta@gmail.com,http,-6.193400000000,106.763200000000,7,8,2,6,Sehari Penuh/5 hari,,2022/2023-2,"11,000",9,0,1,1,0,0,4,5,7,0,0,0,2,5,0,6,1,0,2,1,1,1,1,1,5,2,"SDLB, SMPLB,  dan SMLB",0,0,0,1,1,1,0,0,1,0,1,1,Pendidikan Khusus SMALB 2013,Indosat IM3,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/729B9FF2-F7D8-4E9E-BDBB-13E0951D3A1B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20101625,SMAN 16 JAKARTA,20101625,JL. BELIBIS TERUSAN NO. 16,PALMERAH,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,F.013/SET/SMAN16/Ged/m/73,,,,Silakan Upload SK,,A,"5,520",1. Lainnya (Serat Optik),2. Telkom Astinet,PLN,0215357928,0215320137,sman16jkt@gmail.com,http,-6.193300000000,106.786200000000,43,394,386,21,Sehari Penuh/5 hari,,2022/2023-2,"100,000",21,4,1,2,26,12,0,5,27,1,8,7,27,16,0,41,2,3,5,2,9,4,10,10,16,27,,,,,,,,,,,7,7,7,SMA 2013 IPS,Lainnya (Serat Optik),
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29157C41-5870-4199-9656-A9853CF08407,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20101588,SMAN 78 JAKARTA,20101588,JL. BHAKTI IV/1  RT.001 RW.009 KOMP. PAJAK,KEMANGGISAN,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,D.15.5/I/3.37,01-01-1901,D.15.5/I/3.37,01-01-1900,Lihat SK Operasional,2015-04-27 08,A,"10,488",1. Telkom Astinet,2. Biznet (Serat Optik),PLN,0215482914,0215482914,sman78-jkt@sman78-jkt.sch.id,http,-6.191500000000,106.782800000000,62,517,706,33,Sehari Penuh/5 hari,,2022/2023-2,"66,000",32,5,1,5,42,9,0,11,31,0,19,12,38,24,0,59,3,8,5,4,7,12,9,17,32,30,,,,,,,,,,,11,11,11,SMA 2013 MIPA,Telkom Astinet,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BDE37CEE-4CEC-448A-B7C0-3FFBB8F1D149,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20101173,SMAS 1 BARUNAWATI,20101173,JL. X -III AIPDA KS TUBUN II - III NO. 7,SLIPI,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan SEKAR LAUT PELNI,AA0443,905A/101.A1/I/94,23-01-1989,2121/-1.851.68,20-03-2013,Silakan Upload SK (link file tidak valid) => [482599-64524--],2021-08-02 20,A,"62,270",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,5303083,5303083,sma_barunawati@yahoo.com,http,-6.192500000000,106.802200000000,19,246,246,14,Sehari Penuh/5 hari,,2022/2023-2,"33,000",14,3,1,2,0,0,15,7,19,0,0,0,9,10,0,16,3,8,1,3,1,3,2,1,8,11,,,,,,,,,,,5,5,4,SMA 2013 Bhs&Budaya,Lainnya (Serat Optik),
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31345023-A6FB-48F8-A59F-E8ACE1FA5CFF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20104417,SMAS JOSUA,20104417,Jl. Kota Bambu Utara II No. 08,KOTA BAMBU UTARA,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Josua,AA0451,23-,22-11-2012,010/1.10.0/31.73./1.851.6/2016,10-09-2015,Lihat SK Operasional,2020-08-24 19,B,"61,600",1. Firstmedia,2. Telkom Speedy,PLN,,0215638181,josua_school@yahoo.com,,-6.185500000000,106.807300000000,10,17,21,3,Pagi/6 hari,,2022/2023-2,"13,200",3,0,1,1,0,0,7,6,10,0,0,0,0,10,2,7,1,2,1,1,0,0,2,4,5,5,,,,,,,,,,,1,1,1,SMA 2013 IPS,Firstmedia,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C31296B-6AA1-49FF-9F7A-A3BB1D8A3843,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20104433,SMAS MUHAMMADIYAH 15,20104433,JL. ANGGREK NELI MURNI BC,KEMANGGISAN,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. D.K.I. Jakarta,AO5348,S.P.359/I.01-IA/I/1985,27-02-1985,SP.359/101.1A/I.85,27-02-1985,Lihat SK Operasional,2015-06-30 18,A,"1,536",1. -,2. Telkom Speedy,PLN,0215493058,5364464,smam15jkt@yahoo.com,http,-6.187000000000,106.795400000000,24,230,321,15,Sehari Penuh/5 hari,,2022/2023-2,"65,999",20,5,1,4,0,0,18,9,23,0,0,1,8,16,0,24,0,9,5,1,7,0,1,1,8,16,,,,,,,,,,,6,3,6,SMA 2013 Bhs&Budaya,Tidak Ada,
D.K.I. Jakarta,Kota Jakarta Barat,Palmerah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10812100-555C-4F8E-A132-FFBCF1C12F15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20101301,SMAS REGINA PACIS,20101301,JL. PALMERAH UTARA I,PALMERAH,KEC. PALMERAH,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ADIKARA NIAT,AO5870,AHU-0029950.AH.01.12/2022,25-11-2020,1512/-1.851.68/2022,26-02-2013,Lihat SK Operasional,2022-10-07 09,A,"8,400",1. Lainnya,2. CBN,PLN,5482746,5481662,sma_reginapacis_jakarta@yahoo.co.id,http,-6.201400000000,106.796900000000,20,83,108,7,Sehari Penuh/5 hari,,2022/2023-2,"23,000",12,4,1,8,0,0,19,6,20,0,0,0,10,10,0,17,3,4,5,1,2,1,2,5,9,11,,,,,,,,,,,2,2,3,SMA 2013 MIPA,Lainnya,
