prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D610656-607A-43A9-AF4D-C513A4DF5922,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10498808,MAN 1 PEKANBARU,10498808,JL. BANDENG NO,TENGKERANG TENGAH,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,17 Tahun 1978,16-03-1978,17 Tahun 1978,16-03-1978,Lihat SK Operasional,2022-06-06 15,A,0,,2.,,,,,,.500400000000,101.441400000000,0,508,582,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D6BC1D3C-FC40-46E1-B1DB-BDF03F938523,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10498811,MAS AL-MUJTAHADAH,10498811,JL HANDAYANI GG ROS NO 52,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,INDONESIA,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.493200000000,101.444700000000,0,19,15,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1CED4393-C03C-4F5B-809C-79CAD3A64D65,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10498809,MAS HASANAH,10498809,JL. CEMPEDAK NO. 37,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,INDONESIA,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,.471600000000,101.429400000000,0,33,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2ABFEE3B-6BD4-4F6B-9355-68F7CC006941,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10498810,MAS MIFTAHUL HIDAYAH,10498810,JL. HANDAYANI NO,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,INDONESIA,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.453942000000,101.441035000000,0,89,115,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/338F77E4-0069-4E8F-BFA7-2306E91E61D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69940053,SLB INSAN MUTIARA,69940053,JL. CENDANA/ADI SUCIPTO,SIDOMULYO TIMUR,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BINA INSAN MUTIARA,AK5538,Kpts/157,10-02-2016,Kpts/157,10-02-2016,Lihat SK Operasional,2016-03-25 21,B,918,1. Lainnya (Kabel),2. Telkom Speedy,PLN,,,insanmutiara0311@gmail.com,,.455349700000,101.439220200000,7,36,29,12,Sehari Penuh/5 hari,,2022/2023-2,"1,300",9,0,0,2,0,0,7,1,7,0,0,0,0,7,1,5,1,3,3,0,0,0,1,0,0,7,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Lainnya (Kabel),1,1,1,1,1,1,1,1,1,1,1,1,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0EA15B3-A8FC-E111-A40B-C3B557FCE17B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495039,SLB KASIH IBU,10495039,Jl. Kartama Gang. Baitul Muttaqin,MAHARATU,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Bina Kasih Ibu,AM1305,1,13-03-2009,420/PP.4/IV/2008/3371,11-04-2008,Lihat SK Operasional,2022-07-27 10,B,750,1. Smartfren,2. Smartfren,PLN,,,slbkasihibu2007@gmail.com,http,.442900000000,101.439500000000,10,79,58,18,Pagi/6 hari,,2022/2023-2,"1,300",14,0,1,2,0,0,11,0,10,0,0,0,1,9,1,8,1,6,0,0,1,2,0,1,1,9,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Smartfren,1,2,1,2,2,1,1,1,2,2,1,2,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A021A8F7-66EE-4A80-ADDC-22F63A267F0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69964829,SLB PELITA NUSA,69964829,Jl. Kaharuddin Nasution No. 178,MAHARATU,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN BINTANG PELITA NUSA,AK5545,503/DPMPTSP/Diksus/03,22-05-2017,503/DPMPTSP/Diksus/03,22-05-2017,Lihat SK Operasional,2017-08-03 17,B,0,1. -,2. Telkom Speedy,PLN,,07617876083,slbpelitanusa@gmail.com,http,.435100000000,101.445500000000,13,56,16,49,Pagi/6 hari,,2022/2023-2,"5,000",8,0,1,1,0,0,17,0,13,0,0,0,2,11,0,11,2,5,2,2,4,0,0,0,2,11,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,7,4,6,7,3,2,2,7,1,3,7,0,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E8AEEC90-FA6F-415A-A2D1-A72608C1F4EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036527,SMA - IT AL FIKRI ISLAMIC GREEN SCHOOL PEKANBARU,70036527,Jalan Kereta Api Ujung / Merak No.01,TENGKERANG TENGAH,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,800/Disdik/1.3/2022/15015,14-11-2022,503/DPMPTSP/IZIN-DIKMEN/8,18-11-2022,Lihat SK Operasional,2023-01-06 08,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9ACE8FA9-BF53-48F3-A874-AC6A495B1981,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69897198,SMA IT IMAM SYAFII 2,69897198,JL. SOEKARNO HATTA,MAHARATU,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN IMAM ASY-SYAFII CENDEKIA RIAU,AK5546,420/Bid.Dikmen.1/XII/2014,09-12-2014,,01-01-1900,Lihat SK Operasional,2016-04-26 14,A,"40,000",1. Lainnya,2. Telkom Speedy,PLN,,,imamsyafiisoekarnohatta@yahoo.com,http,.439400000000,101.423500000000,31,161,106,9,Sehari Penuh/5 hari,,2022/2023-2,"23,000",13,4,1,2,0,0,30,4,31,0,0,0,0,31,0,23,8,24,5,2,0,0,0,0,19,12,,SMA 2013 MIPA,Lainnya,,,,,,,,,,3,3,3,
Riau,Kota Pekanbaru,Marpoyan Damai,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E7E24459-058F-44AD-A324-6F548852571E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69878236,SMA IT INSAN UTAMA,69878236,JL. HANDAYANI II NO. 88,MAHARATU,KEC. MARPOYAN DAMAI,KOTA PEKANBARU,PROV. RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,420/Bid.Dikmen.1/IX/2014/,26-09-2014,,01-01-1900,Lihat SK Operasional,2014-12-04 10,,0,,2.,,,,smainsanutama15@yahoo.com,,.455294000000,101.439558000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
