prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6042A796-2BF5-E011-8519-CFE22C9F5B93,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20110818,SLB B & C CAHAYA JAYA,20110818,Jl. Raya Kelapa Hibrida Utara Rb. 15/1,PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Cahaya Jaya,AG3580,Kep.1036/Th.2006,07-01-1985,2804/1.851.932,06-10-2008,Silakan Upload SK,,B,0,1. -,2. Telkom Speedy,PLN,02145841534,02145841534,slbb.ccahayajaya@ymail.com,,-6.175200000000,106.925600000000,5,23,15,10,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"2,300",13,0,1,2,2,0,2,1,3,0,0,2,4,1,0,5,0,0,0,1,0,1,0,3,0,5,0,1,1,1,1,1,1,1,1,1,1,0,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/289CA8E2-3AC6-49DB-981A-DB7C637B5D20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977407,SMA BEACON ACADEMY,69977407,Jl. Pegangsaan Dua No.66 Rt.004 Rw.19,PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Beacon Education,AG3585,001/A.2/31.72.06/-1.851.2018,03-05-2018,001/A.2/31.72.06/-1.851.2018,03-05-2018,Lihat SK Operasional,2018-05-28 09,A,"15,000",1. Biznet (Serat Optik),2. Biznet (Serat Optik),PLN,4603490,4603480,info@beaconacademy.net,http,-6.165483000000,106.917785000000,9,42,45,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Biznet (Serat Optik),"55,000",3,6,2,4,0,0,8,2,9,0,0,0,0,9,1,6,2,0,0,0,7,1,1,0,3,6,,,,,,,,,,1,1,1,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/248A351B-E63A-46F9-BC75-FC15551EBE00,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100600,SMA ISLAM AL-AZHAR KELAPA GADING,20100600,Jl. Bulevar Timur,PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AL AZHAR KELAPA GADING,AG3549,2139/A2.1.2/KP/1997,01-11-2015,12885/-1.851.68,24-12-2019,Lihat SK Operasional,2015-11-23 16,A,"2,688",1. -,2. Lainnya (Serat Optik),PLN,0214532442,0214532440,smaialazka96@gmail.com,http,-6.163500000000,106.909700000000,33,266,196,15,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"105,000",17,3,1,2,0,0,36,4,33,0,0,0,13,20,0,26,7,15,3,3,4,1,6,1,13,20,,,,,,,,,,5,5,5,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D2ACC15-2750-49AD-AA66-AE8244C9CC0F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69968321,SMA JAC,69968321,"Jl. Pegangsaan Dua No. 75A, Rt. 3 Rw. 3",PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pengembangan Kreativitas,AH9931,203 tahun 2016,10-06-2016,1.851.6/2016,10-06-2016,Lihat SK Operasional,2016-06-28 09,A,0,1. Biznet (Serat Optik),2. Lainnya (Kabel),PLN,22860989,22860988,info@jacschool.com,http,-6.151700000000,106.915400000000,16,51,49,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Biznet (Serat Optik),"131,000",6,5,1,2,0,0,19,0,16,0,0,0,1,15,0,12,4,8,4,1,1,0,2,0,10,6,,,,,,,,,,2,2,2,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/98C22E8E-9CBD-4AF8-B879-8F2A8767355D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69975652,SMA Jakarta Taipei School,69975652,Jl. Raya Kelapa Hybrida Blok QH,KELAPA GADING BARAT,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2157/D/KEP/KP/2014,21-11-2014,2157/D/KEP/KP/2014,21-11-2014,Lihat SK Operasional,2018-05-14 15,B,"7,500",1. Telkom Speedy,2. Firstmedia,PLN,0214523272,0214523273,jts.principaloffice@gmail.com,http,-6.146300000000,106.905900000000,4,30,23,3,Taiwan curiculum,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"10,000",3,2,1,2,0,0,1,4,4,0,0,0,0,4,0,4,0,0,0,0,1,1,1,1,2,2,,,,,,,,,,1,1,1,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/718133A9-E220-4902-97E6-CF4908848CE4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20100604,SMA MAHATMA GADING,20100604,Jl. Boulevard BGR Komplek Villa Gading Indah Blok D,KELAPA GADING BARAT,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MAHATMA GADING,AH9932,14,01-01-1900,6132/-1.851.68,31-07-2013,Lihat SK Operasional,2021-08-18 13,A,0,1. XL (Serat Optik),2. XL (Serat Optik),PLN,45843561,45843591,sma@mahatmagading.sch.id,http,-6.167900000000,106.893700000000,24,47,55,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,XL (Serat Optik),"20,000",11,4,1,2,0,0,22,5,24,0,0,0,8,16,1,16,7,6,4,3,4,2,3,2,14,10,,,,,,,,,,2,2,2,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/647EB50E-8BE1-451C-87E3-10341650BA0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69889105,SMA MAHATMA GADING INTERCULTURAL SCHOOL,69889105,Jl. Boulevard BGR Komplek Villa Gading Indah Blok Q,KELAPA GADING BARAT,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MAHATMA GADING,AH9932,1201/C/LN/2009,05-03-2009,2145/D/KEP/KP/2014,21-11-2014,Lihat SK Operasional,2015-03-04 11,Tidak Terakreditasi,0,1. Lainnya (Kabel),2. Lainnya (Serat Optik),PLN,02145861034,02145861031,smamgis05@gmail.com,http,-6.146867000000,106.907674000000,18,34,34,6,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Lainnya (Kabel),"26,000",6,2,1,2,0,0,15,6,18,0,0,0,1,17,0,15,3,3,5,0,2,3,4,1,10,8,,,,,,,,,,2,2,2,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E94F7815-F0AE-4807-BC43-B0F5298D9F7C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856892,SMA NORTH JAKARTA INTERCULTURAL SCHOOL,69856892,JL. BOULEVARD BUKIT GADING RAYA,KELAPA GADING BARAT,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan North Jakarta International School,AG3557,0418/0/1990,15-06-1990,2154/D/KEP/KP/2014,21-11-2014,Lihat SK Operasional,2015-09-13 00,B,0,1. Telkom Astinet,2. Lainnya (Serat Optik),PLN & Diesel,02145865232,02145865222,education.admin2@njis.org,http,-6.158553000000,106.896025000000,6,20,17,3,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkom Astinet,"30,000",3,3,0,2,0,1,4,3,6,0,0,0,0,6,0,4,2,1,3,1,1,0,0,0,3,3,,,,,,,,,,1,1,1,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/606768F9-2E98-4F7A-AC3E-030D8E722EB1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69939320,SMA Raffles Christian School Kelapa Gading,69939320,"Jalan Gading Pelangi 1, Kelurahan Pegangsaan Dua, Kecamatan Kelapa Gading, Kota",PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Sekolah Bhinneka,AJ6075,0003/1.10.0/31.72/-1.851.,03-02-2016,0003/1.10.0/31.72/-1.851.,03-02-2016,Lihat SK Operasional,2016-03-18 14,A,0,1. Smartfren,2. Linknet,PLN & Diesel,,02145874222,,http,-6.170700000000,106.902500000000,22,32,31,6,Cambridge  International  Examinations  (CIE),Sehari Penuh/5 hari,,2022/2023-2,Smartfren,"263,000",7,1,0,1,0,11,20,7,22,0,0,0,0,22,0,16,6,6,2,8,1,2,1,2,10,12,,,,,,,,,,2,2,2,
D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B984AC7D-A674-4178-AD34-7778A5A02DCA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69879021,SMA SAINT PETER SCHOOL,69879021,JL.BOULEVARD TIMUR RAYA NO. 8,PEGANGSAAN DUA,KEC. KELAPA GADING,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Saint Peter,AG3589,2128/D/KEP/KP/2014,21-11-2014,2128/D/KEP/KP/2014,21-11-2014,Lihat SK Operasional,2015-09-22 11,B,"4,620",1. Biznet (Kabel),2. Biznet (Kabel),PLN,0214574285,0214524246,sma.spk@saintpeter.sch.id,http,-6.170040000000,106.908698000000,9,26,11,4,Cambridge  International  Examinations  (CIE),Sehari Penuh/5 hari,,2022/2023-2,Biznet (Kabel),0,4,4,1,2,0,0,9,2,9,0,0,0,1,8,0,8,1,2,0,2,2,2,0,1,5,4,,,,,,,,,,2,1,1,
