prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D5457E-8D18-E111-83A3-71B44A545E3D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532443,SLB ADITAMA SURABAYA,20532443,Jl. Wisma Permai 102 Surabaya,MULYOREJO,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Kesehatan Jiwa Aditama,AN2212,18,05-03-1975,421.8/155/108.10/2008,12-03-2008,Lihat SK Operasional,2020-08-28 15,,"2,500",1. Axis,2. Lainnya (Kabel),PLN,,0315938177,slbaditamasurabaya@yahoo.co.id,,-7.273600000000,112.797400000000,3,14,11,10,Pendidikan Khusus SMALB 2013,Pagi/6 hari,,2022/2023-2,Axis,"1,300",12,0,1,0,1,0,2,0,2,0,0,1,2,1,0,3,0,1,1,0,0,0,0,1,0,3,1,0,0,1,1,1,1,1,1,1,1,1,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0058993A-9AFE-E111-B80E-13FF61B32DC7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532447,SLB GRAHITA SARI DHARMA WANITA,20532447,Jl. Kejawan Putih Tambak No.48 C,KEJAWEN PUTIH TAMBAK,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,103,15-09-1987,19.14/227/VII/2020,05-05-2020,Lihat SK Operasional,2020-08-27 09,,0,1. -,2. Telkom Speedy,PLN,0,03134144255,slbgrahitasari@gmail.com,,-7.276700000000,112.801500000000,3,13,5,9,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"1,300",9,0,0,2,0,0,1,2,3,0,0,0,1,2,0,1,2,0,1,0,2,0,0,0,2,1,1,1,1,0,1,0,1,1,1,0,1,1,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7CC7F128-DA02-4567-BE03-6AB725A22DBA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532140,SMA CITA HATI CHRISTIAN SCHOOL,20532140,JL. KEJAWAN PUTIH BARAT 28-30,KEJAWEN PUTIH TAMBAK,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Kristen Buah Hati,AN2216,421.2/2967/402.4.9/2003,28-07-2003,422/5753/436.6.4/2014,15-07-2014,Lihat SK Operasional,2018-01-18 13,A,"41,750",1. -,2. Indosat IM2,PLN,,,admin_sse@bchati.sch.id,http,-7.279400000000,112.808500000000,22,178,167,18,International  Baccalaureate (IB),Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,190,23,3,1,2,0,0,25,0,21,0,1,0,2,20,0,21,1,0,4,7,7,4,0,0,9,13,,,,,,,,,,5,7,6,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/93E679EF-B541-4838-ACD2-9C172AA5EE16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69919595,SMA XIN ZHONG,69919595,Jl.Kalisari Selatan No.5 Pakuwon City,KALISARI,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SPK SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Sarana Hubungan Harmonis Sejahtera,AN2184,422/5712/436.6.4/2015,03-07-2015,421.3/1351.50/101.2/2017,03-07-2015,Lihat SK Operasional,2018-10-10 10,A,"12,194",1. Indosat IM3,2. Telkom Speedy,PLN,0315997715,,smaxinzhong@gmail.com,http,-7.272400000000,112.810000000000,28,117,126,15,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Indosat IM3,"10,000",16,4,1,2,0,0,23,9,28,0,0,0,5,23,0,25,3,6,3,6,6,4,1,2,16,12,,,,,,,,,,6,5,4,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0A5CF870-D1E2-40B4-A12C-92EAC470CB80,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20539254,SMAS HIDAYATUL UMMAH,20539254,JL. MULYOREJO NO.92,MULYOREJO,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BPPPMNU Wilayah Prov. Jawa Timur,AX6731,1356/104.7.4/1987,01-07-1987,253/18.02.10/02/VII/2022,21-07-2022,Lihat SK Operasional,2022-07-26 11,B,330,1. -,2. Lainnya (Serat Optik),PLN,,0315926675,smahu92@gmail.com,http,-7.264500000000,112.781000000000,12,62,36,6,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"6,000",6,5,1,2,0,0,11,2,12,0,0,0,9,3,0,10,2,0,2,2,1,1,4,2,5,7,,,,,,,,,,2,2,2,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14D60699-E24B-439C-A90A-60B7E3197BDD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532389,SMAS IPIEMS,20532389,JL RAYA MENUR 125 SURABAYA,MANYAR SABRANGAN,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN IPIEMS,AL8880,1631/I04.7.4/1985/Pm,01-09-1985,15/18.02.10/02/I/2023,12-01-2023,Lihat SK Operasional,2023-02-10 13,A,"3,740",1. Firstmedia,2. Biznet (Serat Optik),PLN,5947930,5993014,info@sma-ipiems-sby.sch.id,http,-7.285900000000,112.763100000000,44,289,270,16,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Firstmedia,"18,000",17,4,1,2,0,0,41,9,44,0,0,0,18,26,0,36,8,12,6,11,6,1,4,4,16,28,,,,,,,,,,7,6,3,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ACCF7410-5F27-44A6-A32B-ECBAACC90698,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20570825,SMAS KRISTEN GLORIA 2 SURABAYA,20570825,JL. KALISARI SELATAN 1 NO. 3 PAKUWON CITY SURABAYA,KALISARI,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN GLORIA,AW8325,420/1919/436.6.4/2010,10-02-2010,5/18.02.10/02/IV/2021,20-04-2021,Lihat SK Operasional,2022-10-04 08,A,"6,000",1. Lainnya,2. Telkom Speedy,PLN,5940170,5910077,tusma2_5@gloriaschool.org,http,-7.272700000000,112.809500000000,41,345,352,22,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"15,000",36,4,1,6,0,0,49,0,41,0,0,0,9,32,0,37,4,7,19,5,9,1,0,0,18,23,,,,,,,,,,7,8,7,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A93DC5D4-96B0-4984-BCF6-A15F59E53D32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532136,SMAS KRISTEN PETRA 2 SURABAYA,20532136,JL. MANYAR TIRTOASRI RAYA 1 - 3,MANYAR SABRANGAN,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perhimpunan Pendidikan dan Pengajaran Kristen Petra,AL8874,30442/I04.7.4/1989,12-09-1989,19.03/1028/01/I/2020,15-01-2020,Lihat SK Operasional,2021-08-03 09,A,"9,387",1. Lainnya (Serat Optik),2. Lainnya (Wavelan),PLN,0315996966,0315926831,sma2@pppkpetra.or.id,http,-7.284800000000,112.768400000000,51,523,512,31,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),264,31,5,1,6,0,0,66,2,47,0,3,1,20,31,0,46,5,17,10,5,2,0,10,7,15,36,,,,,,,,,,11,10,10,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C5F5222-ADFF-48BB-8179-A95D363E3B20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532167,SMAS LUQMAN AL HAKIM,20532167,JL. KEJAWAN PUTIH TAMBAK VI/1,KEJAWEN PUTIH TAMBAK,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PONDOK PESANTREN HIDAYATULLAH SURABAYA,AN2179,151/104.7.4/1994,07-11-1994,131/18.02.10/02/IV/2022,14-04-2022,Lihat SK Operasional,2022-05-27 08,A,"3,750",1. Telkom Speedy,2. Telkom Speedy,PLN,5992813,5932325,smalh.sby@gmail.com,http,-7.277400000000,112.801200000000,20,183,0,8,SMA 2013 MIPA,Sehari Penuh/6 hari,,2022/2023-2,Telkom Speedy,"66,000",8,4,1,7,0,0,23,1,19,0,1,0,5,15,0,18,2,2,2,2,7,4,3,0,20,0,,,,,,,,,,3,3,2,
Jawa Timur,Kota Surabaya,Mulyorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3662336-90A7-4580-810F-EDCE9F13C432,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20532154,SMAS MUHAMMADIYAH 7,20532154,JL. SUTOREJO 98-100,DUKUH SUTOREJO,KEC. MULYOREJO,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,AB4930,30155/I04.7.4/1990,10-09-1990,422/7125/436.6.4/2016,05-08-2016,Lihat SK Operasional,2016-09-26 11,A,"1,840",1. Lainnya,2. Lainnya,PLN,5996249,5996249,smamsevensby@gmail.com,http,-7.261200000000,112.789100000000,25,143,136,11,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Lainnya,"33,000",12,4,1,2,0,1,23,3,25,0,0,0,6,19,0,24,1,3,7,3,7,2,0,3,10,15,,,,,,,,,,4,4,3,
