prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/329B6D8A-EE85-46CA-9B0A-6B0A8DDAC5B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69976015,MA YA HUSNAYA,69976015,SEI. TEMIANG,TANJUNG RIAU,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,MA,Kementerian Agama,,,424 TAHUN 2017,25-07-2017,424 TAHUN 2017,25-07-2017,Lihat SK Operasional,2021-11-01 11,C,0,,2.,,,,,,.000000000000,.000000000000,0,14,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06574CA9-D82B-4EB8-86CC-8C575268F18F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/11003328,MAS ISKANDAR MUDA,11003328,JL MASJID RAYA BAITURAHMAN NO. 2 SEKUPANG,SUNGAI HARAPAN,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,MA,Kementerian Agama,,,KW.32.4/1/PP.00.6/01/2009,23-04-2009,114 Tahun 2009,23-04-2009,Lihat SK Operasional,2016-08-02 10,B,0,,2.,,,,,,1.107700000000,103.954600000000,0,0,1,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00063501-922F-4E31-B7D2-0A671A1F3B1F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/11003327,MAS NAHDLATUL WATHAN,11003327,Jln. KH. Ahmad Dahlan RT 01 RW 01,TANJUNG RIAU,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,MA,Kementerian Agama,,,E/III/PP.03.2/03/2000,27-09-2000,Wd/4-d/PP.00.6/1029/2003,28-07-2003,Lihat SK Operasional,2016-08-02 13,B,0,,2.,,,,,,1.098800000000,103.930100000000,0,41,40,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/786AB267-EF6B-46E1-8B8C-3596B91B32DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69788133,MAS QUR`AN CENTRE,69788133,JL. DR. SOETOMO NO 1 (DEPAN INDOSAT) SEKUPANG,SUNGAI HARAPAN,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,MA,Kementerian Agama,Lainnya,,,23-12-2013,286 tahun 2011,26-10-2011,Silakan Upload SK (link file tidak valid) => [517486-223904--],2021-09-16 06,B,0,,2.,,,,,,1.112800000000,103.952700000000,0,47,73,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB7F856A-E258-4031-85A3-695673BC4D8C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70030718,SLB CENDEKIARA,70030718,KOMPLEK BKKBN JALAN TIBAN INDAH BLOK L NO. 12A SEKUPANG - BATAM.,TIBAN INDAH,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN CENDEKIA RAQILLA,AX4922,324/PIMB-DPMPTSP/V/2018,31-05-2018,65/1K.1/DPMPTSP/VI/2022,21-02-2022,Lihat SK Operasional,2022-07-14 08,,752,,2.,,,,sekolahcendekiara@gmail.com,,.000000000000,.000000000000,4,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0,2,2,4,0,0,0,0,0,0,1,3,,Pendidikan Khusus SDLB 2013,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EBD38CBD-7585-4B86-99CA-BADB5ECDECAB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70027223,SMA MEDINA UMAH CENDEKIA,70027223,VILLA TELUK ANGIN JALAN PANTAI DANGAS RT/RW 002/005,TANJUNG PINGGIR,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AX4700,03/SKP/YWUIC/VIII/2021,01-08-2021,11/1L.2/DPMPTSP/II/2022,23-12-2021,Lihat SK Operasional,2022-03-24 16,,"2,500",,2.,,,,,,1.136816200000,103.953376400000,5,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,2,3,5,0,0,0,0,0,0,0,5,,SMA 2013 MIPA,,,,,,,,,,,,,,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D822DB9-5F2B-48CB-9F92-38DEE0CB69B7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70029487,SMA SWASTA ISLAM HANG NADIM MALAY SCHOOL,70029487,Komplek Hang Nadim Malay,PATAM LESTARI,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Haji Abdul Ghani,AD0914,421/164.4/DISDIK/2018,26-02-2018,1826/KPTS-18/IV/2018,02-04-2018,Lihat SK Operasional,2022-06-08 01,,"29,985",1. -,2. -,PLN,,,,,1.119189400000,103.964930600000,4,10,6,1,Double Shift/6 hari,,2022/2023-2,0,1,1,1,2,0,0,5,1,4,0,0,0,1,3,0,2,2,3,1,0,0,0,0,0,1,3,,SMA 2013 MIPA,,,,,,,,,,1,0,0,Tidak Ada,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB41F3A5-6380-475E-93D9-233EBAF42C16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/11000360,SMAN 1 BATAM,11000360,JL. R. SOEPRAPTO,SUNGAI HARAPAN,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0135/O/1989,14-03-1989,0135/O/1989,14-03-1989,Lihat SK Operasional,2015-05-11 14,A,"7,240",1. Lainnya,2. Telkom Astinet,PLN,0778321438,0778321438,smansa_batam@yahoo.com,http,1.114400000000,103.950700000000,58,723,"1,083",41,Sehari Penuh/5 hari,,2022/2023-2,"15,000",24,4,1,2,31,7,0,20,29,0,23,6,32,26,0,52,6,12,9,5,9,13,7,3,18,40,,SMA 2013 Bhs&Budaya,,,,,,,,,,14,13,14,Lainnya,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6218F350-A7CE-412A-B4EF-52FC117FFB42,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980503,SMAN 24 BATAM,69980503,Jl. KH. Ahmad Dahlan,TANJUNG RIAU,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,812 Tahun 2018,21-06-2018,812 Tahun 2018,21-06-2018,Lihat SK Operasional,2018-09-24 11,C,"11,229",1. Indosat Mentari,2. Telkom Speedy,PLN,,07783540531,sman24batam@gmail.com,http,1.100600000000,103.940000000000,30,295,359,17,Sehari Penuh/5 hari,,2022/2023-2,"7,875",15,6,0,8,12,6,0,12,20,0,8,2,13,17,0,26,4,6,7,5,5,4,2,1,9,21,,SMA 2013 IPS,,,,,,,,,,7,6,4,Indosat Mentari,
Kepulauan Riau,Kota Batam,Sekupang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B06488DA-C3A7-45E3-9D15-D8EB926C99EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/11002198,SMAN 4 BATAM,11002198,"JL. GAJAH MADA, TIBAN LAMA",TIBAN LAMA,KEC. SEKUPANG,KOTA BATAM,PROV. KEPULAUAN RIAU,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,3199/KPPS/PROG/2002,20-07-2002,156/422.6/DIKMEN/II/2016,10-02-2016,Lihat SK Operasional,2016-04-27 15,A,"10,300",1. Lainnya,2. Telkom Speedy,PLN,,7352050,smaempatbatam@yahoo.co.id,http,1.103300000000,103.982000000000,58,702,734,36,Sehari Penuh/5 hari,,2022/2023-2,"55,000",27,3,1,3,33,2,0,23,27,0,27,4,35,23,1,54,3,4,9,9,11,10,8,7,16,42,,SMA 2013 IPS,,,,,,,,,,12,12,12,Lainnya,
