prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/48D6E37B-2731-4CB1-856C-7CDAE234AA72,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69952310,PKLK-SDLB QISWAH AN-NAAFI,69952310,JL. MADE SABARA,LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SLB,SDLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan AL BARAKATI,AC6180,451/002/YP AL-B/VI/2016,02-06-2016,129 TAHUN 2016,29-09-2016,Lihat SK Operasional,2016-10-16 06,B,"3,654",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,amidampernantohe4@gmail.com,,-4.801827200000,122.726910300000,8,11,9,7,Pendidikan Khusus SDLB 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",7,0,1,2,0,0,11,0,8,0,0,0,0,8,1,3,4,2,2,2,0,0,1,1,4,4,2,1,1,1,1,1,0,0,0,0,0,0,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/804FC2C9-30F5-E011-A501-2D90CEA217BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400728,SLB ABC RAHA,40400728,Jln. Tengiri No. 35 Kec. Batalaiworu,LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SLB,SDLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN LUAR BIASA,AC6161,01.1973,03-08-1973,421.9/6988/2016,21-12-2016,Lihat SK Operasional,2021-07-01 16,C,"30,000",1. -,2. -,PLN,,,slb_nabcraha@yahoo.com,,-4.823200000000,122.725400000000,11,18,13,9,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",10,0,0,0,9,0,3,1,3,1,4,3,7,4,0,7,4,0,0,0,3,0,4,4,7,4,2,1,1,2,1,2,0,0,0,0,0,0,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20D09A9C-EDFE-E111-9EC4-510CD8E0347C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40404968,SLB AMET JAYA RAHA,40404968,JL. LUMBA-LUMBA RAHA ( LRG. KEC. BATALAIWORU),LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AROLOMAGI,AC6179,-2-,05-08-2010,421.9/3942,07-08-2010,Lihat SK Operasional,2023-01-19 15,,"3,840",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,wausu10@yahoo.co.id,,-4.817500000000,122.726700000000,20,77,56,35,Pendidikan Khusus SMALB 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",1,0,1,0,2,1,19,1,18,0,1,1,4,16,1,15,4,5,4,7,2,0,1,1,3,17,3,1,1,1,2,4,3,4,3,4,5,4,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85DC2E56-E342-4B55-AE2F-9C683A2F9780,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955182,SLB PK DAN LK HARAPAN KITA,69955182,JL. WIRABUANA Lr. JIMS DESA WAWESA,WAWESA,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SLB,SDLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PK AN LK HARAPAN KITA,AC6168,AHU-1162.AH.02.01 TAHUN 2010,10-10-2014,502/421/01/PTSP-PM/XII/2016,06-12-2016,Lihat SK Operasional,2016-12-09 10,C,450,1. -,2. -,PLN,,,slbpklkharapankita@gmail.com,,.000000000000,.000000000000,8,12,6,6,Pendidikan Khusus SDLB 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,8,0,1,0,0,0,9,0,8,0,0,0,1,7,0,2,6,5,1,0,0,1,1,0,2,6,1,1,1,1,2,0,0,0,0,0,0,0,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/817742AC-DE3E-4D4A-AA88-EAE7275427AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40405749,SLB SEHATI,40405749,Batalaiworu,LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SLB,SDLB dan SMPLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPLB SEHATI,AC6169,421.9/2579/2011,01-01-1910,421.9/2579/2011,01-01-1910,Lihat SK Operasional,2023-01-11 08,C,165,1. Telkomsel Flash,2. -,PLN,,,slbsehati.muna@gmail.com,http,-4.823500000000,122.727100000000,9,17,9,8,Pendidikan Khusus SMPLB 2013,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,2,2,0,7,1,7,1,0,1,1,8,0,2,7,1,2,3,1,0,0,2,2,7,1,0,1,1,1,1,1,1,1,0,0,0,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40204186-1602-43C8-A785-B50A8CD99CCE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400747,SMA NEGERI 1 RAHA,40400747,JL. MADE SABARA,LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,79/SK/BIII,01-08-1964,010/1000/2006,05-09-2004,Lihat SK Operasional,2021-09-28 10,A,"12,950",1. Telkom Speedy,2. Telkom Speedy,PLN,04032521166,04032525176,smansatu.raha@yahoo.co.id,http,-4.822400000000,122.718500000000,76,459,648,34,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"18,848",33,2,0,20,58,5,0,13,19,0,28,29,59,17,0,69,7,8,2,8,15,13,15,15,27,49,,,,,,,,,,12,11,11,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E53744B7-CEDD-4E45-A24E-AED8F51F1BE5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40400755,SMA NEGERI 3 RAHA,40400755,JL. GATOT SUBROTO,SIDODADI,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0426/0/1991,01-01-1900,,,Silakan Upload SK,,B,"27,590",1. Telkomsel Flash,2. Telkom Speedy,PLN,04032521155,04032521155,rahasman0@gmail.com,http,-4.803600000000,122.719400000000,16,31,13,6,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"11,000",15,4,1,2,11,0,1,4,5,0,4,7,11,5,0,13,3,2,2,2,2,1,4,3,5,11,,,,,,,,,,2,2,2,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/84C09735-58CF-4CA8-8153-0D41D9C7FF0C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40404081,SMAS AL MAARIF,40404081,Jl. LUMBA-LUMBA,LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Maarif,AC6174,17/YPM/2003,01-07-2003,421 4/3731,11-12-2004,Lihat SK Operasional,2020-08-24 19,C,"10,000",1. XL (GSM),2. Telkomsel Flash,PLN,,,smasalmaarifraha@gmail.com,http,-4.815500000000,122.726200000000,12,25,11,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,XL (GSM),"1,300",3,0,0,3,4,1,2,5,8,0,2,2,5,7,0,10,2,2,1,3,2,2,2,0,3,9,,,,,,,,,,1,1,1,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D259E74-758F-4A19-B55F-DC9671125375,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69788706,SMAS ANUGRAH KUSUMA,69788706,JL. GATOT SUBROTO,SIDODADI,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan NUR KUSUMA INDAH,AC6160,,04-10-2010,424/2985.B/2010,04-10-2010,Silakan Upload SK,,B,"8,000",1. -,2. Telkomsel Flash,PLN,,,smas.anugrahkusuma2015@gmail.com,http,-4.791000000000,122.738500000000,12,33,16,4,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,400",8,1,2,2,5,0,8,0,8,0,4,0,5,7,0,11,1,3,2,4,1,2,0,0,3,9,,,,,,,,,,1,1,2,
Sulawesi Tenggara,Kab. Muna,Batalaiworu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82E85DA4-D52E-4268-BCD8-081F05AD1C38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036095,SMAS NURUN NAHDLATAIN RAHA IBS,70036095,"Jln. Madesabara, Lrg. BTN SMAN 1 Raha",LAIWORU,KEC. BATALAIWORU,KAB. MUNA,PROV. SULAWESI TENGGARA,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,422/015,05-06-2022,420/1205/DPMPTSP/XI/2022,21-11-2022,Lihat SK Operasional,2022-12-15 14,,"3,915",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,5,4,4,2,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"3,400",1,0,1,2,1,0,4,0,4,0,1,0,1,4,0,4,1,1,3,0,0,1,0,0,4,1,,,,,,,,,,2,0,0,
