prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7FCFB6AF-8CD7-4036-A553-F6D39A49AAEE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69993368,MA PONDOK PESANTREN SAIFULLAH,69993368,JLN BESAR DELI TUA PASAR VI (BELAKANG YON ARMED 2),BATU GEMUK,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,Lainnya,,1238,08-10-2019,1238,08-10-2019,Lihat SK Operasional,2021-01-27 13,C,0,,2.,,,,,,3.456600000000,98.680900000000,0,61,49,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8BB0AE60-1B81-41E3-88B7-7DC81AA93C98,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941579,MAS Insan Kesuma Madani,69941579,Jln. Perintis Kemerdekaan Desa Jati Kesuma,JATI KESUMA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,MA,Kementerian Agama,Lainnya,,1269 TAHUN 2015,03-09-2015,1133 TAHUN 2019,23-09-2019,Lihat SK Operasional,2021-01-05 13,B,0,,2.,,,,,,.000000000000,.000000000000,0,55,56,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/68CBF43A-D081-4787-AE72-E80D735758C5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10200432,SMA SWASTA MASEHI NAMORAMBE,10200432,JL. SAMURA,NAMO RAMBE,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YKP-GBKP Cabang Namorambe,AE8135,052a/I05/KEP/2001,22-03-2001,421/13464/PDM/2013,06-11-2013,Silakan Upload SK,,B,"80,000",,2.,,,,smamasehi39@yahoo.com,http,3.487500000000,98.655700000000,10,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,6,5,10,0,0,0,5,5,0,10,0,5,0,1,1,2,0,1,2,8,SMA 2013 MIPA,,,,,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A5FBC62-ED40-4CC2-9163-CE888694247B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70008707,SMAK YEOLIN PNIEL,70008707,"Jalan Perjuangan Gg. Pisang No. 1, Pasar IV",DELI TUA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMAK,Kementerian Agama,Yayasan Pendidikan Kristen Bina Misi Pniel,AE8123,074/YPKBMP/Y/SK/VII/2020,01-07-2020,NOMOR,13-01-2021,Lihat SK Operasional,2022-08-08 13,,360,1. -,2. Lainnya (Serat Optik),PLN,,,pnielschool1@gmail.com,,.000000000000,.000000000000,19,14,15,3,Sehari Penuh/6 hari,,2022/2023-2,"21,000",3,0,1,2,0,0,21,1,19,0,0,0,0,19,0,9,10,11,7,1,0,0,0,0,8,11,SMA 2013 MIPA,,,,Tidak Ada,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C613752D-2326-4FCD-95E5-7935732CDDDA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10220217,SMAN 1 NAMORAMBE,10220217,JL. PENDIDIKAN JATI KESUMA,JATI KESUMA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,590/5472,08-07-2003,02.04.06.22.00015,08-07-2003,Lihat SK Operasional,2015-09-03 10,A,"17,640",1. Biznet (Serat Optik),2. Lainnya (Serat Optik),PLN,,,smansa_namorambe@ymail.com,http,3.263500000000,98.391800000000,36,301,399,20,Pagi/6 hari,,2022/2023-2,"22,999",15,3,1,17,26,0,1,9,18,0,15,3,24,12,0,33,3,7,0,6,6,8,6,3,10,26,SMA 2013 IPS,7,7,6,Biznet (Serat Optik),
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/48AF76E8-246F-478B-805A-8510CB51BB18,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10200436,SMAS CERDAS BANGSA,10200436,PASAR IV  NO. 30,SUDI REJO,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Cerdas Bangsa,AE8132,17,11-11-2013,421.3/116,24-02-2021,Lihat SK Operasional,2021-03-03 08,A,"11,046",1. Telkom Speedy,2. Telkom Speedy,PLN,0,,sma.cerdasbangsa@gmail.com,http,3.501000000000,98.670700000000,21,64,117,6,Pagi/6 hari,,2022/2023-2,"3,300",6,5,1,2,0,0,21,1,21,0,0,0,10,11,0,21,0,5,1,7,2,0,3,3,3,18,SMA 2013 IPS,2,2,2,Telkom Speedy,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/950C8DAF-9931-4E9F-872D-310E7CDB0EA4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10260019,SMAS DARUL ILMI MURNI,10260019,JL.BESAR NAMORAMBE/JL. PERJUANGAN - NAMORAMBE,DELI TUA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,46,31-10-2007,421/7751/PDM/2014,09-09-2014,Lihat SK Operasional,2018-11-22 08,A,"1,000",1. -,2. Telkom Speedy,PLN,0617033336,0617033061,smaplus_darulilmimurni@ymail.com,http,3.508700000000,98.673100000000,13,26,24,3,Pagi/6 hari,,2022/2023-2,0,3,0,0,2,0,0,13,1,13,0,0,0,2,11,0,12,1,4,5,1,1,0,2,0,4,9,SMA 2013 MIPA,1,1,1,Tidak Ada,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B1AB9D56-8EC9-4D60-9582-ED7A2D571652,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10220226,SMAS YAPIM NAMORAMBE,10220226,JL. BESAR NAMO RAMBE,TANGKAHAN,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PERGURUAN INDONESIA MEMBANGUN (YAPIM) TARUNA,AK4591,421/9269/PDM/2008,06-10-2008,421/14984/PDM/2013,23-12-2013,Lihat SK Operasional,2018-11-21 14,A,"1,000",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,www.yapim_namorambe@yahoo.co.id,,3.408100000000,98.644900000000,13,48,41,3,Pagi/6 hari,,2022/2023-2,"10,600",3,4,1,2,0,0,13,1,13,0,0,0,3,10,0,12,1,4,3,2,3,1,0,0,2,11,SMA 2013 MIPA,1,1,1,Telkomsel Flash,
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D082D4B9-07B4-4B42-987C-C54020D273C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69950366,SMK SWASTA CERDAS BANGSA,69950366,JL. PERJUANGAN GEDUNG JOHOR,DELI TUA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Cerdas Bangsa,AE8132,17,11-11-2013,421/8001/PDM/2016,22-09-2016,Lihat SK Operasional,2016-09-28 13,C,"2,000",1. Smartfren,2. Telkom Speedy,PLN,,,smk.sw.cerdasbangsa@gmail.com,http,3.445591700000,98.664499800000,14,83,28,6,Pagi/6 hari,,2022/2023-2,"1,700",6,0,1,1,0,0,13,1,14,0,0,0,4,10,0,11,3,4,3,3,3,0,1,0,3,11,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,2,2,2,Smartfren,0
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1557B572-8AA2-4956-8EB2-A10FE3AD3A4E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70035993,SMK Swasta Taruna Tekno Nusantara,70035993,Jl. Pembangunan,UJUNG LABUHEN,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Taruna Tekno Arifah,AI8667,05/A-3/Yas.TTA/SK/II/2014,07-11-2014,421.5/779,08-12-2022,Silakan Upload SK (link file tidak valid) => [769851-50034--],2023-02-05 21,,"10,000",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,,smk.ttn02@gmail.com,http,3.480400000000,98.654200000000,24,139,77,7,Sehari Penuh/6 hari,,2022/2023-2,"22,000",8,0,1,9,0,0,26,3,24,0,0,0,3,21,0,23,1,9,12,0,1,0,2,0,10,14,SMK 2013 REV. Rekayasa Perangkat Lunak,3,1,3,Lainnya (Serat Optik),0
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90BFE532-D7A3-41A1-9170-A00AA9F7E83F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69989187,SMK Swasta Wira Kesuma Jaya,69989187,Jl. Namorat No. 99 Dusun I,JATI KESUMA,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.5/835/DIS PM PPTSP/6/VI/2019,24-07-2019,421.5/835/DIS PM PPTSP/6/VI/2019,24-06-2019,Lihat SK Operasional,2019-07-30 08,B,"1,581",1. Telkomsel Flash,2. -,PLN,,,yppusakakesumajaya@gmail.com,http,3.497404900000,98.671997000000,11,21,19,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,2,0,0,9,3,11,0,0,0,0,11,2,8,1,8,2,1,0,0,0,0,7,4,SMK 2013 REV. Teknik Komputer dan Jaringan,1,1,1,Telkomsel Flash,0
Sumatera Utara,Kab. Deli Serdang,Namo Rambe,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63FDE947-E606-4C24-8339-6D1E6432389F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10220232,SMKS YAPIM NAMORAMBE,10220232,JL. BESAR NAMORAMBE,TANGKAHAN,KEC. NAMO RAMBE,KAB. DELI SERDANG,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PERGURUAN INDONESIA MEMBANGUN (YAPIM) TARUNA,AK4591,421/9267/PDM/2013,05-12-2013,421/14986/PDM/2013,23-12-2013,Lihat SK Operasional,2018-11-21 14,A,"1,000",1. Telkomsel Flash,2. Lainnya,PLN,,,yapim_namorambe@yahoo.co.id,,3.447700000000,98.659100000000,19,10,46,3,Pagi/6 hari,,2022/2023-2,"10,600",6,2,1,2,0,0,21,2,19,0,0,0,4,15,0,16,3,9,3,2,3,2,0,0,5,14,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,1,1,1,Telkomsel Flash,0
