prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FB8EA20-92ED-4496-B891-2A5A2ECD04E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69963556,Al Islamiyah III,69963556,BANTAR,LANCAR,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,.000000000000,.000000000000,0,22,16,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/842C5BB3-9FD0-497F-9E6B-DA000DD31D40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69963555,AL Kautsar,69963555,Telaga sari,BLUMBUNGAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,MAS/28.0099/2016,10-11-2016,MAS/28.0099/2016,10-11-2016,Lihat SK Operasional,2020-08-26 14,B,0,,2.,,,,,,.000000000000,.000000000000,0,7,7,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D61B79E7-10C3-4DA6-B56B-F5FE9A33092B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584340,MAS AL - ABROR,20584340,JL. PP. AL-ABROR BERRUH BLUMBUNGAN,BLUMBUNGAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Wm.06.04/PP.03.2/3372/SKP/1998,29-09-1998,Kw.13.4/4/PP.00.6/650/2010,01-07-2010,Lihat SK Operasional,2015-12-29 10,B,0,,2.,,,,,,-7.119000000000,113.532600000000,0,39,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15C9AFC5-640E-4A14-9D5A-8A589D485477,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584348,MAS AL ISLAMIYAH I,20584348,SUMBER BATU BLUMBUNGAN LARANGAN PAMEKASAN,BLUMBUNGAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,1982-10-26,26-10-1983,2017-08-22,22-08-2017,Lihat SK Operasional,2020-08-24 20,A,0,,2.,,,,,,-7.112600000000,113.520000000000,0,189,168,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF7FC528-6A46-4A65-A255-D8A9727A43C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584354,MAS AL-DJUFRI,20584354,DUSUN AENG PENAI,BLUMBUNGAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Wm.06.04/PP/03.2/2161/1996,01-07-1995,MAS/28.0015/2017,22-08-2017,Lihat SK Operasional,2020-08-24 20,B,0,,2.,,,,,,-7.110100000000,113.516300000000,0,59,69,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAE5091D-523E-40CE-86C5-73C1B7C720A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584358,MAS AL-HUDA,20584358,SUMBER NANGKA DUKO TIMUR,DUKUH TIMUR,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,W.m.06.02/3.c/376.c/ket./1985,12-10-1985,MAS/20.0016/2017,22-08-2017,Lihat SK Operasional,2021-01-08 20,B,"8,903",,2.,,,,,,-7.114963000000,113.543161000000,0,56,27,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28E2CCF9-EA8B-4DE0-BA7F-C1916D32E45E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584380,MAS MABDAUL FALAH,20584380,DSN. BIYAN BARAT,KADUARA BARAT,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,1 Juli 2006,01-07-2006,28.0017 Tahun 2017,22-08-2017,Lihat SK Operasional,2021-07-01 11,B,0,,2.,,,,,,-7.129100000000,113.596700000000,0,26,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4FBF95F-EB87-414E-B964-80F6BA9777CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584411,MAS QURRATUL UYUN,20584411,JL. RAYA SUMENEP,TRASAK,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.139900000000,113.531700000000,0,66,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E7D8F8D-A650-4CED-AF0A-653D788A541B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584413,MAS SABILIL MUTTAQIN,20584413,DUSUN SUMBER,PANAGUAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/28.0012/2012,01-07-1994,Kd.15.22/2/PP.00.6/534/2016,06-02-2016,Lihat SK Operasional,2020-08-25 12,B,0,,2.,,,,,,-7.121200000000,113.560900000000,0,22,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pamekasan,Larangan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF2B35F8-5D0B-4850-9E01-ED96B299F99B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584416,MAS TARBIYATUN NASYIIN 1,20584416,SUMBER TAMAN PANCOR,GRUJUGAN,KEC. LARANGAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,1993-05-23,23-05-1993,2010-07-01,01-07-2010,Lihat SK Operasional,2015-12-29 10,Sertifikat Kedaluwarsa,0,,2.,,,,,,-7.121200000000,113.538500000000,0,0,53,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
