prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7930BC6A-72DF-4595-B124-5FFFDF66CA3C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20232356,SMAS DARUL KHOLIDIN,20232356,KAMPUNG SASAK,TEGAL,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.3/1912-Disdik/2006,13-06-2006,421.3/1912-Disdik/2006,13-06-2006,Lihat SK Operasional,2020-02-26 11,B,"100,000",1. Telkom Speedy,2. Telkom Speedy,PLN,02518610660,,smadarulkholidin42@gmail.com,http,-6.473400000000,106.698700000000,24,238,193,14,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"5,000",14,5,1,4,0,0,26,2,24,0,0,0,2,22,0,23,1,4,8,3,3,3,1,2,14,10,5,5,4,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/01541B7C-49FC-4083-9AD3-1997451BF200,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231312,SMAS MADANIA,20231312,"PERUM. TELAGA KAHURIPAN , DS. TEGAL KEC. KEMANG",TEGAL,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Madania Indonesia,AA1370,"1073/i02,1/Kep/05/1996",04-11-1996,"1073/i02,1/Kep/05/1996",04-11-1996,Lihat SK Operasional,2020-01-13 09,A,"21,100",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,8604777,8602777,school@madania.sch.id,http,-6.489600000000,106.718900000000,25,84,75,7,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),0,16,4,1,2,0,0,27,2,25,0,0,0,9,16,1,23,1,1,2,4,8,8,2,0,12,13,2,2,3,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37E7E477-6756-4BF2-A868-F1C435BF0523,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231317,SMAS MARSUDIRINI,20231317,PERUM TELAGA KAHURIPAN DS. TEGAL KEC. KEMANG,TEGAL,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MARSUDIRINI,AE1717,421.3/4737-Disdik/2006,18-12-2006,421.3/755/SMA/Dikmen/2006,25-05-2007,Lihat SK Operasional,2015-08-24 14,A,"4,336",1. Indosat Mentari,2. Lainnya (Serat Optik),PLN,02518602437,02518602436,sma_marsoedbogor@yahoo.co.id,http,-6.482100000000,106.703000000000,20,143,71,9,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Indosat Mentari,"33,000",12,4,1,2,0,0,17,5,20,0,0,0,0,20,1,16,3,4,5,7,3,1,0,0,7,13,3,3,3,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5D89CE2-F722-4076-836D-7D6FB137ED4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231356,SMAS SMART EKSELENSIA INDONESIA,20231356,JL. PARUNG BOGOR DS. JAMPANG,JAMPANG,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Dompet Dhuafa,AG2161,42-3/4562-Disdik,,,,Silakan Upload SK,,A,"20,925",1. Lainnya (Serat Optik),2. Telkom Astinet,PLN & Diesel,02518615016,02518610817,smart.ekselensia.school@gmail.com,http,-6.473500000000,106.729500000000,23,96,54,5,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"60,000",13,5,1,2,0,0,25,5,23,0,0,0,4,19,0,20,3,4,5,6,2,5,1,0,15,8,2,1,2,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BDD95607-68AF-40D9-94B0-6398A12020FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20232403,SMAS TARUNA TERPADU,20232403,JL. RAYA SEMPLAK SALABENDA BLK. TELKOM DS. PARAKAN JAYA,PARAKAN JAYA,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan MUZTAHIDIN AL AYUBI,AA1384,421.3/2675/Kep/Disdik//2002,09-09-2002,421.3/2675/Kep/Disdik//2002,09-09-2002,Lihat SK Operasional,2019-11-04 08,A,"2,840",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN & Diesel,02517542504,02517542504,sma.tarunaterpadu@gmail.com,http,-6.523300000000,106.760200000000,42,619,819,41,SMA 2013 MIPA,Double Shift/6 hari,,2022/2023-2,Telkomsel Flash,"14,700",22,3,1,6,0,1,37,9,42,0,0,0,6,36,0,32,10,13,12,9,3,1,2,2,14,28,18,14,9,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/870A7EB8-A1AE-4EDD-B9A6-6F34C91778A7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231361,SMAS YADIKA 7 BOGOR,20231361,JL. RAYA KEMANG NO. 12,PARAKAN JAYA,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ABDI KARYA,AJ6083,574/I02.1/Kep/01/98,11-08-1998,574/I02.1/Kep/01/98,11-08-1998,Lihat SK Operasional,2015-04-15 10,A,"6,000",1. -,2. Lainnya (Kabel),PLN,02517536847,02517534219,yadika7bogor@gmail.com,http,-6.519878000000,106.757610000000,18,41,75,5,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"16,498",6,4,1,2,0,0,11,10,18,0,0,0,8,10,0,17,1,4,4,1,1,2,4,2,4,14,1,2,2,
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1765347-CE17-4364-867D-992B2CA4CEA1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200589,SMK AL-AQSYAR,20200589,JL. PARUNG HIJAU I NO. 27 JAMPANG HAMBULU KEMANG,PONDOK UDIK,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Am Badar,AX0394,420/III-SOSIAL,15-04-2000,4/011060A/DPMPTSP/2021,29-11-2021,Lihat SK Operasional,2022-01-21 14,A,"4,030",1. 3 (Tri),2. Lainnya (Serat Optik),PLN,,8411240,smk.alaqsyar27@gmail.com,alaqsyar.sch.id,-6.490400000000,106.731300000000,28,265,261,18,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Sehari Penuh/5 hari,,2022/2023-2,3 (Tri),"16,000",18,1,1,4,0,0,24,6,28,0,0,0,10,18,0,21,7,7,7,4,3,5,2,0,12,16,6,6,6,0
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADBA59F1-E0F5-44D6-91E0-4BCF31F9A9E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955278,SMK NEGERI 1 KEMANG,69955278,Jl Kemang Limus Manggung RT 004/002,KEMANG,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.5/452/Kpts/Per-UU/2016,16-11-2016,421.5/452/Kpts/Per-UU/2016,16-11-2016,Silakan Upload SK (link file tidak valid) => [82355-207981-318604-13201706-474545236.PDF],2016-12-13 12,B,"30,132",1. -,2. Telkom Speedy,PLN,,02517594566,smknsatukemang@gmail.com,http,-6.500400000000,106.748100000000,42,563,362,30,"SMK 2013 REV. Teknik Energi Surya, Hidro, dan Angin",Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"30,000",15,0,0,6,12,16,0,14,41,0,1,0,11,31,0,33,9,13,10,8,6,3,1,1,25,17,12,10,8,0
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/685B1840-989F-4062-B72E-B4D856E02E57,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70031656,SMK TARUNA TERPADU 3,70031656,"Jl. Raya Semplak, Salabenda, RT.05, RW.07",PARAKAN JAYA,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,14/011060.a/DPMPTSP/2022,12-07-2022,14/011060.a/DPMPTSP/2022,12-07-2022,Lihat SK Operasional,2022-10-21 13,,"19,600",1. Telkom Speedy,2. Telkom Speedy,PLN,,,,,-6.523200000000,106.759600000000,30,44,293,11,SMK 2013 REV. Asisten Keperawatan,Double Shift/6 hari,,2022/2023-2,Telkom Speedy,"173,998",11,0,0,0,0,0,19,13,29,0,0,1,1,29,1,26,3,9,8,9,2,0,2,0,6,24,11,0,0,0
Jawa Barat,Kab. Bogor,Kemang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31B2184C-7040-4E5A-82CA-DDA67E03DFF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253393,SMKS BUDIASIH PRATAMA,20253393,"JALAN RAYA KEMANG NO.627, BOGOR",KEMANG,KEC. KEMANG,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Kharisma,AM7736,421/25-DISDIK,03-09-2008,421.3/1122-DIKMEN/2008,30-12-2008,Lihat SK Operasional,2018-10-18 07,B,810,1. Telkomsel Flash,2. Telkom Speedy,PLN,7534480,7534480,smkbudiasihpratama627@gmail.com,http,-6.499800000000,106.756700000000,7,95,14,3,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",3,0,0,0,0,0,7,0,7,0,0,0,3,4,1,4,2,0,1,2,2,0,2,0,5,2,1,1,1,0
