prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/819B7DC2-1C43-4640-B416-AE92A5B50FA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69925302,SMA ANUGERAH GLORIA TERPADU,69925302,Jln. SD Percobaan Lorong Kampung Hetuma Potikelek,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PELAYANAN DESA TERPADU,AG3583,004/SKep-YPDTWP/I/2015,01-01-2015,420/751/SIO/P&P/2015,08-10-2015,Lihat SK Operasional,2015-12-18 15,C,"2,000",1. -,2. Centrin (Wavelan),PLN,,,smaanugerahgloria@gmail.com,,-4.083188300000,138.934430000000,9,19,21,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"1,200",2,0,1,2,1,0,6,3,8,0,1,0,1,8,0,8,1,2,4,1,2,0,0,0,4,5,1,1,1,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F14F8F9-AB47-40B5-AF1F-68391752E76E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70013808,SMA YAPESLI 1 WAMENA,70013808,Jl. Irian Gang Yali II Wamena,HONELAMA DUA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Yapesli Papua Indonesia,AL0079,420/040/ypi/vi/2019,31-05-2019,188.4/2154.PPAD/VI/2021,17-06-2021,Lihat SK Operasional,2021-10-12 15,,795,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,9,55,23,5,SMA 2013 IPS,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,900,3,0,0,0,1,0,6,2,9,0,0,0,0,9,0,3,6,4,2,0,1,1,0,1,2,7,2,2,1,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31E545EE-037A-4F3D-A6B2-345DF838F6E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301592,SMAN 1 WAMENA,60301592,JL. JENDERAL SUDIRMAN NO. 33,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/651/DP/2018,14-09-2018,420/650/DP/2018,14-09-2018,Lihat SK Operasional,2020-08-27 15,A,"4,000",1. -,2. Lainnya (Serat Optik),PLN,096931382,096931382,sman.1wamena@gmail.com,http,-4.094848300000,138.939735000000,51,447,521,29,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,29,4,1,3,24,9,0,18,31,1,8,11,18,33,0,39,12,12,13,9,4,7,3,3,15,36,10,10,9,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/773C064A-A31F-4352-BE7F-0F47DDABEF66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301594,SMAS PGRI WAMENA,60301594,JL. BHAYANGKARA NO. 132 WAMENA,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PPLP YPLP PGRI,AM5732,NOMOR,11-10-1988,NOMOR,16-12-2013,Lihat SK Operasional,2015-08-26 18,A,"7,200",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,096931930,096931930,smapgri_wamena@yahoo.com,http,-4.101541700000,138.933785000000,27,203,242,13,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"7,000",15,4,1,2,14,0,6,7,15,0,8,4,12,15,0,23,4,9,4,3,5,2,3,1,6,21,5,4,4,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C438971-3209-4829-9871-7E44DBA93027,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301595,SMAS YPK BETLEHEM,60301595,JL. BHAYANGKARA NO. 48,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPK DI TANAH PAPUA,AJ4289,234/A.12/SKEP/1995,23-09-1995,1752/I18.g.4/R6/95,10-10-1995,Lihat SK Operasional,2015-09-19 15,A,"250,000",1. Telkomsel Flash,2. Lainnya (Satelit),PLN,,,smaypkwamena@gmail.com,http,-4.096588300000,138.938870000000,21,127,100,8,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",12,1,1,4,12,0,3,6,8,0,11,2,5,16,1,17,3,1,1,6,8,2,0,3,8,13,2,3,3,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7FB7E11-5D0B-4F84-AEA6-BE27DD2D37DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301597,SMAS YPPK SANTO THOMAS WAMENA,60301597,JL. GATOT SUBROTO WAMENA,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan dan Persekolahan Katolik (YPPK) Fransiskus Asisi Jayapura,AL0093,1612/I18.g.4/R6/95,13-09-1995,315/ADM/I-C/10/95,06-10-1995,Lihat SK Operasional,2015-09-11 08,A,"15,257",1. Telkomsel Flash,2. Lainnya (Satelit),PLN,096933434,096933434,smayppkst.thomaswamena@yahoo.co.id,http,-4.087046700000,138.945233300000,31,275,302,19,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,000",23,4,1,2,18,1,0,12,14,0,12,5,9,22,0,28,3,8,5,5,7,4,1,1,10,21,6,5,8,
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C35F8203-F1B8-4EB2-886A-9A84003EB609,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301600,SMKS  YAPIS Sidratul Munthaha Bisnis Manajemen Wamena,60301600,JL. YOS SUDARSO WAMENA,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM (YAPIS) WAMENA,AL0075,502a/I18.1/16/85,30-05-1985,420/1027/P&P/2013,09-09-2013,Lihat SK Operasional,2015-11-30 08,Sertifikat Kedaluwarsa,"2,640",,2.,,096931057,096931057,smkyapiswamena@gmail.com,http,-4.099916700000,138.942496700000,46,496,424,27,SMK 2013 REV. Teknik Komputer dan Jaringan,,,2022/2023-2,,,27,1,1,2,27,1,10,8,26,2,13,5,20,26,2,37,7,10,7,5,10,6,3,5,12,34,9,9,9,0
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D499E25B-C552-41CD-BEF9-C2574868DBDB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301599,SMKS YAPESLI Pariwisata Wamena,60301599,JL. IRIAN GANG YALI WAMENA,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Yapesli Papua Indonesia,AL0079,114/I18.H.4/MN/2001,31-01-2001,114/I18.H.4/MN/2001,31-01-2001,Lihat SK Operasional,2020-08-22 10,Sertifikat Kedaluwarsa,"2,420",1. Telkomsel Flash,2. Lainnya (Satelit),PLN,0,096931592,smkyapesliwamena@gmail.com,http,-4.095658300000,138.934243300000,24,345,164,16,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"7,700",16,0,1,3,8,3,2,12,17,0,5,2,3,21,1,19,4,5,7,3,5,0,2,2,8,16,5,6,5,0
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E11ABE1E-402B-459B-B3FD-0B97A81B54B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301601,SMKS YASORES Agrobisnis Dan Agroteknologi Wamena,60301601,JL. SD PERCOBAAN POTIKELEK WAMENA,HONELAMA DUA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,422.3/1208/P&K/2004,12-10-2004,115 tahun 2004,21-09-2004,Lihat SK Operasional,2022-08-05 03,B,"6,714",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,smkyasoreskubisa01@gmail.com,http,-4.083900000000,138.936300000000,23,287,142,12,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"5,000",13,0,1,1,12,2,4,6,11,3,8,1,2,21,2,20,1,2,7,3,5,6,0,0,10,13,4,4,4,0
Papua Pegunungan,Kab. Jayawijaya,Wamena,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27120DAA-8A1F-4E8D-8E75-70D633C5609B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011383,SMKS YPPGI Energi dan Pertambangan  Wamena,70011383,Jln. Yelekama Sinakma Wamena,WAMENA KOTA,KEC. WAMENA,KAB. JAYAWIJAYA,PROV. PAPUA PEGUNUNGAN,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN DAN PERSEKOLAHAN GEREJA-GEREJA INJILI DI TANAH PAPUA,AJ4272,245/SK-PSMK/BP-YPPGI/V/2021,03-05-2021,188.4/2328.PPAD/VII/2021,05-07-2021,Lihat SK Operasional,2021-07-15 10,,"80,000",1. -,2. -,PLN,,,,,.000000000000,.000000000000,16,25,26,2,SMK 2013 REV. Teknik Pengelasan,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,100",2,0,0,0,9,2,0,5,9,0,5,2,2,14,0,15,1,0,5,3,2,5,0,1,4,12,1,1,0,0
