prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB22374D-CF37-47E1-8493-B8B3EA7F07EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211703,SMAN 3 PEMATANG SIANTAR,10211703,JL. PANE,TOMUAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"5,405",1. -,2. Telkom Speedy,PLN,,24454,smantigpsiantar@yahoo.com,http,2.932500000000,99.113000000000,78,463,717,33,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"3,000",33,3,1,2,65,0,0,13,37,2,32,7,60,18,0,72,6,7,6,6,12,12,12,23,32,46,11,12,10,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E117BF28-B3B5-4EB0-822B-BF0AF5163C83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211702,SMAN 4 PEMATANG SIANTAR,10211702,JL. PATTIMURA NO 1,PAHLAWAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,02THN1966,13-09-1966,420/4880DM/2015,30-10-2015,Lihat SK Operasional,2018-09-14 09,A,"22,800",1. -,2. Telkom Speedy,PLN,062222615,062222615,sman_pat@yahoo.com,http,2.961000000000,99.073500000000,72,443,698,32,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"20,000",32,3,1,6,70,0,0,2,6,3,35,28,61,11,0,63,9,2,2,6,14,6,19,23,30,42,10,12,10,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0429835A-C79F-433E-BC15-5D0CEA775C66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10259857,SMAS ERLANGGA,10259857,JL. MERDEKA NO. 280-286,PAHLAWAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Erlangga,AE9707,akta notaris,28-06-2008,SMA ERLANGGA,24-01-2023,Lihat SK Operasional,2023-02-09 09,B,499,1. Telkom Speedy,2. Telkom Speedy,PLN,,062226672,sma.erlangga@gmail.com,http,2.960900000000,99.071500000000,15,23,32,5,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkom Speedy,950,8,4,1,2,0,0,15,4,14,0,1,0,11,4,0,12,3,4,1,0,5,1,2,2,6,9,1,2,2,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41563389-1CC2-4AB4-89E8-E45941757434,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211688,SMAS KAMPUS NOMMENSEN,10211688,JL. SANGNAWALUH NO. 4,SIOPAT SUHU,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Universitas HKBP Nommensen,AE9504,905/IO5/A/1987,28-04-1987,421.3/829,09-07-2021,Lihat SK Operasional,2021-09-07 03,A,"20,000",1. Smartfren,2. Telkom Astinet,PLN,06227355801,06227355801,smakampus_fkipuhn@yahoo.co.id,,2.960900000000,99.079700000000,25,81,134,7,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,Smartfren,"5,500",9,3,1,3,0,0,33,1,25,0,0,0,15,10,1,21,3,2,2,4,3,4,6,4,5,20,3,2,2,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE6A5F00-0DB0-4FA4-B42C-A830538449AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211683,SMAS MARS,10211683,JL JEND. AHMAD YANI NO. 400,PARDOMUAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan MARS,AE9703,-35,17-07-2014,8120111172089,28-11-2018,Lihat SK Operasional,2021-08-02 04,A,"2,077",1. Telkomsel Flash,2. Telkomsel Flash,PLN,22902,062221104,smaypmars@gmail.com,,2.967300000000,99.076000000000,20,83,105,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"1,200",9,3,1,2,1,1,17,2,19,0,0,1,7,13,0,17,3,8,3,2,3,0,2,2,7,13,2,2,2,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9378619-FA22-4F07-AA09-C6F8D441A677,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211685,SMAS METHODIST,10211685,JL. PANE NO. 34,KEBUN SAYUR,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Kristen Methodist Indonesia Betlehem Pematangsiantar,AE9681,5149/I.05.4/T.79,13-08-1979,421.3/488/DIS PM PPTSP/6/XVII.3/III/2018,27-03-2018,Lihat SK Operasional,2020-08-24 18,A,"6,600",1. Telkom Speedy,2. Telkom Speedy,PLN,0622434084,062222314,methodist_ps@yahoo.co.id,http,2.954000000000,99.071100000000,33,245,261,15,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,0,18,1,1,1,3,0,33,1,30,0,1,2,18,15,0,30,3,4,7,5,1,4,4,8,10,23,5,5,5,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A35D77F7-E24E-4CF6-B9FE-72F8EE621020,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211710,SMAS SURYA,10211710,JL. DALIL TANI NO. 55,TOMUAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PERGURUAN SURYA PEMATANGSIANTAR,AE9702,122 105.4 A1984,,,,Silakan Upload SK,,B,"2,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,25612,smasuryapematangsiantar@gmail.com,http,2.977500000000,99.075600000000,6,4,2,2,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"3,000",7,3,1,2,2,0,3,2,5,0,0,1,4,2,0,6,0,0,1,0,2,0,1,2,3,3,1,1,0,
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72DD778D-8D31-4CF0-9911-18F353A83BA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211794,SMKN 2 PEMATANGSIANTAR,10211794,JL. ASAHAN/SANGNAWALUH PEMATANGSIANTAR,SIOPAT SUHU,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,9 DJAP-D/BI/1961,09-06-1961,9DJAP-D/BI/1961,09-06-1961,Lihat SK Operasional,2017-03-23 10,B,"36,750",1. Telkomsel Flash,2. Telkom Speedy,PLN,0622755551,0622755551,stmnegeri_p@yahoo.com,http,2.963800000000,99.088000000000,129,"1,477",96,54,SMK 2013 REV. Teknik Instalasi Tenaga Listrik,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,"10,000",54,0,2,1,81,0,3,46,50,0,56,23,84,45,4,112,13,21,11,13,21,11,15,37,62,67,18,17,19,0
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8B55550-60E0-4299-A1AE-3C55282C6907,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211802,SMKS HKBP,10211802,Jl. Jend. A. Yani No.153 Pematangsiantar,ASUHAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Huria Kristen Batak Protestan Pematang Siantar,AB7999,753/BAUM/KEU/UM/1968,28-10-1968,421.5/295,03-06-2022,Lihat SK Operasional,2022-06-03 14,Sertifikat Kedaluwarsa,"8,800",1. Telkomsel Flash,2. Telkomsel Flash,PLN,062222358,062222358,smkshkbpsiantar@gmail.com,http,2.973200000000,99.078300000000,45,531,30,22,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"15,000",32,2,1,2,1,0,48,5,44,0,1,0,30,15,0,35,10,3,4,2,13,10,7,6,25,20,7,7,8,0
Sumatera Utara,Kota Pematangsiantar,Siantar Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9B0C04F-C262-462E-B774-952DC61FA371,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10211797,SMKS MARS,10211797,JENDRAL AHMAD YANI NO.400 PEMATANGSIANTAR,PARDOMUAN,KEC. SIANTAR TIMUR,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan MARS,AE9703,"108/105,8/PR/1997",28-11-2018,-8120111172089,28-11-2018,Lihat SK Operasional,2022-09-08 08,A,"2,077",1. Telkomsel Flash,2. Telkomsel Flash,PLN,062222902,062221104,smkswastamars@ymail.com,http,2.966600000000,99.075700000000,16,55,83,9,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"1,200",14,0,0,2,0,0,15,2,16,0,0,0,3,13,0,13,3,8,2,0,6,0,0,0,4,12,3,3,3,0
