prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/547E6C7A-34A3-4879-91C0-5757A19FCE33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10263755,MAN 1 KOTA PADANG PANJANG,10263755,SYECH IBRAHIM MUSA PARABEK NO. 2,GANTING,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,209 Tahun 1968,12-09-1968,209 Tahun 1968,12-09-1968,Lihat SK Operasional,2019-11-15 13,A,0,,2.,,,,,,-.455800000000,100.420900000000,0,246,420,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6858CA71-E1B2-487F-A065-F7376B12B550,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10263756,MAS KULLIYATUL MUBALLIGHIEN,10263756,JL. RI DT. SINARO PANJANG NO. 28,TANAH PAK LAMBIK,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,MA,Kementerian Agama,,,,01-01-1900,-MADRASAH,01-01-1900,Silakan Upload SK (link file tidak valid) => [411985-303944--],2021-01-22 06,A,0,,2.,,,,,,-.466600000000,100.405600000000,0,165,180,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/75ADDE96-8813-4A7D-A430-786042AAFD20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10263758,MAS SERAMBI MEKKAH,10263758,JL. A. YANI NO. 1,NGALAU,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,MA,Kementerian Agama,,,WC/3/KPTS/PP 02.3/084/2002,21-11-2002,97/Kw.03/2-e/PP.006/MA/03/2021,23-03-2021,Lihat SK Operasional,2021-10-27 09,B,0,,2.,,,,,,-.473656000000,100.422283000000,0,19,17,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C049B0C2-E4F7-4F9E-8F20-F67B01700F63,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729901,MAS THAWALIB GUNUNG,60729901,JL. H. PIOBANG NO. 18 SIGANDO,SIGANDO,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,MA,Kementerian Agama,,,Nomor 174 Tahun 2018,30-04-2018,Nomor 174 Tahun 2018,30-04-2018,Lihat SK Operasional,2021-10-28 09,B,0,,2.,,,,,,-.468800000000,100.425200000000,0,35,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2B06529A-25AA-4B48-BD19-5DA2108899FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10263757,MAS THAWALIB PUTRI,10263757,JL. H. AGUS SALIM NO 19 KAMPUNG JAMBAK PADANG PANJANG,TANAH PAK LAMBIK,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.470082000000,100.423510000000,0,0,59,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7068BB3D-58D1-E111-B7EB-B30BE2BA2E97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10310880,SLB INSAN MANDIRI,10310880,Jln. Urip Sumoharjo No.7,TANAH PAK LAMBIK,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Insan Mandiri,AK5096,No.11,08-01-2010,570/550-PERIZ/DPM&PTSP/III/2021,22-03-2021,Lihat SK Operasional,2021-10-11 13,C,0,1.,2.,PLN,,,,,-.468700000000,100.408900000000,5,17,2,8,Pagi/6 hari,,2022/2023-2,"1,300",6,0,0,3,0,0,7,0,5,0,0,0,2,3,0,5,0,4,0,1,0,0,0,0,0,5,"TKLB, SDLB, SMPLB,  dan SMLB",TKLB 2013,Telkomsel Flash,1,1,0,1,1,1,0,1,1,1,0,0,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30D21726-58D1-E111-970A-5FCB68B070D1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10310736,SLB MUTIARA BUNDA,10310736,Jln. Abu Hanifah,GUGUK MALINTANG,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Mutiara Bunda,AK5085,29,27-07-2006,570/1339-PERIZ/DPM&PTSP/VI/2021,28-06-2021,Lihat SK Operasional,2021-11-08 01,C,758,1. -,2. 3 (Tri),PLN,,07524871063,slbmutiarabunda66@yahoo.com,,-.456200000000,100.406300000000,7,34,20,13,Pagi/6 hari,,2022/2023-2,900,8,0,0,2,0,0,7,0,7,0,0,0,2,5,0,6,1,1,4,2,0,0,0,0,0,7,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,1,2,1,1,1,1,1,1,2,1,1,0,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2730402-E126-4EDB-A3D0-9185DB4E9488,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303611,SMAN 1 PADANG PANJANG,10303611,JL. KH. AHMAD DAHLAN,GUGUK MALINTANG,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0603.08.MN.1997,01-08-1997,0603.08.MN.1997,01-08-1997,Lihat SK Operasional,2015-10-20 11,A,"30,420",1. Telkom Speedy,2. Telkom Speedy,PLN,075283208,075283208,sman1.papa@gmail.com,http,-.463600000000,100.406100000000,59,319,603,27,Sehari Penuh/6 hari,,2022/2023-2,0,24,4,2,2,46,4,1,8,17,0,23,19,42,17,0,56,3,5,7,7,6,9,5,20,18,41,,SMA 2013 Bhs&Budaya,Telkom Speedy,,,,,,,,,,9,9,9,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1E0259D-D3A1-40C1-A84B-3313466E7AD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10310903,SMAN 1 SUMATERA BARAT,10310903,Jl. S. Ibrahim Musa,SIGANDO,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420-450-2011,29-08-2011,420-450-2011,29-08-2011,Lihat SK Operasional,2021-03-03 09,A,"68,289",1. -,2. Telkom Speedy,PLN & Diesel,0752485544,0752485544,pengelola@sman1sumbar.sch.id,http,-.462100000000,100.427100000000,29,176,215,13,Pagi/6 hari,,2022/2023-2,"680,000",13,4,1,8,25,1,0,3,8,0,18,3,18,11,0,25,4,1,10,3,7,2,2,4,8,21,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,5,4,4,
Sumatera Barat,Kota Padang Panjang,Padang Panjang Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16DAF9B2-48F0-42E4-918A-4F1A87FE0379,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10303610,SMAN 2 PADANG PANJANG,10303610,JL. BUNDO KANDUNG NO.2,GUGUK MALINTANG,KEC. PADANG PANJANG TIMUR,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,13a/O/1998,29-01-1998,SK Operasional SMAN 2 Padang panjang,29-01-1998,Lihat SK Operasional,2019-03-26 18,A,"11,262",1. -,2. Lainnya (Serat Optik),PLN,0752484752,0752484752,sekolah@sman2.sch.id,http,-.461600000000,100.402800000000,50,325,510,25,Pagi/6 hari,,2022/2023-2,"25,000",25,4,1,4,45,0,1,4,10,1,35,4,44,6,0,49,1,2,5,5,4,12,13,9,13,37,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,9,8,8,
