prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10201B59-2DF5-E011-81BA-F5C8FD3B876E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330440,SLB C DAN C1 YAKUT PURWOKERTO,20330440,Jl. Pahlawan Gg.VIII,TANJUNG,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AG6969,425.1/0004109,03-06-2002,425.1/0004109,03-06-2002,Silakan Upload SK,,,"1,155",1.,2.,PLN,0281 639529,0281 625800,slbcyakut_purwokerto@yahoo.com,,-7.433300000000,109.220300000000,18,148,97,16,Pendidikan Khusus SMALB 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"1,300",16,0,0,6,3,0,15,0,15,0,3,0,6,12,0,15,3,4,4,2,2,1,2,3,8,10,1,1,1,2,1,1,2,2,2,1,1,1,
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38DC39D2-F4D0-4F85-B3F5-D193CACC3E9A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69893229,SMA NASIONAL 3 BAHASA PUTERA HARAPAN,69893229,Jl. S. Parman Kompleks Stadion Mini,PURWOKERTO KULON,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PUTERA HARAPAN BANYUMAS,AD8287,259/2014,16-10-2014,259/2014,16-10-2014,Lihat SK Operasional,2015-04-12 16,A,"4,845",1. -,2. Lainnya (Serat Optik),PLN & Diesel,0281641926,0281640927,sma.puhua@gmail.com,http,-7.436733300000,109.241156700000,12,51,97,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"8,800",6,4,1,2,0,0,14,2,12,0,0,0,2,10,0,10,2,3,2,2,1,3,0,1,5,7,,,,,,,,,,2,2,2,
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BC46AA6-E319-4535-ABF5-EF7590B38C9B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20338216,SMAS JENDERAL SUDIRMAN PWT,20338216,JL. GERILYA TIMUR,BERKOH,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Jenderal Soedirman Purwokerto,AG6919,7004/II.03.02/I.82,04-10-1982,018/C/Kep/I 83,16-03-1987,Lihat SK Operasional,2020-08-24 20,B,"4,551",1. -,2. Telkom Speedy,PLN,632439,281,smajendsoed_060680@yahoo.co.id,http,-7.438773300000,109.259581700000,10,30,17,3,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",4,0,0,0,0,0,12,0,10,0,0,0,10,0,0,10,0,0,0,1,1,3,2,3,6,4,,,,,,,,,,1,1,1,
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD06CC72-3DC7-477F-A146-7AB4BD297CC9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20301908,SMKS BINA TEKNOLOGI PURWOKERTO,20301908,JL.PAHLAWAN VI/18 TANJUNG PURWOKERTO TELP/FAX (0281) 638328,TANJUNG,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Bina Teknologi,AD8291,630/I03/1/94,28-05-1994,630/I03/1/94,28-05-1994,Lihat SK Operasional,2020-08-28 10,B,"26,226",1. Indosat IM3,2. Biznet (Kabel),PLN,0281638328,,smkbintekpwt@gmail.com,http,-7.432866700000,109.220753300000,30,489,149,22,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/6 hari,,2022/2023-2,Indosat IM3,"23,000",18,1,1,6,0,0,39,3,30,0,0,0,21,9,1,28,1,4,2,4,5,4,6,5,22,8,,,,,,,,,,10,6,6,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A49E3FE-6BA5-4A3C-94B6-979254DFCC77,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362025,SMKS CITRA BANGSA MANDIRI PURWOKERTO,20362025,"Jl. Gerilya Barat Gg.1A- Tanjung, Kampoeng PendidikanCBM - Purwokerto",TANJUNG,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN CITRA BANGSA INDONESIA MANDIRI,AG6950,024/096/2010,17-02-2010,024/096/2010,17-02-2010,Silakan Upload SK (link file tidak valid) => [320120-897479--],2020-08-24 20,A,"8,430",1. Biznet (Serat Optik),2. Telkom Speedy,PLN,,02817771967,smkcbmofficial@gmail.com,http,-7.438146700000,109.225256700000,55,114,742,33,SMK 2013 REV. Asisten Keperawatan,Sehari Penuh/5 hari,,2022/2023-2,Biznet (Serat Optik),"45,000",25,2,1,28,0,0,59,6,55,0,0,0,20,35,0,42,13,11,16,9,7,7,1,4,19,36,,,,,,,,,,13,9,11,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A0AA2D3-6774-4370-9B68-7A7C61ECACC8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20330443,SMKS DIPONEGORO 1 PURWOKERTO,20330443,"JL. KARANGBENDA RAYA, BERKOH, PURWOKERTO SELATAN TELP. (0281) 623407",BERKOH,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al Hidayah Purwokerto,AJ8966,575/YAC/7/P/X/1987,22-10-1987,460/I03.02.B/I.88,12-01-1988,Silakan Upload SK (link file tidak valid) => [415417-10716--],2021-01-30 10,C,"3,364",1. -,2. Telkom Speedy,PLN,19880530,0281623407,smkdiponegoro1.pwt@gmail.com,http,-7.444100000000,109.259600000000,11,52,33,9,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"4,400",5,0,0,2,0,0,9,3,11,0,0,0,4,7,2,9,0,3,2,2,0,2,2,0,6,5,,,,,,,,,,3,3,3,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B4348922-729E-4E10-9EC6-61DC670E6E40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69756323,SMKS MAARIF NU 1 PURWOKERTO,69756323,JALAN PERUM GRIYA TELUK BARU NO.1 PAMUJAN,TELUK,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan LP MAARIF NU JAWATENGAH,AI4033,048 Tahun 2012,20-01-2012,048 TAHUN 2012,20-01-2012,Lihat SK Operasional,2023-03-02 06,B,"5,300",1. Lainnya,2. Telkom Speedy,PLN,,0281628619,smkmaarifpamujan@gmail.com,smkmanusapwt.sch.id,-7.457360000000,109.245621700000,10,58,52,6,SMK 2013 REV.  Tata Boga,Pagi/6 hari,,2022/2023-2,Lainnya,"2,200",5,0,1,2,0,0,8,4,10,0,0,0,0,10,0,6,4,5,3,1,0,1,0,0,3,7,,,,,,,,,,2,2,2,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB020E3E-FF61-4311-9A9F-7099F6F8FC06,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20301898,SMKS MUHAMMADIYAH 3 PURWOKERTO,20301898,JL. KH. WACHID HASJIM NO. 271 PURWOKERTO,KARANGKLESEM,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Tengah,AO5350,0947/103/I/1997,04-06-1997,0947/103/I/97,04-06-1997,Lihat SK Operasional,2019-09-23 12,B,"3,906",1. Telkom Astinet,2. Telkom Speedy,PLN,0281638776,0281638776,smkmuh_3@yahoo.com,http,-7.448620000000,109.242855000000,42,404,218,24,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Sehari Penuh/5 hari,,2022/2023-2,Telkom Astinet,35,24,0,1,2,0,0,33,11,42,0,0,0,17,25,1,35,6,11,10,6,3,5,4,3,18,24,,,,,,,,,,9,7,8,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43B929EA-7295-4DF5-B2E6-86FA264743AA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302130,SMKS NASIONAL PURWOKERTO,20302130,JL.KH.WAHID HASYIM NO.93 PURWOKERTO,KARANGKLESEM,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Nasional,AD8292,1057/I.03/I/93,30-06-1993,1057/I.03/I/93,30-06-1993,Lihat SK Operasional,2019-09-23 15,A,"3,743",1. -,2. Telkom Speedy,PLN,0281631952,0281631952,spmnasionalpwt@gmail.com,http,-7.441783300000,109.245331700000,31,253,38,11,SMK 2013 REV.  Teknika Kapal Niaga,Pagi/6 hari,,2022/2023-2,Tidak Ada,"52,000",19,3,1,6,0,0,41,0,31,0,0,0,16,15,0,28,3,0,3,0,6,4,11,7,19,12,,,,,,,,,,4,3,4,0
Jawa Tengah,Kab. Banyumas,Purwokerto Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/504C6D37-66F4-43C2-9449-A2DF0406B64F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20301927,SMKS SWAGAYA 2 PURWOKERTO,20301927,JL. PROF. MR. MUCH YAMIN XI/4 PURWOKERTO,KARANGKLESEM,KEC. PURWOKERTO SELATAN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan Mardisiswa,AD8268,469/103/I/94,16-04-1994,469/103/I/94,16-04-1994,Lihat SK Operasional,2017-03-02 14,A,"2,225",1. Telkom Astinet,2. Telkom Astinet,PLN,02816845010,02816845010,smkswagayadua@yahoo.co.id,http,-7.444948300000,109.237205000000,14,76,138,9,SMK 2013 REV. Teknik Pendinginan dan Tata Udara,Sehari Penuh/5 hari,,2022/2023-2,Telkom Astinet,"11,000",11,0,1,5,0,0,18,0,14,0,0,0,6,8,0,13,1,5,2,2,0,2,3,0,3,11,,,,,,,,,,3,3,3,0
