prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1BFDDF8-1EC6-4E88-B0ED-C0006B425E1E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816412,MAS ASH-SHUFIYAH,10816412,JL. WR. SUPRATMAN NO. 67,KAUMAN,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,MA,Kementerian Agama,,,KEP.1872/PP.03.2/2000,23-10-2000,KEP.1872/PP.03.2/2000,23-10-2000,Lihat SK Operasional,2019-12-23 11,B,"11,778",,2.,,,,,,-1.852800000000,109.965200000000,0,19,5,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E954C6A8-12E0-4222-9FC5-111571C2A74F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888687,SMA AL-BAITUL ATIIQ,69888687,JL. RAHADI ISMAIL Desa Padang,PADANG,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan SMA Al-Baitul Atiiq,AC2246,SK-35/YY-ABA/KTP/I/2014,07-01-2014,NO.05 TAHUN 2014,09-06-2014,Lihat SK Operasional,2020-08-25 09,B,"2,500",1. -,2. Telkom Speedy,PLN,,,sma.albaitulatiiq2014@yahoo.co.id,,-1.890600000000,109.997900000000,22,161,202,12,Pagi/6 hari,,2022/2023-2,"2,000",5,0,1,0,1,0,6,16,21,0,1,0,1,21,0,15,7,7,7,5,2,1,0,0,10,12,SMA 2013 IPS,Tidak Ada,4,4,4,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C91E2C2B-8484-4B5F-AFDC-60A64E776AF6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70000813,SMA DARUL IBTIDA I,70000813,JL. SUNAN KALIJAGA RT.003/RW.001,MEKAR SARI,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN HUBBUT THOHA,AO5226,04,16-06-2015,503/01/IPM/DPMPTSP-C.I/II/2020,17-02-2020,Lihat SK Operasional,2020-03-09 14,C,"1,800",1. -,2. Telkom Speedy,PLN,,,smadarulibtidai27@gmail.com,,-1.847842500000,109.919247700000,11,69,65,4,Siang/6 hari,,2022/2023-2,"2,999",4,0,0,1,0,0,4,8,11,0,0,0,0,11,0,0,11,5,1,3,1,1,0,0,7,4,SMA 2013 MIPA,Tidak Ada,1,1,2,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/435FB4D8-AFDC-45D4-87DE-7C501163CB1C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30103481,SMAN 2 KETAPANG,30103481,JL. WOLTER MONGINSIDI NO 9 KETAPANG,KAUMAN,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0298/O/1982,,,,Silakan Upload SK,,A,"19,958",1. -,2. Lainnya (Serat Optik),PLN,,,smanda2ketapang@gmail.com,http,-1.850706700000,109.959905000000,46,381,377,24,Sehari Penuh/5 hari,,2022/2023-2,"17,000",24,3,1,6,33,1,0,12,14,0,16,16,30,16,0,43,3,2,7,6,14,6,4,7,17,29,SMA 2013 IPS,Tidak Ada,9,7,8,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E590065-8233-4AC0-B388-86425A28BB3A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30110089,SMAN 4 KETAPANG,30110089,JL. SYARIF HASAN,KINJIL PESISIR,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,422/38/Dikmen/2011,05-06-2011,422/38/Dikmen/2011,05-06-2011,Lihat SK Operasional,2019-09-16 10,B,"10,498",1. -,2. Lainnya (Serat Optik),PLN,,05343033981,smanegeri4ketapang@gmail.com,http,-1.872100000000,109.970400000000,32,124,115,11,Sehari Penuh/5 hari,,2022/2023-2,"1,400",15,2,1,2,19,1,0,12,13,0,14,5,14,18,0,29,3,4,6,9,5,6,1,1,9,23,SMA 2013 MIPA,Tidak Ada,3,4,4,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC3A19B3-2832-4BBD-999E-FAA3CCD3B3BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30107832,SMAS BHAKTI KARYA,30107832,Jl Pematang Kayu Are,NEGERI BARU,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN BHAKTI KARYA KETAPANG,AC2227,250/I14/Kep/1997,28-07-1997,Menteri Pendidikan dan Kebudayaan,28-07-1997,Lihat SK Operasional,2016-08-30 06,C,"8,928",1. -,2. Lainnya (Satelit),PLN & Diesel,,,sma_bhaktikarya@yahoo.com,,-1.856791700000,110.015000000000,12,7,11,3,Sehari Penuh/5 hari,,2022/2023-2,0,3,0,0,1,1,0,3,8,11,0,1,0,2,10,0,8,4,2,4,3,1,1,1,0,6,6,SMA 2013 IPS,Tidak Ada,1,1,1,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2E8F456-889C-4F03-8B34-F807B52B50DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30112114,SMAS MA ARIF,30112114,JL. PULAU SERIBU GG. PONTREN,KAUMAN,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al-Khairat Ketapang Kayong,AC2248,422/376/Dikmen/2012,13-07-2010,422/376/Dikmen/2012,13-07-2010,Lihat SK Operasional,2016-03-24 15,B,"4,020",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,sma.maarif@yahoo.com,http,-1.857056700000,109.961825000000,14,92,110,6,Siang/6 hari,,2022/2023-2,"5,000",6,0,0,10,0,1,12,2,14,0,0,0,0,14,1,11,2,6,3,1,3,0,1,0,6,8,SMA 2013 IPS,Telkomsel Flash,2,2,2,
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE69BD2E-8AE1-4666-8911-4F8F619F8F0C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895685,SMK AL-FADHILAH,69895685,Jln. Pendidikan,KAUMAN,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan DARUL FADHILAH,AC2244,117 Tahun 2014,19-09-2014,117 Tahun 2014,19-09-2014,Lihat SK Operasional,2022-07-28 09,C,"16,940",1. -,2. Lainnya (Kabel),PLN,,,smkalfadhilah@gmail.com,http,-1.855200000000,109.957000000000,13,99,85,8,Pagi/6 hari,,2022/2023-2,900,9,0,1,0,0,0,8,6,13,0,0,0,0,13,0,6,7,8,3,2,0,0,0,0,2,11,SMK 2013 REV.  Tata Busana,Tidak Ada,3,2,3,0
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F737A74-AC00-4ACC-BC21-B2A38677BCBD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30103488,SMKN 1 KETAPANG,30103488,JL. WOLTER MONGINSIDI 40 KETAPANG,BARU,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,207/0/1980,,,,Silakan Upload SK,,B,"15,295",1. -,2. Lainnya (Serat Optik),PLN,053431380,053431380,smkn1ketapang.kalbar@gmail.com,http,-1.848950000000,109.958271700000,86,777,995,56,Sehari Penuh/6 hari,,2022/2023-2,"44,997",37,0,1,8,36,4,0,46,51,0,26,9,29,57,1,76,9,21,19,14,9,12,4,7,29,57,SMK 2013 REV.  Usaha Perjalanan Wisata,Tidak Ada,19,19,18,0
Kalimantan Barat,Kab. Ketapang,Benua Kayong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3936F8EB-68DA-4D59-8C4F-CD5D46A7E9D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69831630,SMKS AL-MUJAHIDIN,69831630,Jl. pinang jaya.pematang pinang,MEKAR SARI,KEC. BENUA KAYONG,KAB. KETAPANG,PROV. KALIMANTAN BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AL-MUJAHIDIN KETAPANG KAYONG,AC2251,451.49/013/YAM.2/KTP/2014,20-03-2014,NOMOR 06 TAHUN 2014,21-05-2014,Lihat SK Operasional,2020-08-24 19,C,"5,580",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,almujahidinsmk@yahoo.co.id,,-1.877600000000,110.005000000000,8,27,21,3,Pagi/6 hari,,2022/2023-2,"2,700",3,1,0,0,0,1,8,0,8,0,0,0,1,7,2,5,1,3,2,3,0,0,0,0,5,3,SMK 2013 REV. Multimedia,Telkomsel Flash,1,1,1,0
