prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A088E23A-033C-E111-8D3C-1FC7E574DFE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301154,SLB NEGERI BENPASI,50301154,SISINGAMANGARAJA,BENPASI,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,422/99/PK/2007,24-04-2007,422/99/PK/2007,24-04-2007,Lihat SK Operasional,2019-05-09 12,,"7,500",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,slbnegeri.benpasittu@gmail.com,http,-9.461438300000,124.476196700000,32,83,50,25,Pendidikan Khusus SMALB 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"5,900",10,0,1,0,11,5,0,16,25,3,4,0,3,29,0,21,11,1,13,8,3,1,1,5,8,24,3,3,2,1,1,4,4,2,2,1,1,1,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62C98A32-C897-4A52-9D7A-0748773375DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50307412,SMA FIDES QUAERENS INTELLECTUM,50307412,JL.EL TARI KM.7 SASI,SASI,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Betlehem Frankoni Kefamenanu,AM5429,F/5/YB/BB/PH/2006,05-03-2006,1529 TAHUN 2009,21-12-2009,Lihat SK Operasional,2023-02-07 14,Sertifikat Kedaluwarsa,"9,710",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,jose.smakfides@gmail.com,http,-9.504600000000,124.492200000000,18,84,86,7,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"6,000",9,1,1,2,0,0,13,6,18,0,0,0,3,15,0,14,4,6,5,3,1,1,0,2,11,7,,,,,,,,,,2,3,2,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB913ED9-DF7B-439A-8560-3F8D409FAD0C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69969250,SMA KRISTEN PETRA,69969250,JALAN MAYJEND. EL TARI,KEFAMENANU SELATAN,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN KRISTEN HITI KEFA,AM5435,02/KEP/Pengurus YPK-GMIT/C/April/2016,20-04-2016,848/312/Pend/2017,18-10-2017,Lihat SK Operasional,2017-11-07 13,C,"7,820",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smakrispetrakefa@gmail.com,,-9.470600000000,124.482900000000,14,110,119,9,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",2,3,1,4,0,2,13,1,14,0,0,0,2,12,1,10,3,7,4,3,0,0,0,0,4,10,,,,,,,,,,3,3,3,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/931C628D-4E9C-4726-AA67-5C71F9350B50,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69849076,SMA NEGERI 3 KEFAMENANU,69849076,"Jln. Vetor SnoE Lake, Kelurahan Bansone 85615",BANSONE,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,Pend.422/900/VII/PPO/TTU/2017,17-07-2017,Pend.422/770/VI/PPO/TTU/2014,12-06-2014,Lihat SK Operasional,2019-10-29 09,B,"23,850",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smankefamenanu15@gmail.com,http,-9.443326700000,124.465576700000,22,70,70,6,SMA 2013 MIPA,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,"6,400",0,1,0,2,4,3,0,15,18,1,3,0,3,19,0,20,2,4,6,4,3,1,1,3,7,15,,,,,,,,,,2,2,2,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/79B2A1B1-8BC2-4FBE-94EF-8A16F3890E4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301006,SMAN 1 KEFAMENANU,50301006,JL. SONBAY,KEFAMENANU SELATAN,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.5/15/DPMPTSP.4.3/03/2023,16-03-2023,421.5/15/DPMPTSP.4.3/03/2023,16-03-2023,Lihat SK Operasional,2023-03-27 08,Sertifikat Kedaluwarsa,"7,656",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,,sman1.kefamenanu@gmail.com,http,-9.456221700000,124.483278300000,48,328,491,24,SMA 2013 IPS,Sehari Penuh/6 hari,,2022/2023-2,Lainnya (Serat Optik),"1,500",19,5,0,4,24,7,0,17,24,0,14,10,25,23,0,45,3,4,10,9,5,11,5,4,18,30,,,,,,,,,,9,6,9,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89FB4247-5218-4AD4-A9C3-645DBBEE4390,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301005,SMAN 2 KEFAMENANU,50301005,JL. SASI KEFAMENANU,MAUBELI,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,13a/o/1998,29-01-1998,,01-01-1900,Silakan Upload SK (link file tidak valid) => [402710-316207--],2020-12-10 07,Sertifikat Kedaluwarsa,"35,090",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smanegeriduakefamenanu@gmail.com,,-9.487935000000,124.497770000000,52,328,432,24,SMA 2013 Bhs&Budaya,Sehari Penuh/6 hari,,2022/2023-2,Telkomsel Flash,"5,000",22,2,1,8,23,9,0,20,29,0,15,8,21,31,0,46,6,8,9,14,6,6,3,6,13,39,,,,,,,,,,8,8,8,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8CCA4984-CADD-44BC-B444-EEFBE6FB88FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69760655,SMAS DHARMA AYU,69760655,JLN. RAYA PAPIN INDAH KM 5 TTU,TUBUHUE,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Ayu Sarana Cerdas,AM5442,PEND.422/IV/PPO/TTU/2012,,,,Silakan Upload SK,,Sertifikat Kedaluwarsa,"2,488",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,ranggacamuda@yahoo.com,,-9.465096700000,124.511586700000,10,89,22,6,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Telkomsel Flash,"3,500",4,2,0,0,1,0,7,3,9,0,1,0,1,9,0,9,1,2,3,2,1,1,1,0,3,7,,,,,,,,,,2,2,2,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70618C2C-9218-4198-83C4-A56D157EC7D9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301009,SMAS K WARTA BAKTI,50301009,JL. ACHMAD YANI KEFAMENANU,KEFAMENANU SELATAN,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Snuna,AM5445,9765/1.21/MN/1995,31-08-1995,9765/I.21.9/MN/1995,01-07-1995,Lihat SK Operasional,2016-05-11 13,Sertifikat Kedaluwarsa,"348,100",1. Telkomsel Flash,2. Telkom Speedy,PLN,038831140,038831140,smakwartabakti@gmail.com,http,-9.459306700000,124.482151700000,19,159,346,19,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"4,400",16,3,1,2,7,1,13,2,12,0,6,1,8,11,0,18,1,0,4,3,3,3,3,3,12,7,,,,,,,,,,5,9,5,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B26BF925-2BE6-49DD-8E18-DD2E6CBB4565,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50309304,SMAS NURUL FALAH (PERSIAPAN),50309304,JLN.IMAM BONJOL,KEFAMENANU TENGAH,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM BABUSSALAM,AM5451,,,,,Silakan Upload SK,,Sertifikat Kedaluwarsa,"1,209",1. Telkom Speedy,2. Telkom Speedy,PLN,31455,31455,smanurulfalahkefamenanu@gmail.com,,-9.446908300000,124.477336700000,12,32,21,2,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,298",13,0,1,0,1,0,5,6,11,0,0,1,1,11,0,9,3,1,4,2,2,1,0,2,6,6,,,,,,,,,,0,0,2,
Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kota Kefamenanu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/486140D2-037B-4DF6-B094-B07F02B2523F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50301008,SMAS PELITA KARYA,50301008,JL. MAYJEND. EL TARI KEFA,BENPASI,KEC. KOTA KEFAMENANU,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PELITA KARYA,AM5447,7636/C.13/PK/72,04-09-1972,421.5/70/DPMPTSP.4.3/09/2022,06-09-2022,Lihat SK Operasional,2023-03-15 14,Sertifikat Kedaluwarsa,"3,375",1. Telkomsel Flash,2. Telkom Astinet,PLN & Diesel,,03882430006,Pelitakaryasmas@gmail.com,,-9.456243300000,124.478088300000,15,138,112,10,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"3,300",13,1,1,0,1,0,3,11,14,0,1,0,3,12,0,11,4,3,5,1,2,0,2,2,8,7,,,,,,,,,,3,4,3,
