prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A59EAAC6-D1DA-4F11-AEE2-348AAB7E14C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60730019,MAS ASY-SYAFI`IYAH,60730019,JALAN PIPIT,KALI HARAPAN,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,MA,Kementerian Agama,,,103,15-01-1986,2302/KW.26/P1.1/PP.00/10/2016,11-10-2016,Lihat SK Operasional,2020-01-21 11,B,0,,2.,,,,,,-3.357500000000,135.525300000000,0,28,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB054AF6-7370-4980-9182-EDFBF181C0D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038503,SLB Kristus Sahabat Kita,70038503,Jl. Jenderal Sudirman RT. 012/RW. 004,MORGO,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan kristus sahabat kita,AX1893,503/586/02/III/DPMTSP-NBR/2023,17-03-2023,503/588/08/III/DPMPTSP-NBR/2023,17-03-2023,Lihat SK Operasional,2023-04-05 13,,2.498 m2,1.,2.,,,,,,.000000000000,.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D024A741-31F5-E011-81E1-D51AE5BFF75A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60303812,SLB PETRA NABIRE,60303812,Jl. Petra Kelurahan Siriwini Nabire 98818,SIRIWINI,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Harapan Nusantara Doutou Papua,AC8809,1237/I 18 f/I/92,08-10-1992,17,08-10-1992,Lihat SK Operasional,2021-09-01 07,,"2,500",1. -,2. Telkomsel Flash,PLN,082238444376,,johanestopurtawinbx@gmail.com,,-3.339400000000,135.522400000000,15,109,105,26,Pagi/6 hari,,2022/2023-2,"1,299",25,0,1,0,7,0,7,2,8,2,5,0,6,9,0,10,5,3,2,2,1,2,4,1,1,14,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Tidak Ada,2,2,2,2,2,2,2,2,2,4,2,2,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE9E1558-8BD5-4D87-A701-4FB9D39C3F92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301889,SMA Advent Nabire,60301889,Jl. Kusuma bangsa,NABARUA,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,425/4647/2002,26-11-2002,425/4647/2002,11-06-2002,Lihat SK Operasional,2023-01-31 09,B,"4,900",1. -,2. Lainnya (Satelit),PLN,,098425298,adventnabiresma@gmail.com,http,-3.355550200000,135.510821400000,10,69,55,6,Sehari Penuh/5 hari,,2022/2023-2,"1,500",6,1,0,2,3,0,3,6,7,0,3,0,5,5,0,9,1,0,2,4,0,2,0,2,5,5,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,2,2,2,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C883D748-5D1F-4306-85E4-301AE25749AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301891,SMA Al-Madina,60301891,Jl. Perintis,WONOREJO,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PONDOK PESANTREN DAARUL FIKRI,AC8781,03/YAMN/VII/2004,15-07-2004,800/607/SK/V/2015,15-07-2004,Lihat SK Operasional,2022-01-17 15,A,"12,800",1. Telkomsel Flash,2. Telkom Speedy,PLN,,2721017,smaalmadina@gmail.com,http,-3.391800000000,135.483100000000,11,32,59,4,Sehari Penuh/6 hari,,2022/2023-2,"22,000",8,3,1,2,5,0,3,3,6,0,3,2,5,6,0,9,2,1,4,1,2,1,1,1,4,7,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,1,2,1,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C85252D2-8773-4FE0-B112-DA6AF571322F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60300808,SMA Bhakti Mandala Nabire,60300808,Jl. Gagak,SIRIWINI,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BHAKTI MANDALA,AM5818,234/118.g/R6/90,28-02-1990,234/118.g/R6/90,28-02-1990,Lihat SK Operasional,2015-08-31 12,A,"10,000",1. -,2. Lainnya (Serat Optik),PLN,,,smabhaktimandala@gmail.com,,-3.347720000000,135.526523300000,19,83,39,6,Pagi/6 hari,,2022/2023-2,"4,000",10,3,1,2,15,0,6,0,5,0,13,1,10,9,0,18,1,1,0,3,10,3,2,0,9,10,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,2,2,2,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7E03FAD-06AC-493E-8FFA-54B1EC9239D1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301892,SMA Kristen Anak Panah Nabire,60301892,Jl.  Christina Martha Tiahahu,KALI BOBO,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PESAT NABIRE,AM5803,007/sk/pcn/2004,23-10-2005,421.5/444/2004,10-01-2005,Lihat SK Operasional,2021-06-12 09,A,"1,225",1. -,2. Lainnya (Serat Optik),PLN,,09842721321,smakap.nbr@gmail.com,smaanakpanahnabire.sch.id,-3.373218300000,135.478366700000,24,109,130,10,Sehari Penuh/5 hari,,2022/2023-2,"11,000",12,1,1,2,6,0,11,8,19,0,5,0,8,16,0,18,6,3,7,4,6,3,1,0,11,13,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,4,3,3,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F4AFA23-33E9-44D3-AE82-AA53467B6BD4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301893,SMA Muhammadiyah Nabire,60301893,Jl. Panti Asuhan,WONOREJO,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Nabire,AC8775,A2/SK/003/1990,04-02-1990,425/457/2013,04-02-1990,Lihat SK Operasional,2015-09-15 15,B,"10,000",1. Lainnya (Satelit),2. Lainnya (Serat Optik),PLN,,,smamuhammadiyah877@yahoo.com,http,-3.384865900000,135.491065600000,17,26,16,5,Pagi/6 hari,,2022/2023-2,"5,498",7,1,1,2,10,0,1,6,8,0,5,4,10,7,0,13,4,3,3,1,2,3,4,1,5,12,,SMA 2013 IPS,Lainnya (Satelit),,,,,,,,,,2,2,1,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/791B7F95-01DA-4756-8761-0E25939E83E7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60300796,SMA Negeri 1 Nabire,60300796,Jl. RE Martadinata,NABARUA,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0299/0/1978,15-09-1978,0299/0/1978,15-09-1978,Lihat SK Operasional,2020-11-26 13,A,"17,839",1. Lainnya (Serat Optik),2. Telkom Astinet,PLN,098421313,098421313,smasatunabire@gmail.com,http,-3.352777800000,135.510000000000,53,474,530,30,Pagi/6 hari,,2022/2023-2,"53,000",24,3,3,0,36,2,1,14,22,0,14,17,28,25,0,46,7,6,7,9,7,4,8,12,17,36,,SMA 2013 MIPA,Lainnya (Serat Optik),,,,,,,,,,10,10,10,
Papua Tengah,Kab. Nabire,Nabire,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/98465876-2B72-49D1-9FEA-A404CE6D5160,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60301896,SMA Negeri 3 Nabire,60301896,Jl Padat Karya Sanoba,SANOBA,KEC. NABIRE,KAB. NABIRE,PROV. PAPUA TENGAH,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,54,31-03-2005,,31-03-2005,Lihat SK Operasional,2022-03-27 00,A,"24,649",1. Lainnya (Kabel),2. Lainnya,PLN,,,sman3nabirepapua@gmail.com,http,-3.332778300000,135.531246700000,52,372,416,24,Pagi/6 hari,,2022/2023-2,"6,600",25,3,1,4,22,7,0,23,33,0,15,4,20,32,0,41,11,19,8,5,11,5,1,3,21,31,,SMA 2013 IPS,Lainnya (Kabel),,,,,,,,,,9,8,7,
