prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE5D6997-47FD-483E-985B-AAC061D4225B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816323,MAS AL IKHLAS,10816323,Jl.Merdeka No. 357 Braja Sakti,BRAJA SAKTI,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,MA,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Lampung,AX6271,11/MA/LT/85,14-10-1985,11/MA/LT/85,14-10-1985,Lihat SK Operasional,2020-12-22 06,C,0,,2.,,,,,,-5.246323000000,105.767292000000,0,22,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D86C5953-8A4F-4F02-9DF1-7C47FC7BBDC6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816325,MAS AL IMAN,10816325,Labuhan Ratu Satu,LABUHAN RATU SATU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,MA,Kementerian Agama,,,Wh/6/PP.00.6/19/2003,13-01-2003,Wh/6/PP.00.6/19/2003,08-01-2003,Lihat SK Operasional,2019-11-28 08,C,0,,2.,,,,,,-5.214588000000,105.701945000000,0,29,44,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16320A93-35E2-44E7-8146-18BED3F95E6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10816324,MAS MUALIMIN AL ISLAM,10816324,Jalan Pramuka,LABUHAN RATU SATU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,MA,Kementerian Agama,,,D/Kw/MAS/LTim/0002/2011,15-04-2011,D/Kw/MAS/LTim/0002/2011,15-04-2011,Lihat SK Operasional,2017-12-12 10,C,"4,940",,2.,,,,,,-5.250454000000,105.759406000000,0,20,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AF50BC5-875F-4943-B4F9-94F1F939BEE2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038510,SMA DARUSSALAMAH DIGITAL TECHNOLOGY BOARDING SCHOOL,70038510,JL. Ponpes Darussalamah,BRAJA DEWA,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN DARUSSALAMAH BRAJA DEWA,AW8932,463/1505/A0001683/V.16/2023,10-03-2023,463/1505/A0001683/V.16/2023,10-03-2023,Lihat SK Operasional,2023-04-06 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E3C81DBD-C67F-42D1-A537-DFB5BE45AB46,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69950641,SMA TAHFIDZUL QUR AN AL MANNAN,69950641,Labuhan Ratu Baru Kecamatan Way Jepara,SRI REJOSARI,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPP TAHFIDZUL QURAN AL MANNAN,AF3334,420/1485/11.SK.01/2016,21-09-2016,420/1485/11.SK.01/2016,21-09-2016,Lihat SK Operasional,2020-08-28 20,C,"2,500",1. Lainnya,2. Lainnya,PLN,,,smatq.almannanwj@gmail.com,,-5.209033600000,105.721564400000,8,7,12,3,Pagi/6 hari,,2022/2023-2,"3,000",3,0,0,1,0,1,8,0,8,0,0,0,0,8,0,6,2,3,2,3,0,0,0,0,3,5,1,1,1,SMA 2013 MIPA,Lainnya,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/957E1FF8-405A-4C27-A1E6-D5427C11EB91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10806077,SMAN 1 WAY JEPARA,10806077,JL. PRAMUKA LABUHAN RATU I,LABUHAN RATU SATU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,0558/0/1984,04-07-1984,2817/V.01/DP.1C/2019,28-10-2019,Lihat SK Operasional,2019-11-01 15,A,0,1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,0725640026,0725640026,sman1wj_lampungtimur@yahoo.co.id,http,-5.172800000000,105.690700000000,58,384,648,30,Sehari Penuh/5 hari,,2022/2023-2,220,22,0,0,16,33,1,0,24,25,0,24,9,36,22,0,53,5,6,8,6,7,11,10,10,21,37,10,10,10,SMA 2013 MIPA,Telkomsel Flash,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45E8E5F4-2F7E-4291-AF63-3706C2B6E18C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10814042,SMAS MINHAJUTTULAB,10814042,JL. syuhada km 03 Des.Margayu Kel. Labuhan Ratu Satu Baru Kec Way Jepara,LABUHAN RATU BARU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PONDOK PESANTREN MINHAJUTH THULLAB,AF3348,420/731/II/SK.04/2008,08-07-2008,2817/V.01/DP.1C/2019,28-10-2019,Lihat SK Operasional,2019-11-01 15,B,"5,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,000000,,sma.minhajuttulab@gmail.com,https,-5.166400000000,105.725600000000,18,46,84,6,Pagi/6 hari,,2022/2023-2,"2,000",6,0,1,2,2,0,17,1,16,0,2,0,3,15,0,17,1,4,8,3,2,1,0,0,7,11,2,2,2,SMA 2013 IPS,Telkomsel Flash,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF0AD6B7-E32D-42FB-80C9-0E885F6FF9F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10805985,SMAS MUHAMMADIYAH 1 WAY JEPARA,10805985,JL. RAYA KM. 107 WAY JEPARA,LABUHAN RATU BARU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Lampung,AC1969,4190/II5/LP/1979,04-10-1979,302120408019,01-10-2003,Lihat SK Operasional,2020-08-25 14,A,"4,000",1. -,2. Telkom Speedy,PLN,,640851,smas.muhammadiyah1wayjepara@gmail.com,http,-5.174700000000,105.713500000000,18,50,44,6,Sehari Penuh/6 hari,,2022/2023-2,"4,400",12,2,2,3,1,1,21,2,17,0,1,0,9,9,0,13,5,8,2,2,4,1,0,1,7,11,2,2,2,SMA 2013 MIPA,Tidak Ada,
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B9A2A4B-61A6-469A-97EE-A6558A4631AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10806003,SMAS TELADAN WAY JEPARA,10806003,JL. PRAMUKA LABUHAN RATU 1,LABUHAN RATU SATU,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Teladan,AC2036,05/Pan./SMA.T/1985,01-12-1985,22251/I.12.G4/2000,14-10-2000,Lihat SK Operasional,2022-08-24 08,A,"6,664",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,0725641357,smateladan96@gmail.com,http,-5.171600000000,105.692800000000,31,184,198,11,Pagi/6 hari,,2022/2023-2,"10,600",14,3,1,4,4,2,24,10,27,0,4,0,13,18,0,30,1,4,3,9,5,3,6,1,7,24,4,3,4,SMA 2013 IPS,Lainnya (Serat Optik),
Lampung,Kab. Lampung Timur,Way Jepara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F44C8794-5453-4178-8EBB-4754C53544E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10806076,SMKS BHIMA SAKTI WAY JEPARA,10806076,PRAMUKA,LABUHAN RATU DUA,KEC. WAY JEPARA,KAB. LAMPUNG TIMUR,PROV. LAMPUNG,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Bhima Sakti Lampung,AF3327,125/KBP/YBS/I/2000,28-01-2000,223957112.B1/U/2000,05-06-2000,Lihat SK Operasional,2017-02-17 14,B,"4,161",1. Telkom Speedy,2. Telkom Speedy,PLN,,,bhimasaktismk@yahoo.co.id,http,-5.246000000000,105.626000000000,11,16,13,3,Pagi/6 hari,,2022/2023-2,"1,200",3,1,1,2,0,0,11,3,11,0,0,0,3,8,0,9,2,0,4,1,1,4,1,0,5,6,1,1,1,SMK 2013 REV. Teknik Komputer dan Jaringan,Telkom Speedy,0
