prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/645CFAF3-ACFA-43D5-98E9-106D5E8EDAB6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038404,SMA KATOLIK HATI KUDUS YESUS WEE KOMBAKA,70038404,"Jln. Wee Kombaka, Desa kombaka, Kecamatan Wewewa Barat",WEE KOMBAKA,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN NUSA CENDANA,AJ4094,21.b/23/SK/I.A4/YPNC/III/2022,21-03-2022,421.5/10/DPMPTSP.4.3/02/2023,24-02-2023,Lihat SK Operasional,2023-04-04 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BD426ED-D259-4E1E-A1E2-78DB44FC8767,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69968986,SMA KATOLIK ST. GERARDUS MAYELLA,69968986,DESA KALEMBU WERI,KALEMBU WERI,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN NUSA CENDANA,AJ4094,12/KEP/HK/2016,16-04-2016,848/280/Pend/2017,28-08-2017,Lihat SK Operasional,2023-03-09 05,C,"14,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smakst16.gema@yahoo.com,,-9.515300000000,119.190300000000,15,131,150,11,Pagi/6 hari,,2022/2023-2,"3,900",11,1,0,2,0,0,13,2,15,0,0,0,0,15,0,6,9,8,6,1,0,0,0,0,5,10,5,4,2,SMA 2013 IPS,Telkomsel Flash,
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A767C88D-5BE4-4518-9083-4AF63AD11B80,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895840,SMA WAIMANGURA,69895840,Puu Mawo,WAIMANGURA,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tunas Timur,AH8174,08 TAHUN 2015,04-04-2015,14 TAHUN 2015,04-04-2015,Silakan Upload SK (link file tidak valid) => [318532-97437--],2020-08-24 19,C,"10,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smawaimangura@gmail.com,,-9.520600000000,119.250900000000,11,159,139,3,Pagi/6 hari,,2022/2023-2,"1,300",0,1,0,1,0,0,0,11,11,0,0,0,0,11,0,3,8,7,3,1,0,0,0,0,3,8,1,1,1,SMA 2013 IPS,Telkomsel Flash,
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/188816E5-ABE5-4505-AC7B-848D7ACB8660,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69896150,SMA WALI ATE,69896150,WALI ATE,WALI ATE,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tunas Timur,AH8174,08 TAHUN 2015,04-04-2015,14 TAHUN 2015,04-04-2015,Lihat SK Operasional,2015-06-08 07,,"10,433",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smawaliate@gmail.com,,-9.501600000000,119.164600000000,9,177,131,6,Pagi/6 hari,,2022/2023-2,"5,000",5,0,0,0,0,0,2,9,9,0,0,0,0,9,0,5,4,2,5,2,0,0,0,0,3,6,2,2,2,SMA 2013 MIPA,Telkomsel Flash,
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82C61373-8148-4536-93C1-B2FBE36F3648,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70005384,SMK DEO GLORIAM WANNO MUTTU,70005384,WANNO MUTTU,LAGA LETE,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN DEO GLORIAM SUMBA BARAT DAYA,AX0107,03/SK/YASPENDEG/SBD/VI/2020,20-05-2020,DPMPTSP.421.5/14/PTSP/X/2020,13-10-2020,Lihat SK Operasional,2021-08-15 15,,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN & Diesel,,,dappalokajr91@gmail.com,,-9.534030000000,119.230921200000,11,56,66,6,Pagi/6 hari,,2022/2023-2,0,4,0,0,0,0,0,12,2,11,0,0,0,0,11,0,3,8,7,3,1,0,0,0,0,3,8,2,2,2,SMK 2013 REV.  Agribisnis Ternak Ruminansia,Telkomsel Flash,0
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D66C2F2-C663-4406-99A3-57027F10453E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69933884,SMK NEGERI 3 WEWEWA BARAT,69933884,JLN KALEMBU WERI,KALEMBU WERI,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,Nomor 450 Tahun 2015,15-11-2015,Nomor 450 Tahun 2015,15-10-2015,Lihat SK Operasional,2016-02-24 10,B,"15,000",1. Telkom Speedy,2. Telkom Speedy,PLN,,,smknegeri3wewewabarat@gmail.com,,-9.514700000000,119.201800000000,30,223,230,14,Pagi/6 hari,,2022/2023-2,"1,400",15,0,0,1,4,4,0,22,26,0,3,1,4,26,0,28,2,5,13,6,3,2,1,0,20,10,5,5,4,SMK 2013 REV. Agribisnis Tanaman Pangan dan Hortikultura,Telkom Speedy,0
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38514711-0378-4E6E-AF45-651A749C6E71,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895849,SMK SOLID,69895849,Jl. Bukit Zaitun Desa Kalembu Tillu Kecamatan Wewewa Barat,KALEMBU TILU,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tunas Timur,AH8174,08 TAHUN 2015,04-04-2015,14 TAHUN 2015,04-04-2015,Lihat SK Operasional,2019-11-12 08,C,"9,600",1. Telkomsel Flash,2. Telkom Speedy,PLN & Diesel,,,smksolid2015@gmail.com,http,-9.555900000000,119.256000000000,14,84,85,5,Siang/6 hari,,2022/2023-2,900,0,0,0,0,0,0,8,7,14,0,0,0,0,14,0,6,8,9,4,1,0,0,0,0,6,8,3,1,1,SMK 2013 REV. Asisten Keperawatan,Telkomsel Flash,0
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3244B1A0-639D-4AF9-86C5-458B2545B8E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69727076,SMKN 1 WEWEWA BARAT,69727076,JLN. LINTAS WEETABULA,WAIMANGURA,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,264,22-07-2003,22/XII/SB/2004,22-07-2003,Silakan Upload SK (link file tidak valid) => [444846-869324--],2021-05-11 09,Sertifikat Kedaluwarsa,"26,400",1. Telkom Speedy,2. Telkom Speedy,PLN,,,smkn1_webat@yahoo.co.id,,-9.502500000000,119.228200000000,50,555,208,23,Pagi/6 hari,,2022/2023-2,"2,200",19,1,1,6,22,7,1,20,31,2,15,2,17,33,5,37,8,6,16,11,7,4,4,2,32,18,8,8,7,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Telkom Speedy,0
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DDD04066-9A41-4CA4-9EDE-1FD33A8B0747,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69727077,SMKN 2 WEWEWA BARAT,69727077,JLN MIKKU ATE,WAIMANGURA,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,19,04-07-2011,495/KEP/HK/2013,13-12-2013,Lihat SK Operasional,2015-02-18 11,C,"40,500",1. Lainnya (Satelit),2. Telkomsel Flash,PLN & Diesel,,,smknegeriduawewewabarat@yahoo.co.id,,-9.518100000000,119.248800000000,51,517,344,27,Pagi/6 hari,,2022/2023-2,"9,100",20,4,1,8,20,12,0,19,36,1,10,4,18,33,1,48,2,7,17,15,5,5,1,1,24,27,8,10,9,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Lainnya (Satelit),0
Nusa Tenggara Timur,Kab. Sumba Barat Daya,Wewewa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A9DC3C33-444B-4473-8A8A-DFC5E49910F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888514,SMTK SETIA SUMBA,69888514,Jl. Simpang Wano Roto,WAIMANGURA,KEC. WEWEWA BARAT,KAB. SUMBA BARAT DAYA,PROV. NUSA TENGGARA TIMUR,SWASTA,SMTK,Kementerian Agama,YAYASAN KASIH SETIA INDONESIA,AX6209,DJ.III/KEP/HK005/162/2012,30-03-2012,DJ.III/KEP/HK005/162/2012,30-03-2012,Silakan Upload SK,,B,"3,010",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,smtksetia_sumba@yahoo.com,,-9.498300000000,119.222400000000,18,61,116,6,Pagi/6 hari,,2022/2023-2,"1,300",3,0,1,2,2,0,11,5,17,0,1,0,0,18,0,14,4,4,2,6,3,1,1,1,9,9,,,,SMA 2013 IPS,Telkomsel Flash,
