prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6D7C8017-898B-434B-AAB1-2F9B83DFA67B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69994136,MA ACHZABULLAH,69994136,"JL RAYA TETEAN, DUSUN TETEAN 69261",RABIYAN,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,0,05-01-2019,0,05-01-2019,Silakan Upload SK,,,"2,018",,2.,,,,,,.000000000000,.000000000000,0,38,31,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/12F3BEB0-D94E-48AE-BD8B-A524E33958DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584533,MAS AL KHOTIBI,20584533,JL KH ZAINI SYABROWI NO 125  DESA KETAPANG LAOK,KETAPANG LAOK,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.925999000000,113.270749000000,0,7,27,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A2CAA89F-0391-4D2D-BAA0-FBCE6A59553B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584539,MAS ANNAHRAWIYAH ASSYAFIIYAH,20584539,JL SUMBER PAYUNG PAOPALE LAOK,PAOPALE LAOK,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/3128/2007,28-09-2007,MAS / 27.0045 / 2016,03-06-2016,Lihat SK Operasional,2020-01-08 14,B,0,,2.,,,,,,-6.924200000000,113.238200000000,0,42,47,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/903CCB42-DDE5-4AC6-87A1-EE15A6DC09E1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584552,MAS DARUSSALAM,20584552,Jl. Raya Bunten Barat,BUNTEN BARAT,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Yayasan Darussalam Al Faisholiyah,AL8622,MAS/27.0046/2016,03-06-2016,MAS/27.0046/2016,03-06-2016,Silakan Upload SK (link file tidak valid) => [314195-362328--],2020-08-21 13,A,"4,078",,2.,,,,,,-6.944500000000,113.296100000000,0,69,71,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08608076-1471-4158-9499-934D9A38EF81,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728145,MAS Miftahul Ulum An-Nashar,60728145,Jl. Sumber Kembang Dsn. Tajjan Timur,PANCOR,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Nomor; MAS/27.0072/2016,03-06-2016,Nomor,03-06-2016,Lihat SK Operasional,2020-01-06 11,B,0,,2.,,,,,,-6.905472000000,113.266063000000,0,47,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/697B27D0-644D-49E0-B704-03438F4DBB17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728146,MAS MISBAHUL MUNIR,60728146,DESA RABIYAN,RABIYAN,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.897886000000,113.228579000000,0,81,57,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2F62A60-C136-4984-8C25-F82BCFBB06B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584578,MAS NAZHATUT MUTA`ALLIMIN,20584578,DESA SUMBER GUA KETAPANG LAOK,PAOPALE LAOK,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/27.0047/2016,01-06-2002,MAS/27.0047/2016,03-06-2006,Lihat SK Operasional,2020-08-24 20,B,0,,2.,,,,,,-6.925800000000,113.290400000000,0,34,31,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FA48A8FB-1C62-4E5E-A6B0-149D311AEB15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584580,MAS NURUL FALAH,20584580,DESA DEMPOL BARAT,BIRA BARAT,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.900786000000,113.272311000000,0,30,15,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/87D6FD9B-4A51-4409-9281-DDF5D065179E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20579928,MAS RAUDLATUL MUBTADIN,20579928,JL.EMBONG LURUS  DS.KETAPANG LAOK  KEC.KETAPANG,KETAPANG LAOK,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [565705-930117--],2022-01-07 05,B,0,,2.,,,,,,-6.938493000000,113.255130000000,0,19,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sampang,Ketapang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C34E4FBC-8F15-454A-83F5-055153B600D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20549262,SMAN 1 KETAPANG,20549262,JL. RAYA BANYUATES - KETAPANG - SAMPANG,RABIYAN,KEC. KETAPANG,KAB. SAMPANG,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0216/0/1992,05-05-1992,0216/0/1992,05-05-1992,Silakan Upload SK (link file tidak valid) => [774863-915567--],2023-02-11 20,A,"8,400",1. -,2. Telkom Speedy,PLN,,03238260033,kurikulum_smanka@yahoo.co.id,http,-6.897300000000,113.240900000000,40,116,106,21,Sehari Penuh/5 hari,,2022/2023-2,"34,000",20,2,0,2,19,11,0,10,27,0,12,1,18,22,0,35,5,6,8,11,8,5,2,0,15,25,SMA 2013 MIPA,Tidak Ada,7,7,7,
