prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F4EEADF-C9CB-4A64-B223-C236A8671811,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277152,MAS AL JIHAD,20277152,JL. H. ABDUL GHANI RT 02/02 NO. 1,CILODONG,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Wi/I/PP.00.6/2144/2002,28-08-2002,Wi/I/PP.00.6/2144/2002,28-08-2002,Silakan Upload SK (link file tidak valid) => [407552-545775--],2021-01-06 10,A,0,,2.,,,,,,-6.447700000000,106.839200000000,0,31,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5887825-7A24-4FBA-8DF9-11D0B6024310,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277157,MAS ARRIDHO,20277157,JL. H. ABDUL GANI II,JATIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.445800000000,106.836000000000,0,108,102,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9756DAC1-4F89-42CC-B125-0F099085D1E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277160,MAS HIDAYATULLAH,20277160,JL. RAYA KALIMULYA RT 01/01 KEC. CILODONG KOTA DEPOK,KALIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.441200000000,106.821900000000,0,176,58,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50EE2B53-90FA-E111-B463-F36ACDA344D6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223841,SLB BINA INSANI,20223841,JL.PARUNG SERAB,CILODONG,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Bina Insani,AG6580,No. 52,19-09-1983,421.9/4653-DISDIK/2002,19-07-2002,Lihat SK Operasional,2021-08-02 20,,"1,850",1.,2.,PLN & Diesel,,,,,-6.435411700000,106.821378300000,6,24,27,12,Sehari Penuh/5 hari,,2022/2023-2,"5,500",10,0,1,2,1,0,8,0,5,0,1,0,5,1,0,5,1,1,0,2,0,1,1,1,1,5,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Telkomsel Flash,1,1,1,1,1,1,1,1,1,1,1,1,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB72A1BD-227B-4904-AAD4-642604B3CED6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69989336,SMA BUDI CENDEKIA ISLAMIC SCHOOL,69989336,Jl. Boulevard Raya Grand Depok City,KALIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Budi Insan Cendikia,AG6650,503/19688-Set.Disdik,03-12-2018,421.9/Kep.10 /I/SMA-DPMPTSP/V/2019,29-05-2019,Lihat SK Operasional,2021-01-25 17,A,"3,060",1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,02129095949,smabcidepok@gmail.com,http,-6.428274300000,106.816048900000,36,206,183,14,Sehari Penuh/5 hari,,2022/2023-2,"3,500",14,5,1,20,0,0,37,2,36,0,0,0,3,33,0,30,6,12,20,3,1,0,0,0,13,23,,SMA 2013 MIPA,Lainnya (Wavelan),,,,,,,,,,6,4,4,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/189C16B0-7640-41A3-A851-E86908AE876C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70005347,SMA IT MISBAAHUSSUDUUR,70005347,Jalan Nimun Boulevard Raya Grand Depok City,JATIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Islam Misbaahussuduur,AW7773,503/11166-Set Disdik,24-06-2020,421.9/Kep. 02 /I/SMA-DPMPTSP/X/2020,14-10-2020,Silakan Upload SK (link file tidak valid) => [609501-319745--],2022-03-28 14,C,"1,890",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smaitmisbaahussuduur@gmail.com,http,-6.444100000000,106.828600000000,5,17,10,3,Sehari Penuh/5 hari,,2022/2023-2,"4,388",3,4,1,2,0,0,6,1,5,0,0,0,1,4,1,1,3,2,2,0,1,0,0,0,3,2,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,1,1,1,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A2AE117-6A41-4CE1-8DF8-0B232A05845D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69862451,SMA IT TUNAS BANGSA,69862451,JL. KALIMULYA NO. 86B,KALIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TUNAS BANGSA INSAN MANDIRI,AM9346,421-3/1130/Disdik/2014,11-03-2014,421-3/1130/Disdik/2014,11-03-2014,Lihat SK Operasional,2023-01-27 14,B,0,1. -,2. Telkom Speedy,PLN,0217716137,02177836645,nassa.islamicschool@gmail.com,http,-6.437713300000,106.821866700000,17,79,77,6,Sehari Penuh/5 hari,,2022/2023-2,"23,000",7,0,0,2,0,0,21,0,17,0,0,0,1,16,0,17,0,5,4,5,2,0,1,0,8,9,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,2,2,2,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B608D961-049A-4908-BC5E-4BC21115F13A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70015823,SMA TQT Madinatul Qur`an,70015823,Jl. Al- Hidayah No. 20,JATIMULYA,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MADINATUL QUR`AN DEPOK,AA5552,503/8898,26-09-2019,3/011050/DPMPTSP/XI/2021,30-11-2021,Lihat SK Operasional,2021-12-27 07,A,"2,240",1. -,2. Telkom Speedy,PLN,,02187951318,sma.tqt.madinatulquran@gmail.com,http,.000000000000,.000000000000,11,102,0,3,Sehari Penuh/5 hari,,2022/2023-2,0,3,2,1,2,0,0,13,0,11,0,0,0,1,10,0,8,3,1,5,1,1,2,1,0,10,1,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,1,1,1,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DAD2C20-4393-4CC1-8BA0-F7A6AFE03CBA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20270492,SMAN 8 DEPOK,20270492,JL. M. NASIR,CILODONG,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421/368/Kpts/Disdik/Huk/2,15-08-2011,421/368/Kpts/Disdik/Huk/2011,15-08-2011,Lihat SK Operasional,2015-05-13 07,A,"8,797",1. -,2. Biznet (Serat Optik),PLN,02187915148,02187915148,sman8depok@gmail.com,http,-6.424500000000,106.846900000000,56,491,614,27,Sehari Penuh/5 hari,,2022/2023-2,"125,600",27,1,1,20,24,15,0,17,33,0,12,11,27,29,0,54,2,16,8,5,7,4,7,9,24,32,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,9,9,9,
Jawa Barat,Kota Depok,Cilodong,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D3010902-98E8-4A85-90FA-51B9F3AF3D0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20229153,SMAS ISLAM AN NIZHOMIYAH,20229153,JL. MADRASAH NO. 14,KALIBARU,KEC. CILODONG,KOTA DEPOK,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan An-Nizhomiyah Cilodong,AG6624,421.3/02/Disdik/2016,17-02-2016,421-3/17/Disdik/2016,04-11-2016,Lihat SK Operasional,2016-12-01 09,A,"3,000",1. 3 (Tri),2. Telkom Speedy,PLN,,02129519867,smaproanz@yahoo.co.id,http,-6.429228300000,106.831791700000,11,140,135,9,Sehari Penuh/5 hari,,2022/2023-2,"23,000",9,2,1,2,0,0,10,2,10,1,0,0,2,9,0,11,0,1,4,2,1,1,1,1,6,5,,SMA 2013 MIPA,3 (Tri),,,,,,,,,,3,3,3,
